,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-11,746745,Single,single,False,680757,663436,Steven Kwan,Davis Martin,0,cc91d924-abbf-4568-812e-879c4bae174b,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.14,4.39,41.1,100.0,104.0,99.0,0.762,8.49,3.48,8.71,1.09,1.33,0.198,0.446,0.231,0.306,0.413,139.0,105.0,106.0,95.0,93.0,95.0,92.0,94.0,91.0,113.0,108.0,111.0,81.0,97.0,88.0,0.282,0.176,0.261,0.085,0.196,-2.59,1.77,0.93,-0.48,1.02,93.6,89.1,89.2,83.6,78.4,0.109,0.304,0.379,0.295,0.364,0.192,0.448,0.552,0.156,0.207,0.31,0.234,0.25,0.25,0.35,,,,,,,,,,,,,,,,,,,,,
1,2024-09-11,746745,Strikeout,strikeout,True,665926,663436,Andrés Giménez,Davis Martin,0,debc2410-51b3-42d5-b5bb-cf235a00f7d7,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.14,4.39,41.1,100.0,104.0,99.0,0.762,8.49,3.48,8.71,1.09,1.33,0.198,0.446,0.231,0.306,0.413,139.0,105.0,106.0,95.0,93.0,95.0,92.0,94.0,91.0,113.0,108.0,111.0,81.0,97.0,88.0,0.282,0.176,0.261,0.085,0.196,-2.59,1.77,0.93,-0.48,1.02,93.6,89.1,89.2,83.6,78.4,0.109,0.304,0.379,0.295,0.364,0.192,0.448,0.552,0.156,0.207,0.31,0.234,0.25,0.25,0.35,,,,,,,,,,,,,,,,,,,,,
2,2024-09-11,746745,Single,single,False,608070,663436,José Ramírez,Davis Martin,1,4ff2048c-0f17-44b7-99b8-337794482371,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.14,4.39,41.1,100.0,104.0,99.0,0.762,8.49,3.48,8.71,1.09,1.33,0.198,0.446,0.231,0.306,0.413,139.0,105.0,106.0,95.0,93.0,95.0,92.0,94.0,91.0,113.0,108.0,111.0,81.0,97.0,88.0,0.282,0.176,0.261,0.085,0.196,-2.59,1.77,0.93,-0.48,1.02,93.6,89.1,89.2,83.6,78.4,0.109,0.304,0.379,0.295,0.364,0.192,0.448,0.552,0.156,0.207,0.31,0.234,0.25,0.25,0.35,,,,,,,,,,,,,,,,,,,,,
3,2024-09-11,746745,Flyout,field_out,True,647304,663436,Josh Naylor,Davis Martin,1,8323e492-5f77-442c-a28f-bb136f948af7,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.14,4.39,41.1,100.0,104.0,99.0,0.762,8.49,3.48,8.71,1.09,1.33,0.198,0.446,0.231,0.306,0.413,139.0,105.0,106.0,95.0,93.0,95.0,92.0,94.0,91.0,113.0,108.0,111.0,81.0,97.0,88.0,0.282,0.176,0.261,0.085,0.196,-2.59,1.77,0.93,-0.48,1.02,93.6,89.1,89.2,83.6,78.4,0.109,0.304,0.379,0.295,0.364,0.192,0.448,0.552,0.156,0.207,0.31,0.234,0.25,0.25,0.35,,,,,,,,,,,,,,,,,,,,,
4,2024-09-11,746745,Single,single,False,657041,663436,Lane Thomas,Davis Martin,1,3fbb3984-41c9-4a32-9350-62bf2d405265,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.14,4.39,41.1,100.0,104.0,99.0,0.762,8.49,3.48,8.71,1.09,1.33,0.198,0.446,0.231,0.306,0.413,139.0,105.0,106.0,95.0,93.0,95.0,92.0,94.0,91.0,113.0,108.0,111.0,81.0,97.0,88.0,0.282,0.176,0.261,0.085,0.196,-2.59,1.77,0.93,-0.48,1.02,93.6,89.1,89.2,83.6,78.4,0.109,0.304,0.379,0.295,0.364,0.192,0.448,0.552,0.156,0.207,0.31,0.234,0.25,0.25,0.35,,,,,,,,,,,,,,,,,,,,,
5,2024-09-11,746745,Caught Stealing 2B,caught_stealing_2b,True,700932,663436,Kyle Manzardo,Davis Martin,0,bbd54b6a-1610-4f40-996f-a4106625c495,663436.0,davismartin,Martin,Right,Davis Martin,CHW,4.14,4.39,41.1,100.0,104.0,99.0,0.762,8.49,3.48,8.71,1.09,1.33,0.198,0.446,0.231,0.306,0.413,139.0,105.0,106.0,95.0,93.0,95.0,92.0,94.0,91.0,113.0,108.0,111.0,81.0,97.0,88.0,0.282,0.176,0.261,0.085,0.196,-2.59,1.77,0.93,-0.48,1.02,93.6,89.1,89.2,83.6,78.4,0.109,0.304,0.379,0.295,0.364,0.192,0.448,0.552,0.156,0.207,0.31,0.234,0.25,0.25,0.35,,,,,,,,,,,,,,,,,,,,,
6,2024-09-11,746745,Strikeout,strikeout,True,667452,571510,Corey Julks,Matthew Boyd,0,cbeb2070-02c9-4487-8d79-65f12fe80319,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.52,3.11,35.2,102.0,75.0,95.0,0.707,10.09,2.52,7.07,0.76,0.7,0.295,0.305,0.168,0.305,0.408,84.0,105.0,100.0,87.0,102.0,100.0,65.0,99.0,90.0,75.0,101.0,97.0,,,,0.365,,0.174,0.083,0.267,1.89,,1.2,1.66,-0.19,92.0,,81.1,79.4,74.2,0.16,0.24,0.422,0.262,0.381,0.369,0.152,0.182,0.265,,,,0.167,0.25,0.444,79.0,106.0,95.0,0.112,-0.58,91.9,0.273,0.591,0.077,,,,,,,,,,,,
7,2024-09-11,746745,Strikeout,strikeout,True,673357,571510,Luis Robert Jr.,Matthew Boyd,0,b1291b48-ea17-4d2e-82f9-a593d522dfa8,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.52,3.11,35.2,102.0,75.0,95.0,0.707,10.09,2.52,7.07,0.76,0.7,0.295,0.305,0.168,0.305,0.408,84.0,105.0,100.0,87.0,102.0,100.0,65.0,99.0,90.0,75.0,101.0,97.0,,,,0.365,,0.174,0.083,0.267,1.89,,1.2,1.66,-0.19,92.0,,81.1,79.4,74.2,0.16,0.24,0.422,0.262,0.381,0.369,0.152,0.182,0.265,,,,0.167,0.25,0.444,79.0,106.0,95.0,0.112,-0.58,91.9,0.273,0.591,0.077,,,,,,,,,,,,
8,2024-09-11,746745,Single,single,False,682868,571510,Bryan Ramos,Matthew Boyd,0,850e4bb5-c1ad-43bd-a22e-094be5137707,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.52,3.11,35.2,102.0,75.0,95.0,0.707,10.09,2.52,7.07,0.76,0.7,0.295,0.305,0.168,0.305,0.408,84.0,105.0,100.0,87.0,102.0,100.0,65.0,99.0,90.0,75.0,101.0,97.0,,,,0.365,,0.174,0.083,0.267,1.89,,1.2,1.66,-0.19,92.0,,81.1,79.4,74.2,0.16,0.24,0.422,0.262,0.381,0.369,0.152,0.182,0.265,,,,0.167,0.25,0.444,79.0,106.0,95.0,0.112,-0.58,91.9,0.273,0.591,0.077,,,,,,,,,,,,
9,2024-09-11,746745,Strikeout,strikeout,True,683734,571510,Andrew Vaughn,Matthew Boyd,1,53882a5f-1168-4b6a-823f-45986b619f8b,571510.0,matthewboyd,Boyd,Left,Matthew Boyd,CLE,2.52,3.11,35.2,102.0,75.0,95.0,0.707,10.09,2.52,7.07,0.76,0.7,0.295,0.305,0.168,0.305,0.408,84.0,105.0,100.0,87.0,102.0,100.0,65.0,99.0,90.0,75.0,101.0,97.0,,,,0.365,,0.174,0.083,0.267,1.89,,1.2,1.66,-0.19,92.0,,81.1,79.4,74.2,0.16,0.24,0.422,0.262,0.381,0.369,0.152,0.182,0.265,,,,0.167,0.25,0.444,79.0,106.0,95.0,0.112,-0.58,91.9,0.273,0.591,0.077,,,,,,,,,,,,
