,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-10,745712,Flyout,field_out,True,669701,607074,Josh Smith,Carlos Rodón,0,a9774677-7c3f-4b85-9f38-740c0fed3e34,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.31,4.17,146.1,97.0,123.0,103.0,0.719,9.9,2.89,8.36,1.54,0.66,0.267,0.389,0.146,0.329,0.396,129.0,91.0,103.0,103.0,86.0,93.0,115.0,99.0,102.0,145.0,104.0,113.0,100.0,83.0,83.0,0.492,0.041,0.26,0.082,0.125,0.12,-3.06,-0.91,-0.76,1.72,95.5,91.8,85.5,86.9,81.0,0.264,0.524,0.211,0.219,0.393,0.386,0.172,0.188,0.479,0.269,0.423,0.297,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,
1,2024-08-10,745712,Strikeout,strikeout,True,608369,607074,Corey Seager,Carlos Rodón,0,50247360-1905-44bb-a7a1-b3ef17ad827b,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.31,4.17,146.1,97.0,123.0,103.0,0.719,9.9,2.89,8.36,1.54,0.66,0.267,0.389,0.146,0.329,0.396,129.0,91.0,103.0,103.0,86.0,93.0,115.0,99.0,102.0,145.0,104.0,113.0,100.0,83.0,83.0,0.492,0.041,0.26,0.082,0.125,0.12,-3.06,-0.91,-0.76,1.72,95.5,91.8,85.5,86.9,81.0,0.264,0.524,0.211,0.219,0.393,0.386,0.172,0.188,0.479,0.269,0.423,0.297,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,
2,2024-08-10,745712,Flyout,field_out,True,543760,607074,Marcus Semien,Carlos Rodón,0,0086cc47-d33b-4f1b-bb3b-54b4417b1ee6,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.31,4.17,146.1,97.0,123.0,103.0,0.719,9.9,2.89,8.36,1.54,0.66,0.267,0.389,0.146,0.329,0.396,129.0,91.0,103.0,103.0,86.0,93.0,115.0,99.0,102.0,145.0,104.0,113.0,100.0,83.0,83.0,0.492,0.041,0.26,0.082,0.125,0.12,-3.06,-0.91,-0.76,1.72,95.5,91.8,85.5,86.9,81.0,0.264,0.524,0.211,0.219,0.393,0.386,0.172,0.188,0.479,0.269,0.423,0.297,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,
3,2024-08-10,745712,Strikeout,strikeout,True,657077,543135,Alex Verdugo,Nathan Eovaldi,0,056c471c-33df-4a84-9e4f-1f618ffd67aa,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.6,3.75,140.0,104.0,98.0,103.0,0.746,8.87,2.06,7.52,1.16,1.61,0.216,0.394,0.116,0.345,0.454,,,,102.0,102.0,103.0,74.0,106.0,99.0,113.0,98.0,103.0,92.0,106.0,98.0,0.375,0.149,0.031,0.135,,1.27,-0.05,-1.5,-1.28,,95.5,91.5,,86.2,76.9,0.2,0.312,0.2,0.333,0.571,0.171,,,,0.232,0.518,0.357,0.304,0.494,0.194,126.0,103.0,111.0,0.311,1.64,88.6,0.199,0.298,0.367,,,,,,,,,,,,
4,2024-08-10,745712,Single,single,False,665742,543135,Juan Soto,Nathan Eovaldi,0,13248642-5a19-477a-b869-4aebb9a9e712,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.6,3.75,140.0,104.0,98.0,103.0,0.746,8.87,2.06,7.52,1.16,1.61,0.216,0.394,0.116,0.345,0.454,,,,102.0,102.0,103.0,74.0,106.0,99.0,113.0,98.0,103.0,92.0,106.0,98.0,0.375,0.149,0.031,0.135,,1.27,-0.05,-1.5,-1.28,,95.5,91.5,,86.2,76.9,0.2,0.312,0.2,0.333,0.571,0.171,,,,0.232,0.518,0.357,0.304,0.494,0.194,126.0,103.0,111.0,0.311,1.64,88.6,0.199,0.298,0.367,,,,,,,,,,,,
5,2024-08-10,745712,Single,single,False,592450,543135,Aaron Judge,Nathan Eovaldi,1,816cecfa-e087-4cc0-a700-c33e9e3ea904,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.6,3.75,140.0,104.0,98.0,103.0,0.746,8.87,2.06,7.52,1.16,1.61,0.216,0.394,0.116,0.345,0.454,,,,102.0,102.0,103.0,74.0,106.0,99.0,113.0,98.0,103.0,92.0,106.0,98.0,0.375,0.149,0.031,0.135,,1.27,-0.05,-1.5,-1.28,,95.5,91.5,,86.2,76.9,0.2,0.312,0.2,0.333,0.571,0.171,,,,0.232,0.518,0.357,0.304,0.494,0.194,126.0,103.0,111.0,0.311,1.64,88.6,0.199,0.298,0.367,,,,,,,,,,,,
6,2024-08-10,745712,Lineout,field_out,True,669224,543135,Austin Wells,Nathan Eovaldi,0,d2ef7b93-7905-4a93-9930-182f4768bb1b,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.6,3.75,140.0,104.0,98.0,103.0,0.746,8.87,2.06,7.52,1.16,1.61,0.216,0.394,0.116,0.345,0.454,,,,102.0,102.0,103.0,74.0,106.0,99.0,113.0,98.0,103.0,92.0,106.0,98.0,0.375,0.149,0.031,0.135,,1.27,-0.05,-1.5,-1.28,,95.5,91.5,,86.2,76.9,0.2,0.312,0.2,0.333,0.571,0.171,,,,0.232,0.518,0.357,0.304,0.494,0.194,126.0,103.0,111.0,0.311,1.64,88.6,0.199,0.298,0.367,,,,,,,,,,,,
7,2024-08-10,745712,Single,single,False,650402,543135,Gleyber Torres,Nathan Eovaldi,1,48baa411-94b6-43d8-901a-82c034ee69c7,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.6,3.75,140.0,104.0,98.0,103.0,0.746,8.87,2.06,7.52,1.16,1.61,0.216,0.394,0.116,0.345,0.454,,,,102.0,102.0,103.0,74.0,106.0,99.0,113.0,98.0,103.0,92.0,106.0,98.0,0.375,0.149,0.031,0.135,,1.27,-0.05,-1.5,-1.28,,95.5,91.5,,86.2,76.9,0.2,0.312,0.2,0.333,0.571,0.171,,,,0.232,0.518,0.357,0.304,0.494,0.194,126.0,103.0,111.0,0.311,1.64,88.6,0.199,0.298,0.367,,,,,,,,,,,,
8,2024-08-10,745712,Strikeout,strikeout,True,665862,543135,Jazz Chisholm Jr.,Nathan Eovaldi,0,f2a9465e-b8f6-4b30-87ae-d1a3d2a5c8fd,543135.0,nathaneovaldi,Eovaldi,Right,Nathan Eovaldi,TEX,3.6,3.75,140.0,104.0,98.0,103.0,0.746,8.87,2.06,7.52,1.16,1.61,0.216,0.394,0.116,0.345,0.454,,,,102.0,102.0,103.0,74.0,106.0,99.0,113.0,98.0,103.0,92.0,106.0,98.0,0.375,0.149,0.031,0.135,,1.27,-0.05,-1.5,-1.28,,95.5,91.5,,86.2,76.9,0.2,0.312,0.2,0.333,0.571,0.171,,,,0.232,0.518,0.357,0.304,0.494,0.194,126.0,103.0,111.0,0.311,1.64,88.6,0.199,0.298,0.367,,,,,,,,,,,,
9,2024-08-10,745712,Pop Out,field_out,True,673962,607074,Josh Jung,Carlos Rodón,0,82da88a3-5344-4bd8-a516-c88bfe7115cd,607074.0,carlosrodon,Rodón,Left,Carlos Rodón,NYY,4.31,4.17,146.1,97.0,123.0,103.0,0.719,9.9,2.89,8.36,1.54,0.66,0.267,0.389,0.146,0.329,0.396,129.0,91.0,103.0,103.0,86.0,93.0,115.0,99.0,102.0,145.0,104.0,113.0,100.0,83.0,83.0,0.492,0.041,0.26,0.082,0.125,0.12,-3.06,-0.91,-0.76,1.72,95.5,91.8,85.5,86.9,81.0,0.264,0.524,0.211,0.219,0.393,0.386,0.172,0.188,0.479,0.269,0.423,0.297,0.353,0.647,0.255,,,,,,,,,,,,,,,,,,,,,
