,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-17,746515,Pop Out,field_out,True,595777,607536,Jurickson Profar,Kyle Freeland,0,98e836e6-482f-4d63-a02c-52f427dc52a1,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-17,746515,Groundout,field_out,True,456781,607536,Donovan Solano,Kyle Freeland,0,0eec4267-283f-41e7-b0ae-175f877e1c64,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-17,746515,Strikeout,strikeout,True,593428,607536,Xander Bogaerts,Kyle Freeland,0,e3ae539a-f5f7-4012-97be-a055e0f6db63,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-17,746515,Strikeout,strikeout,True,453568,656302,Charlie Blackmon,Dylan Cease,0,6693bdb7-1331-41a9-ad9f-e8d2ff7cb166,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.57,3.32,159.0,101.0,123.0,108.0,0.693,11.15,3.11,6.68,0.96,0.97,0.194,0.442,0.16,0.3,0.39,54.0,73.0,69.0,124.0,96.0,103.0,,,,113.0,101.0,105.0,109.0,96.0,103.0,,0.434,0.47,0.08,0.01,0.09,,1.78,-1.16,-4.15,96.9,69.7,,87.3,82.5,,,,0.273,0.455,0.292,0.237,0.417,0.208,0.17,0.27,0.444,0.25,1.0,0.2,113.0,89.0,90.0,0.007,-5.13,91.8,0.154,0.231,0.405,0.25,1.0,0.0,,,,,,,,,,,,,,,
4,2024-08-17,746515,Strikeout,strikeout,True,678662,656302,Ezequiel Tovar,Dylan Cease,0,0dacef1d-10be-4c9e-a399-9a179858e5b0,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.57,3.32,159.0,101.0,123.0,108.0,0.693,11.15,3.11,6.68,0.96,0.97,0.194,0.442,0.16,0.3,0.39,54.0,73.0,69.0,124.0,96.0,103.0,,,,113.0,101.0,105.0,109.0,96.0,103.0,,0.434,0.47,0.08,0.01,0.09,,1.78,-1.16,-4.15,96.9,69.7,,87.3,82.5,,,,0.273,0.455,0.292,0.237,0.417,0.208,0.17,0.27,0.444,0.25,1.0,0.2,113.0,89.0,90.0,0.007,-5.13,91.8,0.154,0.231,0.405,0.25,1.0,0.0,,,,,,,,,,,,,,,
5,2024-08-17,746515,Walk,walk,False,686668,656302,Brenton Doyle,Dylan Cease,0,253545a2-bb7e-4d1b-9bb4-01873fe6e261,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.57,3.32,159.0,101.0,123.0,108.0,0.693,11.15,3.11,6.68,0.96,0.97,0.194,0.442,0.16,0.3,0.39,54.0,73.0,69.0,124.0,96.0,103.0,,,,113.0,101.0,105.0,109.0,96.0,103.0,,0.434,0.47,0.08,0.01,0.09,,1.78,-1.16,-4.15,96.9,69.7,,87.3,82.5,,,,0.273,0.455,0.292,0.237,0.417,0.208,0.17,0.27,0.444,0.25,1.0,0.2,113.0,89.0,90.0,0.007,-5.13,91.8,0.154,0.231,0.405,0.25,1.0,0.0,,,,,,,,,,,,,,,
6,2024-08-17,746515,Groundout,field_out,True,641857,656302,Ryan McMahon,Dylan Cease,0,fa181256-0ed5-4b53-9866-47a3fd2aa73f,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.57,3.32,159.0,101.0,123.0,108.0,0.693,11.15,3.11,6.68,0.96,0.97,0.194,0.442,0.16,0.3,0.39,54.0,73.0,69.0,124.0,96.0,103.0,,,,113.0,101.0,105.0,109.0,96.0,103.0,,0.434,0.47,0.08,0.01,0.09,,1.78,-1.16,-4.15,96.9,69.7,,87.3,82.5,,,,0.273,0.455,0.292,0.237,0.417,0.208,0.17,0.27,0.444,0.25,1.0,0.2,113.0,89.0,90.0,0.007,-5.13,91.8,0.154,0.231,0.405,0.25,1.0,0.0,,,,,,,,,,,,,,,
7,2024-08-17,746515,Double,double,False,592518,607536,Manny Machado,Kyle Freeland,0,25e1fde0-ea23-4fe3-96ec-00816b1c5378,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-17,746515,Single,single,False,630105,607536,Jake Cronenworth,Kyle Freeland,1,ec953bf0-26d7-40ce-a0b8-761cb99a4e99,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-17,746515,Double,double,False,673490,607536,Ha-Seong Kim,Kyle Freeland,1,117b2f9e-bfe7-4386-abf8-e722905792ad,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
