,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-26,745865,Single,single,False,593160,641927,Whit Merrifield,Bailey Ober,0,bccbd62b-f70f-4ad6-b183-02cc0837be19,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,117.0,111.0,111.0,94.0,97.0,101.0,81.0,104.0,96.0,72.0,102.0,102.0,84.0,105.0,102.0,0.394,0.213,0.115,0.008,0.269,-0.07,-0.39,1.52,4.29,2.0,91.9,86.3,83.4,80.5,76.0,0.265,0.508,0.217,0.157,0.296,0.403,0.261,0.47,0.225,0.105,0.193,0.309,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-26,745865,Walk,walk,False,624585,641927,Jorge Soler,Bailey Ober,1,9a22277e-1f9f-4456-bd7b-c378b9e4c152,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,117.0,111.0,111.0,94.0,97.0,101.0,81.0,104.0,96.0,72.0,102.0,102.0,84.0,105.0,102.0,0.394,0.213,0.115,0.008,0.269,-0.07,-0.39,1.52,4.29,2.0,91.9,86.3,83.4,80.5,76.0,0.265,0.508,0.217,0.157,0.296,0.403,0.261,0.47,0.225,0.105,0.193,0.309,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-26,745865,Single,single,False,542303,641927,Marcell Ozuna,Bailey Ober,1,1a1e200b-3c84-4995-8ef2-4b76c3508b87,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,117.0,111.0,111.0,94.0,97.0,101.0,81.0,104.0,96.0,72.0,102.0,102.0,84.0,105.0,102.0,0.394,0.213,0.115,0.008,0.269,-0.07,-0.39,1.52,4.29,2.0,91.9,86.3,83.4,80.5,76.0,0.265,0.508,0.217,0.157,0.296,0.403,0.261,0.47,0.225,0.105,0.193,0.309,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-26,745865,Home Run,home_run,False,621566,641927,Matt Olson,Bailey Ober,1,aa5d45c5-5139-4bf2-9dd8-f37f85a97b18,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,117.0,111.0,111.0,94.0,97.0,101.0,81.0,104.0,96.0,72.0,102.0,102.0,84.0,105.0,102.0,0.394,0.213,0.115,0.008,0.269,-0.07,-0.39,1.52,4.29,2.0,91.9,86.3,83.4,80.5,76.0,0.265,0.508,0.217,0.157,0.296,0.403,0.261,0.47,0.225,0.105,0.193,0.309,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-26,745865,Strikeout,strikeout,True,518595,641927,Travis d'Arnaud,Bailey Ober,0,1c90c4e0-32e4-4d54-b735-3a49e7065acf,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,117.0,111.0,111.0,94.0,97.0,101.0,81.0,104.0,96.0,72.0,102.0,102.0,84.0,105.0,102.0,0.394,0.213,0.115,0.008,0.269,-0.07,-0.39,1.52,4.29,2.0,91.9,86.3,83.4,80.5,76.0,0.265,0.508,0.217,0.157,0.296,0.403,0.261,0.47,0.225,0.105,0.193,0.309,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-08-26,745865,Strikeout,strikeout,True,657656,641927,Ramón Laureano,Bailey Ober,0,9e7c2499-4c17-49a3-9a9c-2b5b18d8f6c0,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,117.0,111.0,111.0,94.0,97.0,101.0,81.0,104.0,96.0,72.0,102.0,102.0,84.0,105.0,102.0,0.394,0.213,0.115,0.008,0.269,-0.07,-0.39,1.52,4.29,2.0,91.9,86.3,83.4,80.5,76.0,0.265,0.508,0.217,0.157,0.296,0.403,0.261,0.47,0.225,0.105,0.193,0.309,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-08-26,745865,Lineout,field_out,True,672284,641927,Jarred Kelenic,Bailey Ober,0,e8dfabc3-56b2-416b-aafe-cb668d5582bc,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.06,3.52,142.0,106.0,90.0,102.0,0.734,9.32,2.28,7.04,1.33,0.67,0.206,0.441,0.19,0.317,0.413,117.0,111.0,111.0,94.0,97.0,101.0,81.0,104.0,96.0,72.0,102.0,102.0,84.0,105.0,102.0,0.394,0.213,0.115,0.008,0.269,-0.07,-0.39,1.52,4.29,2.0,91.9,86.3,83.4,80.5,76.0,0.265,0.508,0.217,0.157,0.296,0.403,0.261,0.47,0.225,0.105,0.193,0.309,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-26,745865,Double,double,False,622534,608331,Manuel Margot,Max Fried,0,4ad65d12-c679-4d16-bd58-805d1be99624,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.5,3.6,133.2,98.0,95.0,99.0,0.776,8.48,3.1,7.74,0.67,2.35,0.258,0.412,0.16,0.247,0.415,93.0,100.0,103.0,113.0,103.0,107.0,81.0,92.0,93.0,97.0,97.0,95.0,88.0,95.0,93.0,0.325,0.056,0.109,0.212,0.14,0.72,-0.46,0.34,1.06,1.87,93.8,89.1,85.8,82.7,74.4,0.278,0.354,0.187,0.162,0.235,0.258,0.313,0.313,0.341,0.213,0.298,0.286,95.0,99.0,97.0,0.158,1.37,93.6,0.165,0.32,0.344,0.266,0.287,0.143,0.25,0.25,0.31,,,,,,,,,
8,2024-08-26,745865,Groundout,field_out,True,668904,608331,Royce Lewis,Max Fried,0,cc622ff9-394b-4baa-8c02-3d91228ccc85,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.5,3.6,133.2,98.0,95.0,99.0,0.776,8.48,3.1,7.74,0.67,2.35,0.258,0.412,0.16,0.247,0.415,93.0,100.0,103.0,113.0,103.0,107.0,81.0,92.0,93.0,97.0,97.0,95.0,88.0,95.0,93.0,0.325,0.056,0.109,0.212,0.14,0.72,-0.46,0.34,1.06,1.87,93.8,89.1,85.8,82.7,74.4,0.278,0.354,0.187,0.162,0.235,0.258,0.313,0.313,0.341,0.213,0.298,0.286,95.0,99.0,97.0,0.158,1.37,93.6,0.165,0.32,0.344,0.266,0.287,0.143,0.25,0.25,0.31,,,,,,,,,
9,2024-08-26,745865,Sac Fly,sac_fly,True,669304,608331,Jose Miranda,Max Fried,1,b763d45c-a0b3-46d0-bcb1-daa7dd23aa38,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.5,3.6,133.2,98.0,95.0,99.0,0.776,8.48,3.1,7.74,0.67,2.35,0.258,0.412,0.16,0.247,0.415,93.0,100.0,103.0,113.0,103.0,107.0,81.0,92.0,93.0,97.0,97.0,95.0,88.0,95.0,93.0,0.325,0.056,0.109,0.212,0.14,0.72,-0.46,0.34,1.06,1.87,93.8,89.1,85.8,82.7,74.4,0.278,0.354,0.187,0.162,0.235,0.258,0.313,0.313,0.341,0.213,0.298,0.286,95.0,99.0,97.0,0.158,1.37,93.6,0.165,0.32,0.344,0.266,0.287,0.143,0.25,0.25,0.31,,,,,,,,,
