,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
0,2024-08-31,745296,Strikeout,strikeout,True,681393,696131,Connor Norby,Mason Black,0,3821b82f-169f-45f2-b6c1-6f543b547313,696131.0,masonblack,Black,Right,Mason Black,SFG,7.5,6.32,24.0,104.0,98.0,102.0,0.873,8.25,3.0,11.63,2.25,0.61,0.205,0.423,0.179,0.346,0.472,92.0,88.0,78.0,86.0,107.0,102.0,99.0,103.0,101.0,110.0,99.0,102.0,0.274,0.333,0.36,0.033,-3.37,-0.24,-1.08,-14.44,92.1,87.5,92.3,81.9,0.286,0.543,0.127,0.357,0.679,0.221,0.269,0.5,0.098,0.667,0.833,0.0,0.0,0.0,0.188,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-31,745296,Strikeout,strikeout,True,660821,696131,Jesús Sánchez,Mason Black,0,d28b2602-f36b-498f-a58d-201cf1a8bfd1,696131.0,masonblack,Black,Right,Mason Black,SFG,7.5,6.32,24.0,104.0,98.0,102.0,0.873,8.25,3.0,11.63,2.25,0.61,0.205,0.423,0.179,0.346,0.472,92.0,88.0,78.0,86.0,107.0,102.0,99.0,103.0,101.0,110.0,99.0,102.0,0.274,0.333,0.36,0.033,-3.37,-0.24,-1.08,-14.44,92.1,87.5,92.3,81.9,0.286,0.543,0.127,0.357,0.679,0.221,0.269,0.5,0.098,0.667,0.833,0.0,0.0,0.0,0.188,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-31,745296,Flyout,field_out,True,669394,696131,Jake Burger,Mason Black,0,9efb11d8-a5e6-4b81-958a-e5fa234a9915,696131.0,masonblack,Black,Right,Mason Black,SFG,7.5,6.32,24.0,104.0,98.0,102.0,0.873,8.25,3.0,11.63,2.25,0.61,0.205,0.423,0.179,0.346,0.472,92.0,88.0,78.0,86.0,107.0,102.0,99.0,103.0,101.0,110.0,99.0,102.0,0.274,0.333,0.36,0.033,-3.37,-0.24,-1.08,-14.44,92.1,87.5,92.3,81.9,0.286,0.543,0.127,0.357,0.679,0.221,0.269,0.5,0.098,0.667,0.833,0.0,0.0,0.0,0.188,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-31,745296,Groundout,field_out,True,573262,665795,Mike Yastrzemski,Edward Cabrera,0,779f7690-1ec3-49df-9175-cf2ab9f65da4,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.88,4.74,83.0,97.0,102.0,99.0,0.742,9.76,4.66,7.92,1.52,1.42,0.204,0.466,0.136,0.367,0.393,96.0,98.0,104.0,98.0,91.0,87.0,111.0,91.0,93.0,115.0,103.0,106.0,0.091,0.272,0.088,0.339,-1.86,0.04,1.45,0.32,96.3,92.9,96.6,89.2,,,,0.317,0.537,0.148,0.258,0.387,0.123,0.204,0.327,0.329,0.143,0.25,0.333,107.0,101.0,105.0,0.211,-0.16,84.7,0.214,0.482,0.407,,,,,,,,,,,,,,,
4,2024-08-31,745296,Walk,walk,False,592192,665795,Mark Canha,Edward Cabrera,0,b371de8b-3127-41d3-b37c-0e9ef7ad86be,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.88,4.74,83.0,97.0,102.0,99.0,0.742,9.76,4.66,7.92,1.52,1.42,0.204,0.466,0.136,0.367,0.393,96.0,98.0,104.0,98.0,91.0,87.0,111.0,91.0,93.0,115.0,103.0,106.0,0.091,0.272,0.088,0.339,-1.86,0.04,1.45,0.32,96.3,92.9,96.6,89.2,,,,0.317,0.537,0.148,0.258,0.387,0.123,0.204,0.327,0.329,0.143,0.25,0.333,107.0,101.0,105.0,0.211,-0.16,84.7,0.214,0.482,0.407,,,,,,,,,,,,,,,
5,2024-08-31,745296,Pop Out,field_out,True,671218,665795,Heliot Ramos,Edward Cabrera,1,43922465-930a-443c-acbf-97c4e8c8927a,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.88,4.74,83.0,97.0,102.0,99.0,0.742,9.76,4.66,7.92,1.52,1.42,0.204,0.466,0.136,0.367,0.393,96.0,98.0,104.0,98.0,91.0,87.0,111.0,91.0,93.0,115.0,103.0,106.0,0.091,0.272,0.088,0.339,-1.86,0.04,1.45,0.32,96.3,92.9,96.6,89.2,,,,0.317,0.537,0.148,0.258,0.387,0.123,0.204,0.327,0.329,0.143,0.25,0.333,107.0,101.0,105.0,0.211,-0.16,84.7,0.214,0.482,0.407,,,,,,,,,,,,,,,
6,2024-08-31,745296,Walk,walk,False,656305,665795,Matt Chapman,Edward Cabrera,0,40113220-e8ae-49f6-b8cf-bbc96b80e986,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.88,4.74,83.0,97.0,102.0,99.0,0.742,9.76,4.66,7.92,1.52,1.42,0.204,0.466,0.136,0.367,0.393,96.0,98.0,104.0,98.0,91.0,87.0,111.0,91.0,93.0,115.0,103.0,106.0,0.091,0.272,0.088,0.339,-1.86,0.04,1.45,0.32,96.3,92.9,96.6,89.2,,,,0.317,0.537,0.148,0.258,0.387,0.123,0.204,0.327,0.329,0.143,0.25,0.333,107.0,101.0,105.0,0.211,-0.16,84.7,0.214,0.482,0.407,,,,,,,,,,,,,,,
7,2024-08-31,745296,Pop Out,field_out,True,624424,665795,Michael Conforto,Edward Cabrera,0,df431456-e1f3-4a03-bf57-f47a8f33c5b0,665795.0,edwardcabrera,"Cabrera, E",Right,Edward Cabrera,MIA,4.88,4.74,83.0,97.0,102.0,99.0,0.742,9.76,4.66,7.92,1.52,1.42,0.204,0.466,0.136,0.367,0.393,96.0,98.0,104.0,98.0,91.0,87.0,111.0,91.0,93.0,115.0,103.0,106.0,0.091,0.272,0.088,0.339,-1.86,0.04,1.45,0.32,96.3,92.9,96.6,89.2,,,,0.317,0.537,0.148,0.258,0.387,0.123,0.204,0.327,0.329,0.143,0.25,0.333,107.0,101.0,105.0,0.211,-0.16,84.7,0.214,0.482,0.407,,,,,,,,,,,,,,,
8,2024-08-31,745296,Strikeout,strikeout,True,669065,696131,Kyle Stowers,Mason Black,0,75e979bb-b0ec-4060-bde3-0a602d33db13,696131.0,masonblack,Black,Right,Mason Black,SFG,7.5,6.32,24.0,104.0,98.0,102.0,0.873,8.25,3.0,11.63,2.25,0.61,0.205,0.423,0.179,0.346,0.472,92.0,88.0,78.0,86.0,107.0,102.0,99.0,103.0,101.0,110.0,99.0,102.0,0.274,0.333,0.36,0.033,-3.37,-0.24,-1.08,-14.44,92.1,87.5,92.3,81.9,0.286,0.543,0.127,0.357,0.679,0.221,0.269,0.5,0.098,0.667,0.833,0.0,0.0,0.0,0.188,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-31,745296,Single,single,False,681146,696131,Jonah Bride,Mason Black,0,1a8dd91f-1664-49ee-8504-5bf360b2dfc1,696131.0,masonblack,Black,Right,Mason Black,SFG,7.5,6.32,24.0,104.0,98.0,102.0,0.873,8.25,3.0,11.63,2.25,0.61,0.205,0.423,0.179,0.346,0.472,92.0,88.0,78.0,86.0,107.0,102.0,99.0,103.0,101.0,110.0,99.0,102.0,0.274,0.333,0.36,0.033,-3.37,-0.24,-1.08,-14.44,92.1,87.5,92.3,81.9,0.286,0.543,0.127,0.357,0.679,0.221,0.269,0.5,0.098,0.667,0.833,0.0,0.0,0.0,0.188,,,,,,,,,,,,,,,,,,,,,,,,
