,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSL,vKC,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff
0,2024-09-14,745689,Pop Out,field_out,True,680776,543037,Jarren Duran,Gerrit Cole,0,4b59b71e-5a76-4612-a1ad-ac9c2a257370,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.97,3.9,79.1,101.0,112.0,104.0,0.774,9.87,3.06,8.39,1.25,0.8,0.28,0.376,0.179,0.33,0.429,73.0,91.0,89.0,117.0,99.0,104.0,128.0,107.0,112.0,103.0,99.0,106.0,100.0,102.0,101.0,0.46,0.169,0.142,0.192,0.037,-0.13,-1.42,1.17,2.27,-4.59,96.0,91.3,88.1,88.2,82.7,0.214,0.414,0.238,0.211,0.246,0.324,0.226,0.283,0.257,0.356,0.622,0.226,0.4,0.8,0.227,,,,,,,,,,,,,,,,,,
1,2024-09-14,745689,Hit By Pitch,hit_by_pitch,False,646240,543037,Rafael Devers,Gerrit Cole,0,4b823f6e-09e1-491c-bc0d-cef136f5d879,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.97,3.9,79.1,101.0,112.0,104.0,0.774,9.87,3.06,8.39,1.25,0.8,0.28,0.376,0.179,0.33,0.429,73.0,91.0,89.0,117.0,99.0,104.0,128.0,107.0,112.0,103.0,99.0,106.0,100.0,102.0,101.0,0.46,0.169,0.142,0.192,0.037,-0.13,-1.42,1.17,2.27,-4.59,96.0,91.3,88.1,88.2,82.7,0.214,0.414,0.238,0.211,0.246,0.324,0.226,0.283,0.257,0.356,0.622,0.226,0.4,0.8,0.227,,,,,,,,,,,,,,,,,,
2,2024-09-14,745689,Grounded Into DP,grounded_into_double_play,True,641933,543037,Tyler O'Neill,Gerrit Cole,1,22071681-210b-4f57-8d90-6753071fc6b9,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.97,3.9,79.1,101.0,112.0,104.0,0.774,9.87,3.06,8.39,1.25,0.8,0.28,0.376,0.179,0.33,0.429,73.0,91.0,89.0,117.0,99.0,104.0,128.0,107.0,112.0,103.0,99.0,106.0,100.0,102.0,101.0,0.46,0.169,0.142,0.192,0.037,-0.13,-1.42,1.17,2.27,-4.59,96.0,91.3,88.1,88.2,82.7,0.214,0.414,0.238,0.211,0.246,0.324,0.226,0.283,0.257,0.356,0.622,0.226,0.4,0.8,0.227,,,,,,,,,,,,,,,,,,
3,2024-09-14,745689,Flyout,field_out,True,650402,678394,Gleyber Torres,Brayan Bello,0,0404d41f-92c5-489b-a265-fa843d7036a2,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.6,4.45,152.2,99.0,101.0,103.0,0.752,8.37,3.54,8.84,1.12,1.87,0.222,0.384,0.147,0.311,0.404,88.0,100.0,98.0,74.0,108.0,102.0,115.0,98.0,110.0,,,,,,,0.046,,0.285,,0.271,0.79,,-0.49,,0.13,95.7,,87.6,86.9,,0.087,0.13,0.212,,,,0.262,0.396,0.346,,,,0.177,0.36,0.375,103.0,99.0,101.0,0.399,-0.51,95.7,0.324,0.465,0.108,,,,,,,,,
4,2024-09-14,745689,Groundout,field_out,True,665742,678394,Juan Soto,Brayan Bello,0,4e25483b-eb6d-4b20-91f5-16d3f24a035a,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.6,4.45,152.2,99.0,101.0,103.0,0.752,8.37,3.54,8.84,1.12,1.87,0.222,0.384,0.147,0.311,0.404,88.0,100.0,98.0,74.0,108.0,102.0,115.0,98.0,110.0,,,,,,,0.046,,0.285,,0.271,0.79,,-0.49,,0.13,95.7,,87.6,86.9,,0.087,0.13,0.212,,,,0.262,0.396,0.346,,,,0.177,0.36,0.375,103.0,99.0,101.0,0.399,-0.51,95.7,0.324,0.465,0.108,,,,,,,,,
5,2024-09-14,745689,Strikeout,strikeout,True,592450,678394,Aaron Judge,Brayan Bello,0,2dcc7055-e8d6-4dec-99bf-dec86b4656de,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.6,4.45,152.2,99.0,101.0,103.0,0.752,8.37,3.54,8.84,1.12,1.87,0.222,0.384,0.147,0.311,0.404,88.0,100.0,98.0,74.0,108.0,102.0,115.0,98.0,110.0,,,,,,,0.046,,0.285,,0.271,0.79,,-0.49,,0.13,95.7,,87.6,86.9,,0.087,0.13,0.212,,,,0.262,0.396,0.346,,,,0.177,0.36,0.375,103.0,99.0,101.0,0.399,-0.51,95.7,0.324,0.465,0.108,,,,,,,,,
6,2024-09-14,745689,Flyout,field_out,True,807799,543037,Masataka Yoshida,Gerrit Cole,0,82e3f622-e10f-4223-99c9-bfeef99900aa,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.97,3.9,79.1,101.0,112.0,104.0,0.774,9.87,3.06,8.39,1.25,0.8,0.28,0.376,0.179,0.33,0.429,73.0,91.0,89.0,117.0,99.0,104.0,128.0,107.0,112.0,103.0,99.0,106.0,100.0,102.0,101.0,0.46,0.169,0.142,0.192,0.037,-0.13,-1.42,1.17,2.27,-4.59,96.0,91.3,88.1,88.2,82.7,0.214,0.414,0.238,0.211,0.246,0.324,0.226,0.283,0.257,0.356,0.622,0.226,0.4,0.8,0.227,,,,,,,,,,,,,,,,,,
7,2024-09-14,745689,Strikeout,strikeout,True,677800,543037,Wilyer Abreu,Gerrit Cole,0,4a4db366-760b-4b62-8931-418594adb583,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.97,3.9,79.1,101.0,112.0,104.0,0.774,9.87,3.06,8.39,1.25,0.8,0.28,0.376,0.179,0.33,0.429,73.0,91.0,89.0,117.0,99.0,104.0,128.0,107.0,112.0,103.0,99.0,106.0,100.0,102.0,101.0,0.46,0.169,0.142,0.192,0.037,-0.13,-1.42,1.17,2.27,-4.59,96.0,91.3,88.1,88.2,82.7,0.214,0.414,0.238,0.211,0.246,0.324,0.226,0.283,0.257,0.356,0.622,0.226,0.4,0.8,0.227,,,,,,,,,,,,,,,,,,
8,2024-09-14,745689,Strikeout,strikeout,True,671213,543037,Triston Casas,Gerrit Cole,0,754dfc38-656c-419f-8424-4fdda93e50de,543037.0,gerritcole,Cole,Right,Gerrit Cole,NYY,3.97,3.9,79.1,101.0,112.0,104.0,0.774,9.87,3.06,8.39,1.25,0.8,0.28,0.376,0.179,0.33,0.429,73.0,91.0,89.0,117.0,99.0,104.0,128.0,107.0,112.0,103.0,99.0,106.0,100.0,102.0,101.0,0.46,0.169,0.142,0.192,0.037,-0.13,-1.42,1.17,2.27,-4.59,96.0,91.3,88.1,88.2,82.7,0.214,0.414,0.238,0.211,0.246,0.324,0.226,0.283,0.257,0.356,0.622,0.226,0.4,0.8,0.227,,,,,,,,,,,,,,,,,,
9,2024-09-14,745689,Groundout,field_out,True,669224,678394,Austin Wells,Brayan Bello,0,503f1010-de1d-438d-9fc8-b5482d631762,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.6,4.45,152.2,99.0,101.0,103.0,0.752,8.37,3.54,8.84,1.12,1.87,0.222,0.384,0.147,0.311,0.404,88.0,100.0,98.0,74.0,108.0,102.0,115.0,98.0,110.0,,,,,,,0.046,,0.285,,0.271,0.79,,-0.49,,0.13,95.7,,87.6,86.9,,0.087,0.13,0.212,,,,0.262,0.396,0.346,,,,0.177,0.36,0.375,103.0,99.0,101.0,0.399,-0.51,95.7,0.324,0.465,0.108,,,,,,,,,
