,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,KC%,CH%,wFA/C,wFC/C,wSI/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FS%,SL%,wFS/C,wSL/C,vFS,vSL,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-05-03,745589,Flyout,field_out,True,808982,605400,Jung Hoo Lee,Aaron Nola,0,34e9bdf7-3eed-425e-8ac3-b0754aaa584a,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-03,745589,Single,single,False,664774,605400,LaMonte Wade Jr.,Aaron Nola,0,0a91887e-51dd-4143-b364-2013949283de,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-03,745589,Flyout,field_out,True,624585,605400,Jorge Soler,Aaron Nola,0,902fc238-6d63-47c7-a90c-6d6388d003a5,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-03,745589,Flyout,field_out,True,624424,605400,Michael Conforto,Aaron Nola,0,76d74859-88d8-4524-8889-e8dfdc417374,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-05-03,745589,Flyout,field_out,True,656941,663855,Kyle Schwarber,Jordan Hicks,0,3cab90ab-d856-47ca-850d-4fbbfbff22f4,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,78.0,96.0,88.0,95.0,97.0,95.0,,,,,,,0.507,0.052,,,,-3.81,,0.19,,,95.5,,,94.4,,,,,0.263,0.421,0.194,0.337,0.484,0.122,,,,,,,123.0,98.0,104.0,121.0,92.0,106.0,0.21,0.23,-0.21,0.18,84.2,81.0,0.165,0.271,0.399,0.145,0.319,0.377,,,,,,
5,2024-05-03,745589,Single,single,False,607208,663855,Trea Turner,Jordan Hicks,0,50ea584d-b7ec-40a9-a6fb-ca13ef1c0c85,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,78.0,96.0,88.0,95.0,97.0,95.0,,,,,,,0.507,0.052,,,,-3.81,,0.19,,,95.5,,,94.4,,,,,0.263,0.421,0.194,0.337,0.484,0.122,,,,,,,123.0,98.0,104.0,121.0,92.0,106.0,0.21,0.23,-0.21,0.18,84.2,81.0,0.165,0.271,0.399,0.145,0.319,0.377,,,,,,
6,2024-05-03,745589,Walk,walk,False,547180,663855,Bryce Harper,Jordan Hicks,1,0ba0fda2-bfd9-4b9d-90bf-4eaff5c997e5,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,78.0,96.0,88.0,95.0,97.0,95.0,,,,,,,0.507,0.052,,,,-3.81,,0.19,,,95.5,,,94.4,,,,,0.263,0.421,0.194,0.337,0.484,0.122,,,,,,,123.0,98.0,104.0,121.0,92.0,106.0,0.21,0.23,-0.21,0.18,84.2,81.0,0.165,0.271,0.399,0.145,0.319,0.377,,,,,,
7,2024-05-03,745589,Strikeout,strikeout,True,664761,663855,Alec Bohm,Jordan Hicks,0,ff2a82a4-1908-48e0-a408-5fdb70f42f0e,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,78.0,96.0,88.0,95.0,97.0,95.0,,,,,,,0.507,0.052,,,,-3.81,,0.19,,,95.5,,,94.4,,,,,0.263,0.421,0.194,0.337,0.484,0.122,,,,,,,123.0,98.0,104.0,121.0,92.0,106.0,0.21,0.23,-0.21,0.18,84.2,81.0,0.165,0.271,0.399,0.145,0.319,0.377,,,,,,
8,2024-05-03,745589,Groundout,field_out,True,592663,663855,J.T. Realmuto,Jordan Hicks,0,f454bc5c-d5e0-4ba9-8670-7e81aca65f52,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,,,,78.0,96.0,88.0,95.0,97.0,95.0,,,,,,,0.507,0.052,,,,-3.81,,0.19,,,95.5,,,94.4,,,,,0.263,0.421,0.194,0.337,0.484,0.122,,,,,,,123.0,98.0,104.0,121.0,92.0,106.0,0.21,0.23,-0.21,0.18,84.2,81.0,0.165,0.271,0.399,0.145,0.319,0.377,,,,,,
9,2024-05-03,745589,Walk,walk,False,672275,605400,Patrick Bailey,Aaron Nola,0,38b095b7-26f6-44c3-9ffd-7b514098e028,605400.0,aaronnola,"Nola, Aa",Right,Aaron Nola,PHI,3.54,3.39,124.2,106.0,103.0,105.0,0.78,8.66,2.02,7.36,1.23,1.37,0.191,0.483,0.162,0.286,0.421,80.0,103.0,90.0,90.0,105.0,100.0,100.0,109.0,106.0,133.0,109.0,116.0,68.0,100.0,93.0,0.212,0.259,0.102,0.324,0.103,1.43,-2.53,-0.12,2.0,-2.18,92.3,87.4,85.4,91.4,79.2,0.194,0.306,0.35,0.117,0.252,0.226,0.29,0.47,0.137,0.289,0.5,0.154,0.389,0.75,0.143,,,,,,,,,,,,,,,,,,,,,,,,
