,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff
0,2024-03-30,745037,Strikeout,strikeout,True,663538,674003,Nico Hoerner,Cody Bradford,0,f5aefac7-e234-40ad-b83e-e4900e12f412,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-03-30,745037,Flyout,field_out,True,673548,674003,Seiya Suzuki,Cody Bradford,0,b8c86952-215f-49e8-9e0b-275da0e085b9,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-03-30,745037,Pop Out,field_out,True,641355,674003,Cody Bellinger,Cody Bradford,0,6cef5207-4fd8-4c63-8842-fb649fd1e1e7,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-03-30,745037,Single,single,False,543760,543294,Marcus Semien,Kyle Hendricks,0,62f7d9d2-29d4-48a2-8ae5-c9426aa6de36,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,,,,,,,0.119,,,0.127,0.39,-3.58,,,1.57,-1.24,87.8,,80.9,,74.3,0.4,1.067,0.128,0.278,0.421,0.244,0.12,0.24,0.381,,,,98.0,106.0,98.0,0.365,-0.85,87.8,0.357,0.504,0.101,,,,,,,,,,,,,,,,,,
4,2024-03-30,745037,Single,single,False,608369,543294,Corey Seager,Kyle Hendricks,1,bf577748-0964-470f-9a12-fb6b3e9d3917,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,,,,,,,0.119,,,0.127,0.39,-3.58,,,1.57,-1.24,87.8,,80.9,,74.3,0.4,1.067,0.128,0.278,0.421,0.244,0.12,0.24,0.381,,,,98.0,106.0,98.0,0.365,-0.85,87.8,0.357,0.504,0.101,,,,,,,,,,,,,,,,,,
5,2024-03-30,745037,Groundout,field_out,True,694497,543294,Evan Carter,Kyle Hendricks,1,fd39ea1a-03a2-4d85-873c-80e73a043675,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,,,,,,,0.119,,,0.127,0.39,-3.58,,,1.57,-1.24,87.8,,80.9,,74.3,0.4,1.067,0.128,0.278,0.421,0.244,0.12,0.24,0.381,,,,98.0,106.0,98.0,0.365,-0.85,87.8,0.357,0.504,0.101,,,,,,,,,,,,,,,,,,
6,2024-03-30,745037,Flyout,field_out,True,666969,543294,Adolis García,Kyle Hendricks,0,eef99d71-4cdd-436c-9641-db7f745d0140,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,,,,,,,0.119,,,0.127,0.39,-3.58,,,1.57,-1.24,87.8,,80.9,,74.3,0.4,1.067,0.128,0.278,0.421,0.244,0.12,0.24,0.381,,,,98.0,106.0,98.0,0.365,-0.85,87.8,0.357,0.504,0.101,,,,,,,,,,,,,,,,,,
7,2024-03-30,745037,Strikeout,strikeout,True,673962,543294,Josh Jung,Kyle Hendricks,0,cad45588-f27f-461a-aa31-37829ab92472,543294.0,kylehendricks,Hendricks,Right,Kyle Hendricks,CHC,6.78,4.99,70.1,105.0,97.0,101.0,0.829,6.4,2.69,10.88,1.66,1.34,0.226,0.385,0.218,0.256,0.411,109.0,107.0,108.0,88.0,108.0,105.0,60.0,92.0,84.0,,,,,,,0.119,,,0.127,0.39,-3.58,,,1.57,-1.24,87.8,,80.9,,74.3,0.4,1.067,0.128,0.278,0.421,0.244,0.12,0.24,0.381,,,,98.0,106.0,98.0,0.365,-0.85,87.8,0.357,0.504,0.101,,,,,,,,,,,,,,,,,,
8,2024-03-30,745037,Single,single,False,666624,674003,Christopher Morel,Cody Bradford,0,9da97071-e41d-4250-8469-d6b1c295dc7a,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-03-30,745037,Home Run,home_run,False,621020,674003,Dansby Swanson,Cody Bradford,1,e559663b-1fc0-4d91-9c95-8c0cec9ca255,674003.0,codybradford,Bradford,Left,Cody Bradford,TEX,1.4,2.46,19.1,103.0,92.0,97.0,0.779,7.91,0.93,4.66,0.47,0.58,0.404,0.212,0.192,0.308,0.352,104.0,100.0,104.0,102.0,115.0,109.0,91.0,100.0,87.0,39.0,106.0,109.0,38.0,107.0,93.0,0.494,0.011,0.049,0.154,0.292,4.59,-4.35,8.51,2.09,0.62,90.4,86.3,81.4,84.2,75.7,0.1,0.175,0.24,0.278,0.333,0.35,0.143,0.143,0.077,0.0,0.0,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,
