,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff
0,2024-09-19,746985,Pop Out,field_out,True,573262,621107,Mike Yastrzemski,Zach Eflin,0,5a32adfd-8e14-4856-b0f4-b79ff4a4e2dc,621107.0,zacheflin,Eflin,Right,Zach Eflin,- - -,3.53,3.47,160.2,108.0,92.0,104.0,0.804,7.45,1.06,9.07,1.18,1.14,0.229,0.452,0.176,0.316,0.452,84.0,100.0,104.0,108.0,113.0,109.0,61.0,105.0,95.0,90.0,109.0,105.0,122.0,107.0,113.0,86.0,106.0,98.0,0.283,0.092,0.28,0.097,0.19,0.057,-0.58,1.54,0.29,0.31,-1.29,-0.18,92.4,88.1,85.5,91.7,79.7,78.8,0.28,0.381,0.139,0.218,0.352,0.229,0.294,0.476,0.333,0.246,0.421,0.246,0.25,0.5,0.203,0.2,0.378,0.113,,,
1,2024-09-19,746985,Strikeout,strikeout,True,664774,621107,LaMonte Wade Jr.,Zach Eflin,0,e20fca46-4e2c-4bd5-a410-6ad53f1b39ff,621107.0,zacheflin,Eflin,Right,Zach Eflin,- - -,3.53,3.47,160.2,108.0,92.0,104.0,0.804,7.45,1.06,9.07,1.18,1.14,0.229,0.452,0.176,0.316,0.452,84.0,100.0,104.0,108.0,113.0,109.0,61.0,105.0,95.0,90.0,109.0,105.0,122.0,107.0,113.0,86.0,106.0,98.0,0.283,0.092,0.28,0.097,0.19,0.057,-0.58,1.54,0.29,0.31,-1.29,-0.18,92.4,88.1,85.5,91.7,79.7,78.8,0.28,0.381,0.139,0.218,0.352,0.229,0.294,0.476,0.333,0.246,0.421,0.246,0.25,0.5,0.203,0.2,0.378,0.113,,,
2,2024-09-19,746985,Strikeout,strikeout,True,666464,621107,Jerar Encarnacion,Zach Eflin,0,131f8e48-137b-45d6-afe3-bc748772827d,621107.0,zacheflin,Eflin,Right,Zach Eflin,- - -,3.53,3.47,160.2,108.0,92.0,104.0,0.804,7.45,1.06,9.07,1.18,1.14,0.229,0.452,0.176,0.316,0.452,84.0,100.0,104.0,108.0,113.0,109.0,61.0,105.0,95.0,90.0,109.0,105.0,122.0,107.0,113.0,86.0,106.0,98.0,0.283,0.092,0.28,0.097,0.19,0.057,-0.58,1.54,0.29,0.31,-1.29,-0.18,92.4,88.1,85.5,91.7,79.7,78.8,0.28,0.381,0.139,0.218,0.352,0.229,0.294,0.476,0.333,0.246,0.421,0.246,0.25,0.5,0.203,0.2,0.378,0.113,,,
3,2024-09-19,746985,Single,single,False,683002,657277,Gunnar Henderson,Logan Webb,0,b3f2c1ad-088a-45dd-afb8-f24833a150e7,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.58,4.29,198.2,104.0,112.0,107.0,0.815,7.66,2.22,8.97,0.5,2.52,0.234,0.364,0.17,0.292,0.401,137.0,105.0,113.0,,,,56.0,105.0,88.0,95.0,104.0,101.0,126.0,104.0,113.0,58.0,96.0,92.0,0.399,0.054,0.02,0.213,,0.313,-0.14,4.28,1.36,0.06,,-0.09,92.5,90.8,87.4,92.5,83.7,,0.267,0.339,0.143,0.1,0.1,0.25,,,,0.184,0.237,0.342,0.246,0.341,0.266,0.274,0.408,0.214,,,
4,2024-09-19,746985,Strikeout,strikeout,True,656775,657277,Cedric Mullins,Logan Webb,1,dfa408d2-fc24-457c-85bf-58d72349cab0,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.58,4.29,198.2,104.0,112.0,107.0,0.815,7.66,2.22,8.97,0.5,2.52,0.234,0.364,0.17,0.292,0.401,137.0,105.0,113.0,,,,56.0,105.0,88.0,95.0,104.0,101.0,126.0,104.0,113.0,58.0,96.0,92.0,0.399,0.054,0.02,0.213,,0.313,-0.14,4.28,1.36,0.06,,-0.09,92.5,90.8,87.4,92.5,83.7,,0.267,0.339,0.143,0.1,0.1,0.25,,,,0.184,0.237,0.342,0.246,0.341,0.266,0.274,0.408,0.214,,,
5,2024-09-19,746985,Strikeout,strikeout,True,623993,657277,Anthony Santander,Logan Webb,0,9781b78d-8d9a-4edb-b8cd-932a4b8db226,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.58,4.29,198.2,104.0,112.0,107.0,0.815,7.66,2.22,8.97,0.5,2.52,0.234,0.364,0.17,0.292,0.401,137.0,105.0,113.0,,,,56.0,105.0,88.0,95.0,104.0,101.0,126.0,104.0,113.0,58.0,96.0,92.0,0.399,0.054,0.02,0.213,,0.313,-0.14,4.28,1.36,0.06,,-0.09,92.5,90.8,87.4,92.5,83.7,,0.267,0.339,0.143,0.1,0.1,0.25,,,,0.184,0.237,0.342,0.246,0.341,0.266,0.274,0.408,0.214,,,
6,2024-09-19,746985,Strikeout,strikeout,True,681297,657277,Colton Cowser,Logan Webb,0,c45f10e5-f671-4554-86d3-d526557849f0,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.58,4.29,198.2,104.0,112.0,107.0,0.815,7.66,2.22,8.97,0.5,2.52,0.234,0.364,0.17,0.292,0.401,137.0,105.0,113.0,,,,56.0,105.0,88.0,95.0,104.0,101.0,126.0,104.0,113.0,58.0,96.0,92.0,0.399,0.054,0.02,0.213,,0.313,-0.14,4.28,1.36,0.06,,-0.09,92.5,90.8,87.4,92.5,83.7,,0.267,0.339,0.143,0.1,0.1,0.25,,,,0.184,0.237,0.342,0.246,0.341,0.266,0.274,0.408,0.214,,,
7,2024-09-19,746985,Single,single,False,624424,621107,Michael Conforto,Zach Eflin,0,a066b867-8d7d-4667-8106-1225790049a1,621107.0,zacheflin,Eflin,Right,Zach Eflin,- - -,3.53,3.47,160.2,108.0,92.0,104.0,0.804,7.45,1.06,9.07,1.18,1.14,0.229,0.452,0.176,0.316,0.452,84.0,100.0,104.0,108.0,113.0,109.0,61.0,105.0,95.0,90.0,109.0,105.0,122.0,107.0,113.0,86.0,106.0,98.0,0.283,0.092,0.28,0.097,0.19,0.057,-0.58,1.54,0.29,0.31,-1.29,-0.18,92.4,88.1,85.5,91.7,79.7,78.8,0.28,0.381,0.139,0.218,0.352,0.229,0.294,0.476,0.333,0.246,0.421,0.246,0.25,0.5,0.203,0.2,0.378,0.113,,,
8,2024-09-19,746985,Single,single,False,666149,621107,Tyler Fitzgerald,Zach Eflin,1,2d2a1edd-e687-485c-9119-8bfad876dde6,621107.0,zacheflin,Eflin,Right,Zach Eflin,- - -,3.53,3.47,160.2,108.0,92.0,104.0,0.804,7.45,1.06,9.07,1.18,1.14,0.229,0.452,0.176,0.316,0.452,84.0,100.0,104.0,108.0,113.0,109.0,61.0,105.0,95.0,90.0,109.0,105.0,122.0,107.0,113.0,86.0,106.0,98.0,0.283,0.092,0.28,0.097,0.19,0.057,-0.58,1.54,0.29,0.31,-1.29,-0.18,92.4,88.1,85.5,91.7,79.7,78.8,0.28,0.381,0.139,0.218,0.352,0.229,0.294,0.476,0.333,0.246,0.421,0.246,0.25,0.5,0.203,0.2,0.378,0.113,,,
9,2024-09-19,746985,Grounded Into DP,grounded_into_double_play,True,672275,621107,Patrick Bailey,Zach Eflin,1,4147b275-7a84-4f53-92c4-6a909a5b9248,621107.0,zacheflin,Eflin,Right,Zach Eflin,- - -,3.53,3.47,160.2,108.0,92.0,104.0,0.804,7.45,1.06,9.07,1.18,1.14,0.229,0.452,0.176,0.316,0.452,84.0,100.0,104.0,108.0,113.0,109.0,61.0,105.0,95.0,90.0,109.0,105.0,122.0,107.0,113.0,86.0,106.0,98.0,0.283,0.092,0.28,0.097,0.19,0.057,-0.58,1.54,0.29,0.31,-1.29,-0.18,92.4,88.1,85.5,91.7,79.7,78.8,0.28,0.381,0.139,0.218,0.352,0.229,0.294,0.476,0.333,0.246,0.421,0.246,0.25,0.5,0.203,0.2,0.378,0.113,,,
