,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,wFA/C,wFC/C,wSI/C,wSL/C,vFA,vFC,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,KC%,CH%,wKC/C,wCH/C,vCH,vKC,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-24,745099,Single,single,False,682985,542888,Riley Greene,Shawn Armstrong,0,b00c6690-4e19-4fb7-b3cf-1a6e428b1aa8,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-24,745099,Strikeout,strikeout,True,592192,542888,Mark Canha,Shawn Armstrong,0,278e3e45-a19e-49b5-ae9e-b6fd3a99b146,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-24,745099,Walk,walk,False,672761,542888,Wenceel Pérez,Shawn Armstrong,1,4101d636-4272-4ade-a738-0518afa395af,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-24,745099,Groundout,field_out,True,679529,542888,Spencer Torkelson,Shawn Armstrong,1,42385556-f9b7-46bf-87ae-bb30fb616acd,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-24,745099,Strikeout,strikeout,True,663837,542888,Matt Vierling,Shawn Armstrong,0,be593249-6924-4806-9fe4-c155654d4659,542888.0,shawnarmstrong,Armstrong,Right,Shawn Armstrong,TBR,6.05,5.72,41.2,106.0,96.0,102.0,0.819,9.29,3.89,11.02,1.08,0.82,0.308,0.331,0.185,0.369,0.463,87.0,112.0,107.0,96.0,98.0,95.0,112.0,113.0,111.0,105.0,104.0,102.0,0.283,0.358,0.308,0.051,0.53,-0.4,-2.52,-4.27,93.2,90.1,93.6,83.3,0.21,0.387,0.336,0.424,0.492,0.09,0.25,0.5,0.212,0.286,0.571,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-04-24,745099,Lineout,field_out,True,650490,656427,Yandy Díaz,Jack Flaherty,0,933748aa-58bd-40ab-9ea7-78f7a4e479d2,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.74,,-7.15,0.85,93.6,,90.7,84.9,0.226,0.377,0.25,0.75,1.5,0.3,,,,0.205,0.426,0.391,94.0,82.0,78.0,103.0,104.0,108.0,0.191,0.033,2.33,-0.51,86.0,77.5,0.161,0.194,0.445,0.143,0.429,0.133,,,,,,,,,
6,2024-04-24,745099,Flyout,field_out,True,680700,656427,Richie Palacios,Jack Flaherty,0,e53cfa5d-be99-4843-8266-99d45e775c45,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.74,,-7.15,0.85,93.6,,90.7,84.9,0.226,0.377,0.25,0.75,1.5,0.3,,,,0.205,0.426,0.391,94.0,82.0,78.0,103.0,104.0,108.0,0.191,0.033,2.33,-0.51,86.0,77.5,0.161,0.194,0.445,0.143,0.429,0.133,,,,,,,,,
7,2024-04-24,745099,Home Run,home_run,False,668227,656427,Randy Arozarena,Jack Flaherty,0,4de636dc-a210-4a25-96a9-cc64ec3d0e4c,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.74,,-7.15,0.85,93.6,,90.7,84.9,0.226,0.377,0.25,0.75,1.5,0.3,,,,0.205,0.426,0.391,94.0,82.0,78.0,103.0,104.0,108.0,0.191,0.033,2.33,-0.51,86.0,77.5,0.161,0.194,0.445,0.143,0.429,0.133,,,,,,,,,
8,2024-04-24,745099,Groundout,field_out,True,670623,656427,Isaac Paredes,Jack Flaherty,0,bfb861f3-e89a-4926-8664-b793e536663a,656427.0,jackflaherty,Flaherty,Right,Jack Flaherty,DET,3.13,2.9,100.2,104.0,96.0,104.0,0.697,11.35,1.52,7.15,1.34,1.25,0.224,0.461,0.159,0.306,0.389,96.0,106.0,104.0,70.0,86.0,72.0,95.0,105.0,107.0,,,,0.024,0.44,,0.313,0.74,,-7.15,0.85,93.6,,90.7,84.9,0.226,0.377,0.25,0.75,1.5,0.3,,,,0.205,0.426,0.391,94.0,82.0,78.0,103.0,104.0,108.0,0.191,0.033,2.33,-0.51,86.0,77.5,0.161,0.194,0.445,0.143,0.429,0.133,,,,,,,,,
9,2024-04-24,745099,Strikeout,strikeout,True,678009,641302,Parker Meadows,Tyler Alexander,0,5ee0a704-74c6-4c17-8e97-9617cf575f5e,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,91.0,109.0,104.0,56.0,107.0,101.0,109.0,105.0,105.0,92.0,105.0,102.0,0.101,0.228,0.336,0.178,-1.79,-0.32,1.15,-0.41,89.0,84.4,88.9,76.5,0.283,0.604,0.241,0.238,0.238,0.029,0.257,0.529,0.206,0.31,0.5,0.128,105.0,105.0,108.0,,,,,0.158,,-2.47,80.9,,,,,0.308,0.513,0.186,,,,,,,,,
