,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,KC%,CH%,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFC,vCH,vSI,vSL,vKC,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,wFA/C,vFA,FF_ba,FF_slg,FF_whiff
0,2024-04-19,745758,Groundout,field_out,True,650490,657376,Yandy Díaz,Clarke Schmidt,0,00790289-5bb6-41f1-8ab1-b76b17868bbd,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,
1,2024-04-19,745758,Single,single,False,668227,657376,Randy Arozarena,Clarke Schmidt,0,b72a10db-9034-4745-a803-679b844cf77a,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,
2,2024-04-19,745758,Hit By Pitch,hit_by_pitch,False,680700,657376,Richie Palacios,Clarke Schmidt,1,9bf21358-bd04-4676-bfdf-eb669af9d085,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,
3,2024-04-19,745758,Grounded Into DP,grounded_into_double_play,True,670623,657376,Isaac Paredes,Clarke Schmidt,1,493edac8-3398-4e9c-abab-f93d3c7bd45c,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,
4,2024-04-19,745758,Strikeout,strikeout,True,683011,641302,Anthony Volpe,Tyler Alexander,0,d44b9562-ae18-4a12-9d70-e5ecd797eee4,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,105.0,105.0,108.0,56.0,107.0,101.0,109.0,105.0,105.0,,,,92.0,105.0,102.0,0.101,0.336,0.178,,0.158,-0.32,1.15,-0.41,,-2.47,84.4,80.9,88.9,76.5,,0.257,0.529,0.206,0.31,0.5,0.128,0.238,0.238,0.029,,,,0.308,0.513,0.186,91.0,109.0,104.0,0.228,-1.79,89.0,0.283,0.604,0.241
5,2024-04-19,745758,Flyout,field_out,True,665742,641302,Juan Soto,Tyler Alexander,0,38348096-407a-45e2-8bfe-d2ba36a400a0,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,105.0,105.0,108.0,56.0,107.0,101.0,109.0,105.0,105.0,,,,92.0,105.0,102.0,0.101,0.336,0.178,,0.158,-0.32,1.15,-0.41,,-2.47,84.4,80.9,88.9,76.5,,0.257,0.529,0.206,0.31,0.5,0.128,0.238,0.238,0.029,,,,0.308,0.513,0.186,91.0,109.0,104.0,0.228,-1.79,89.0,0.283,0.604,0.241
6,2024-04-19,745758,Walk,walk,False,592450,641302,Aaron Judge,Tyler Alexander,0,8b3273f7-dac5-4283-b043-6843328bf758,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,105.0,105.0,108.0,56.0,107.0,101.0,109.0,105.0,105.0,,,,92.0,105.0,102.0,0.101,0.336,0.178,,0.158,-0.32,1.15,-0.41,,-2.47,84.4,80.9,88.9,76.5,,0.257,0.529,0.206,0.31,0.5,0.128,0.238,0.238,0.029,,,,0.308,0.513,0.186,91.0,109.0,104.0,0.228,-1.79,89.0,0.283,0.604,0.241
7,2024-04-19,745758,Flyout,field_out,True,519317,641302,Giancarlo Stanton,Tyler Alexander,1,8f79e445-5f18-4d08-89a0-626b42205bde,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,6.19,5.09,56.2,106.0,93.0,105.0,0.823,7.62,2.06,10.01,2.06,0.61,0.262,0.377,0.148,0.344,0.468,105.0,105.0,108.0,56.0,107.0,101.0,109.0,105.0,105.0,,,,92.0,105.0,102.0,0.101,0.336,0.178,,0.158,-0.32,1.15,-0.41,,-2.47,84.4,80.9,88.9,76.5,,0.257,0.529,0.206,0.31,0.5,0.128,0.238,0.238,0.029,,,,0.308,0.513,0.186,91.0,109.0,104.0,0.228,-1.79,89.0,0.283,0.604,0.241
8,2024-04-19,745758,Single,single,False,623912,657376,Harold Ramírez,Clarke Schmidt,0,fdfaa902-0c17-4d62-a510-bddb84a03fb6,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,
9,2024-04-19,745758,Single,single,False,642708,657376,Amed Rosario,Clarke Schmidt,1,530f2c25-2be4-426a-9596-c0dc09c97b9f,657376.0,clarkeschmidt,Schmidt,Right,Clarke Schmidt,NYY,2.52,3.72,60.2,99.0,114.0,101.0,0.719,9.94,2.97,7.27,0.89,1.0,0.312,0.364,0.234,0.24,0.412,36.0,89.0,96.0,81.0,97.0,87.0,135.0,93.0,102.0,152.0,100.0,112.0,106.0,106.0,103.0,0.215,0.356,0.239,0.181,0.009,0.6,-0.42,1.58,0.69,-13.06,92.4,87.1,94.2,85.3,83.9,0.256,0.372,0.325,0.196,0.283,0.319,0.233,0.488,0.212,0.146,0.22,0.346,0.667,1.0,0.0,,,,,,,,,
