,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,SI%,FA%,SL%,KC%,CH%,wFA/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vCH,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,CU%,wFC/C,wFS/C,wCU/C,vFC,vFS,vCU,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff
0,2024-08-11,746517,Flyout,field_out,True,624585,607536,Jorge Soler,Kyle Freeland,0,bb4a65a3-ff43-44f5-bc37-eccc1954fb6a,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-11,746517,Home Run,home_run,False,663586,607536,Austin Riley,Kyle Freeland,0,92134842-7943-40da-9252-49204aa9fca2,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-11,746517,Strikeout,strikeout,True,542303,607536,Marcell Ozuna,Kyle Freeland,0,d2985273-eae3-4dbf-aed3-b18f8ced346d,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-11,746517,Pop Out,field_out,True,621566,607536,Matt Olson,Kyle Freeland,0,72284238-a01f-483f-8412-a60f7bcf7b4f,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-11,746517,Single,single,False,453568,680885,Charlie Blackmon,Spencer Schwellenbach,0,2028811c-0386-4c98-b9e4-a965981f5681,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,,,,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,,,,0.075,0.267,0.201,,,0.12,0.46,0.83,,,96.0,,95.1,87.0,,0.25,0.35,0.103,0.227,0.432,0.444,0.25,0.45,0.247,0.198,0.296,0.299,,,,99.0,101.0,105.0,95.0,100.0,98.0,83.0,103.0,104.0,0.166,0.139,0.151,-0.21,1.84,0.48,92.7,84.3,80.3,0.145,0.255,0.466,0.32,0.58,0.211,,,
5,2024-08-11,746517,Grounded Into DP,grounded_into_double_play,True,678662,680885,Ezequiel Tovar,Spencer Schwellenbach,1,0dd8ef40-f800-4dea-9a8a-c4a61e1870f2,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,,,,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,,,,0.075,0.267,0.201,,,0.12,0.46,0.83,,,96.0,,95.1,87.0,,0.25,0.35,0.103,0.227,0.432,0.444,0.25,0.45,0.247,0.198,0.296,0.299,,,,99.0,101.0,105.0,95.0,100.0,98.0,83.0,103.0,104.0,0.166,0.139,0.151,-0.21,1.84,0.48,92.7,84.3,80.3,0.145,0.255,0.466,0.32,0.58,0.211,,,
6,2024-08-11,746517,Flyout,field_out,True,641857,680885,Ryan McMahon,Spencer Schwellenbach,0,5fe62b83-889f-4671-bc52-481af5f5384c,680885.0,spencerschwellenbach,Schwellenbach,Right,Spencer Schwellenbach,ATL,3.72,3.04,87.0,106.0,101.0,107.0,0.719,10.55,1.86,7.76,1.03,1.15,0.23,0.439,0.196,0.3,0.452,,,,109.0,108.0,108.0,93.0,106.0,106.0,112.0,112.0,118.0,,,,0.075,0.267,0.201,,,0.12,0.46,0.83,,,96.0,,95.1,87.0,,0.25,0.35,0.103,0.227,0.432,0.444,0.25,0.45,0.247,0.198,0.296,0.299,,,,99.0,101.0,105.0,95.0,100.0,98.0,83.0,103.0,104.0,0.166,0.139,0.151,-0.21,1.84,0.48,92.7,84.3,80.3,0.145,0.255,0.466,0.32,0.58,0.211,,,
7,2024-08-11,746517,Groundout,field_out,True,518595,607536,Travis d'Arnaud,Kyle Freeland,0,c907f611-4b49-4d9f-9820-5fa05c0a41cf,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-11,746517,Single,single,False,606115,607536,Orlando Arcia,Kyle Freeland,0,f8dfc537-b722-4cd9-b6a0-faf97e80c3b8,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-11,746517,Grounded Into DP,grounded_into_double_play,True,594807,607536,Adam Duvall,Kyle Freeland,1,886a5113-0675-40bc-8952-29052a142730,607536.0,kylefreeland,Freeland,Left,Kyle Freeland,COL,5.51,4.94,85.0,102.0,83.0,98.0,0.829,7.09,2.54,10.69,1.48,1.17,0.204,0.434,0.147,0.344,0.432,56.0,98.0,84.0,70.0,100.0,92.0,86.0,106.0,99.0,63.0,103.0,102.0,129.0,99.0,106.0,0.267,0.208,0.228,0.193,0.103,-0.56,-1.66,-1.76,0.9,-2.53,91.9,86.4,91.6,87.1,83.8,0.33,0.6,0.061,0.173,0.213,0.477,0.274,0.411,0.067,0.354,0.677,0.179,0.4,0.6,0.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
