,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-09-01,745292,Groundout,field_out,True,669065,657277,Kyle Stowers,Logan Webb,0,2d5a7409-0bc4-4b29-8700-75f5ef48c7fc,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.46,4.34,189.2,105.0,112.0,107.0,0.818,7.45,2.18,8.87,0.47,2.62,0.23,0.363,0.166,0.29,0.404,137.0,106.0,113.0,58.0,107.0,89.0,95.0,104.0,102.0,125.0,103.0,113.0,62.0,105.0,99.0,0.402,0.053,0.013,0.212,0.32,-0.38,4.14,1.45,-0.06,0.34,92.5,90.7,87.3,92.5,83.7,0.262,0.383,0.215,0.265,0.337,0.145,0.256,0.349,0.259,0.2,0.257,0.324,0.167,0.167,0.143,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-01,745292,Strikeout,strikeout,True,656537,657277,Derek Hill,Logan Webb,0,91b57603-f9db-415b-b7d1-2ab4f909a018,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.46,4.34,189.2,105.0,112.0,107.0,0.818,7.45,2.18,8.87,0.47,2.62,0.23,0.363,0.166,0.29,0.404,137.0,106.0,113.0,58.0,107.0,89.0,95.0,104.0,102.0,125.0,103.0,113.0,62.0,105.0,99.0,0.402,0.053,0.013,0.212,0.32,-0.38,4.14,1.45,-0.06,0.34,92.5,90.7,87.3,92.5,83.7,0.262,0.383,0.215,0.265,0.337,0.145,0.256,0.349,0.259,0.2,0.257,0.324,0.167,0.167,0.143,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-01,745292,Groundout,field_out,True,660821,657277,Jesús Sánchez,Logan Webb,0,24bbc6ca-0369-4b6d-b483-c0ba540c8a89,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.46,4.34,189.2,105.0,112.0,107.0,0.818,7.45,2.18,8.87,0.47,2.62,0.23,0.363,0.166,0.29,0.404,137.0,106.0,113.0,58.0,107.0,89.0,95.0,104.0,102.0,125.0,103.0,113.0,62.0,105.0,99.0,0.402,0.053,0.013,0.212,0.32,-0.38,4.14,1.45,-0.06,0.34,92.5,90.7,87.3,92.5,83.7,0.262,0.383,0.215,0.265,0.337,0.145,0.256,0.349,0.259,0.2,0.257,0.324,0.167,0.167,0.143,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-01,745292,Home Run,home_run,False,573262,670766,Mike Yastrzemski,Darren McCaughan,0,cdd67100-885f-46e9-b0d2-154e71e27ffa,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,,,,0.306,0.189,,0.405,0.101,-2.62,,-2.83,-3.36,-0.31,89.4,,81.3,88.9,81.8,0.333,0.333,0.217,0.407,0.556,0.053,0.316,0.711,0.127,0.333,0.542,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-01,745292,Hit By Pitch,hit_by_pitch,False,666149,670766,Tyler Fitzgerald,Darren McCaughan,0,50115469-99e2-47ca-847a-0b7498b6e23b,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,,,,0.306,0.189,,0.405,0.101,-2.62,,-2.83,-3.36,-0.31,89.4,,81.3,88.9,81.8,0.333,0.333,0.217,0.407,0.556,0.053,0.316,0.711,0.127,0.333,0.542,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-01,745292,Strikeout,strikeout,True,624424,670766,Michael Conforto,Darren McCaughan,1,d93debec-6060-4528-ad01-309d43f7e1cb,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,,,,0.306,0.189,,0.405,0.101,-2.62,,-2.83,-3.36,-0.31,89.4,,81.3,88.9,81.8,0.333,0.333,0.217,0.407,0.556,0.053,0.316,0.711,0.127,0.333,0.542,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-01,745292,Hit By Pitch,hit_by_pitch,False,656305,670766,Matt Chapman,Darren McCaughan,0,19786673-7906-4105-89e1-6a18755aae6d,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,,,,0.306,0.189,,0.405,0.101,-2.62,,-2.83,-3.36,-0.31,89.4,,81.3,88.9,81.8,0.333,0.333,0.217,0.407,0.556,0.053,0.316,0.711,0.127,0.333,0.542,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-01,745292,Groundout,field_out,True,664774,670766,LaMonte Wade Jr.,Darren McCaughan,0,31d952c4-869e-4080-8a9b-1561974353da,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.4,6.24,24.1,94.0,85.0,91.0,0.89,5.18,3.7,12.95,2.22,0.64,0.222,0.456,0.122,0.289,0.441,65.0,91.0,76.0,46.0,89.0,76.0,78.0,93.0,84.0,114.0,97.0,106.0,,,,0.306,0.189,,0.405,0.101,-2.62,,-2.83,-3.36,-0.31,89.4,,81.3,88.9,81.8,0.333,0.333,0.217,0.407,0.556,0.053,0.316,0.711,0.127,0.333,0.542,0.195,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-01,745292,Groundout,field_out,True,681146,657277,Jonah Bride,Logan Webb,0,572c30ba-b9df-4b82-836e-bec6a6111298,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.46,4.34,189.2,105.0,112.0,107.0,0.818,7.45,2.18,8.87,0.47,2.62,0.23,0.363,0.166,0.29,0.404,137.0,106.0,113.0,58.0,107.0,89.0,95.0,104.0,102.0,125.0,103.0,113.0,62.0,105.0,99.0,0.402,0.053,0.013,0.212,0.32,-0.38,4.14,1.45,-0.06,0.34,92.5,90.7,87.3,92.5,83.7,0.262,0.383,0.215,0.265,0.337,0.145,0.256,0.349,0.259,0.2,0.257,0.324,0.167,0.167,0.143,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-01,745292,Groundout,field_out,True,665052,657277,Griffin Conine,Logan Webb,0,b3b9e0c5-2de3-48dc-a440-39d187f9765c,657277.0,loganwebb,Webb,Right,Logan Webb,SFG,3.46,4.34,189.2,105.0,112.0,107.0,0.818,7.45,2.18,8.87,0.47,2.62,0.23,0.363,0.166,0.29,0.404,137.0,106.0,113.0,58.0,107.0,89.0,95.0,104.0,102.0,125.0,103.0,113.0,62.0,105.0,99.0,0.402,0.053,0.013,0.212,0.32,-0.38,4.14,1.45,-0.06,0.34,92.5,90.7,87.3,92.5,83.7,0.262,0.383,0.215,0.265,0.337,0.145,0.256,0.349,0.259,0.2,0.257,0.324,0.167,0.167,0.143,,,,,,,,,,,,,,,,,,,,,,,,
