,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff
0,2024-09-07,745125,Single,single,False,677594,502043,Julio Rodríguez,Kyle Gibson,0,17f31bb2-4c22-4019-bee6-4d2853d72ec4,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.2,4.71,154.1,98.0,94.0,95.0,0.751,8.34,3.44,8.51,1.11,1.34,0.215,0.428,0.173,0.345,0.359,99.0,93.0,89.0,104.0,103.0,103.0,81.0,90.0,86.0,84.0,101.0,96.0,104.0,103.0,105.0,96.0,94.0,89.0,0.269,0.128,0.208,0.213,0.086,0.095,-0.94,0.36,0.35,0.93,-1.86,0.79,91.4,88.7,84.9,90.7,80.7,78.4,0.201,0.317,0.419,0.27,0.405,0.089,0.31,0.47,0.195,0.258,0.53,0.071,0.2,0.273,0.373,0.303,0.697,0.474,,,,,,,,,,,,
1,2024-09-07,745125,Single,single,False,663728,502043,Cal Raleigh,Kyle Gibson,1,3377d8cf-d219-4aad-8b73-479ba23f43fe,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.2,4.71,154.1,98.0,94.0,95.0,0.751,8.34,3.44,8.51,1.11,1.34,0.215,0.428,0.173,0.345,0.359,99.0,93.0,89.0,104.0,103.0,103.0,81.0,90.0,86.0,84.0,101.0,96.0,104.0,103.0,105.0,96.0,94.0,89.0,0.269,0.128,0.208,0.213,0.086,0.095,-0.94,0.36,0.35,0.93,-1.86,0.79,91.4,88.7,84.9,90.7,80.7,78.4,0.201,0.317,0.419,0.27,0.405,0.089,0.31,0.47,0.195,0.258,0.53,0.071,0.2,0.273,0.373,0.303,0.697,0.474,,,,,,,,,,,,
2,2024-09-07,745125,Strikeout,strikeout,True,668227,502043,Randy Arozarena,Kyle Gibson,0,c395c897-db77-492c-87ee-9bee05083421,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.2,4.71,154.1,98.0,94.0,95.0,0.751,8.34,3.44,8.51,1.11,1.34,0.215,0.428,0.173,0.345,0.359,99.0,93.0,89.0,104.0,103.0,103.0,81.0,90.0,86.0,84.0,101.0,96.0,104.0,103.0,105.0,96.0,94.0,89.0,0.269,0.128,0.208,0.213,0.086,0.095,-0.94,0.36,0.35,0.93,-1.86,0.79,91.4,88.7,84.9,90.7,80.7,78.4,0.201,0.317,0.419,0.27,0.405,0.089,0.31,0.47,0.195,0.258,0.53,0.071,0.2,0.273,0.373,0.303,0.697,0.474,,,,,,,,,,,,
3,2024-09-07,745125,Walk,walk,False,670042,502043,Luke Raley,Kyle Gibson,1,ba5496a7-bd5c-4d9e-8a04-b4f0032f7a1f,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.2,4.71,154.1,98.0,94.0,95.0,0.751,8.34,3.44,8.51,1.11,1.34,0.215,0.428,0.173,0.345,0.359,99.0,93.0,89.0,104.0,103.0,103.0,81.0,90.0,86.0,84.0,101.0,96.0,104.0,103.0,105.0,96.0,94.0,89.0,0.269,0.128,0.208,0.213,0.086,0.095,-0.94,0.36,0.35,0.93,-1.86,0.79,91.4,88.7,84.9,90.7,80.7,78.4,0.201,0.317,0.419,0.27,0.405,0.089,0.31,0.47,0.195,0.258,0.53,0.071,0.2,0.273,0.373,0.303,0.697,0.474,,,,,,,,,,,,
4,2024-09-07,745125,Strikeout,strikeout,True,457759,502043,Justin Turner,Kyle Gibson,0,07c8ac9c-b9dc-456e-a004-5ce817579058,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.2,4.71,154.1,98.0,94.0,95.0,0.751,8.34,3.44,8.51,1.11,1.34,0.215,0.428,0.173,0.345,0.359,99.0,93.0,89.0,104.0,103.0,103.0,81.0,90.0,86.0,84.0,101.0,96.0,104.0,103.0,105.0,96.0,94.0,89.0,0.269,0.128,0.208,0.213,0.086,0.095,-0.94,0.36,0.35,0.93,-1.86,0.79,91.4,88.7,84.9,90.7,80.7,78.4,0.201,0.317,0.419,0.27,0.405,0.089,0.31,0.47,0.195,0.258,0.53,0.071,0.2,0.273,0.373,0.303,0.697,0.474,,,,,,,,,,,,
5,2024-09-07,745125,Strikeout,strikeout,True,593871,502043,Jorge Polanco,Kyle Gibson,0,b9e7bf40-8ec1-41ce-8516-b89db3129881,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.2,4.71,154.1,98.0,94.0,95.0,0.751,8.34,3.44,8.51,1.11,1.34,0.215,0.428,0.173,0.345,0.359,99.0,93.0,89.0,104.0,103.0,103.0,81.0,90.0,86.0,84.0,101.0,96.0,104.0,103.0,105.0,96.0,94.0,89.0,0.269,0.128,0.208,0.213,0.086,0.095,-0.94,0.36,0.35,0.93,-1.86,0.79,91.4,88.7,84.9,90.7,80.7,78.4,0.201,0.317,0.419,0.27,0.405,0.089,0.31,0.47,0.195,0.258,0.53,0.071,0.2,0.273,0.373,0.303,0.697,0.474,,,,,,,,,,,,
6,2024-09-07,745125,Groundout,field_out,True,691026,669302,Masyn Winn,Logan Gilbert,0,e6ad3493-6ee3-4cc5-97e0-b90f46707214,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.15,3.15,185.2,101.0,121.0,105.0,0.715,9.26,1.6,6.3,0.97,1.18,0.228,0.449,0.141,0.329,0.429,,,,123.0,100.0,107.0,104.0,101.0,96.0,79.0,104.0,89.0,145.0,101.0,115.0,117.0,104.0,102.0,0.01,0.317,0.115,0.319,0.11,,1.66,1.2,0.5,1.5,0.92,,96.5,92.3,,94.8,88.3,83.2,,,,0.25,0.25,0.0,0.226,0.393,0.272,0.199,0.369,0.196,,,,0.178,0.274,0.354,105.0,96.0,103.0,0.13,1.06,84.3,0.217,0.385,0.355,0.099,0.173,0.483
7,2024-09-07,745125,Strikeout,strikeout,True,676475,669302,Alec Burleson,Logan Gilbert,0,d87c969c-08d1-4bfc-9d8b-5a6beb62a23a,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.15,3.15,185.2,101.0,121.0,105.0,0.715,9.26,1.6,6.3,0.97,1.18,0.228,0.449,0.141,0.329,0.429,,,,123.0,100.0,107.0,104.0,101.0,96.0,79.0,104.0,89.0,145.0,101.0,115.0,117.0,104.0,102.0,0.01,0.317,0.115,0.319,0.11,,1.66,1.2,0.5,1.5,0.92,,96.5,92.3,,94.8,88.3,83.2,,,,0.25,0.25,0.0,0.226,0.393,0.272,0.199,0.369,0.196,,,,0.178,0.274,0.354,105.0,96.0,103.0,0.13,1.06,84.3,0.217,0.385,0.355,0.099,0.173,0.483
8,2024-09-07,745125,Strikeout,strikeout,True,502671,669302,Paul Goldschmidt,Logan Gilbert,0,b43158f3-3d01-4b0a-a87d-af4306d4b49f,669302.0,logangilbert,"Gilbert, L",Right,Logan Gilbert,SEA,3.15,3.15,185.2,101.0,121.0,105.0,0.715,9.26,1.6,6.3,0.97,1.18,0.228,0.449,0.141,0.329,0.429,,,,123.0,100.0,107.0,104.0,101.0,96.0,79.0,104.0,89.0,145.0,101.0,115.0,117.0,104.0,102.0,0.01,0.317,0.115,0.319,0.11,,1.66,1.2,0.5,1.5,0.92,,96.5,92.3,,94.8,88.3,83.2,,,,0.25,0.25,0.0,0.226,0.393,0.272,0.199,0.369,0.196,,,,0.178,0.274,0.354,105.0,96.0,103.0,0.13,1.06,84.3,0.217,0.385,0.355,0.099,0.173,0.483
9,2024-09-07,745125,Groundout,field_out,True,641487,502043,J.P. Crawford,Kyle Gibson,0,f4024feb-1cc5-48d1-ac7b-892296ea517c,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.2,4.71,154.1,98.0,94.0,95.0,0.751,8.34,3.44,8.51,1.11,1.34,0.215,0.428,0.173,0.345,0.359,99.0,93.0,89.0,104.0,103.0,103.0,81.0,90.0,86.0,84.0,101.0,96.0,104.0,103.0,105.0,96.0,94.0,89.0,0.269,0.128,0.208,0.213,0.086,0.095,-0.94,0.36,0.35,0.93,-1.86,0.79,91.4,88.7,84.9,90.7,80.7,78.4,0.201,0.317,0.419,0.27,0.405,0.089,0.31,0.47,0.195,0.258,0.53,0.071,0.2,0.273,0.373,0.303,0.697,0.474,,,,,,,,,,,,
