,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-05-27,745986,Groundout,field_out,True,663538,688107,Nico Hoerner,Robert Gasser,0,d0846a9a-0c00-423f-b68e-86109074853d,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,75.0,95.0,84.0,82.0,105.0,94.0,101.0,103.0,96.0,125.0,101.0,111.0,66.0,105.0,97.0,0.246,0.198,0.093,0.321,0.143,1.74,-6.75,2.42,1.12,1.35,93.3,88.4,87.9,92.5,80.6,0.219,0.219,0.149,0.214,0.214,0.173,0.19,0.333,0.345,0.333,0.4,0.172,0.6,0.9,0.2,,,,,,,,,,,,,,,,,,
1,2024-05-27,745986,Strikeout,strikeout,True,673548,688107,Seiya Suzuki,Robert Gasser,0,1eac67d0-4de1-49ae-8ad8-00d5009acccc,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,75.0,95.0,84.0,82.0,105.0,94.0,101.0,103.0,96.0,125.0,101.0,111.0,66.0,105.0,97.0,0.246,0.198,0.093,0.321,0.143,1.74,-6.75,2.42,1.12,1.35,93.3,88.4,87.9,92.5,80.6,0.219,0.219,0.149,0.214,0.214,0.173,0.19,0.333,0.345,0.333,0.4,0.172,0.6,0.9,0.2,,,,,,,,,,,,,,,,,,
2,2024-05-27,745986,Lineout,field_out,True,641355,688107,Cody Bellinger,Robert Gasser,0,d1ab372c-1202-4e4e-b47f-f6fecbcea12c,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,75.0,95.0,84.0,82.0,105.0,94.0,101.0,103.0,96.0,125.0,101.0,111.0,66.0,105.0,97.0,0.246,0.198,0.093,0.321,0.143,1.74,-6.75,2.42,1.12,1.35,93.3,88.4,87.9,92.5,80.6,0.219,0.219,0.149,0.214,0.214,0.173,0.19,0.333,0.345,0.333,0.4,0.172,0.6,0.9,0.2,,,,,,,,,,,,,,,,,,
3,2024-05-27,745986,Strikeout,strikeout,True,661388,657006,William Contreras,Justin Steele,0,a81695ac-0e7e-4694-8bd0-5a09a2e37d42,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,,,,0.05,0.598,,0.298,0.027,0.43,,2.99,1.39,3.98,91.7,,86.6,92.0,83.2,0.255,0.401,0.206,0.188,0.25,0.2,0.171,0.279,0.299,0.133,0.133,0.111,,,,90.0,122.0,109.0,0.027,3.31,79.8,0.0,0.0,0.214,,,,,,,,,
4,2024-05-27,745986,Strikeout,strikeout,True,592885,657006,Christian Yelich,Justin Steele,0,ae57daea-679f-4387-81e1-02f73743c870,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,,,,0.05,0.598,,0.298,0.027,0.43,,2.99,1.39,3.98,91.7,,86.6,92.0,83.2,0.255,0.401,0.206,0.188,0.25,0.2,0.171,0.279,0.299,0.133,0.133,0.111,,,,90.0,122.0,109.0,0.027,3.31,79.8,0.0,0.0,0.214,,,,,,,,,
5,2024-05-27,745986,Single,single,False,642715,657006,Willy Adames,Justin Steele,0,aa7c3087-a4b9-44a6-b2d0-705b818a6790,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,,,,0.05,0.598,,0.298,0.027,0.43,,2.99,1.39,3.98,91.7,,86.6,92.0,83.2,0.255,0.401,0.206,0.188,0.25,0.2,0.171,0.279,0.299,0.133,0.133,0.111,,,,90.0,122.0,109.0,0.027,3.31,79.8,0.0,0.0,0.214,,,,,,,,,
6,2024-05-27,745986,Strikeout,strikeout,True,596142,657006,Gary Sánchez,Justin Steele,0,965b4f5a-af0f-42ca-a474-889b92d01d95,657006.0,justinsteele,Steele,Left,Justin Steele,CHC,3.07,3.01,91.0,103.0,101.0,102.0,0.802,8.6,1.98,7.22,0.79,1.1,0.278,0.378,0.166,0.301,0.525,72.0,96.0,99.0,90.0,102.0,100.0,66.0,103.0,93.0,132.0,104.0,109.0,,,,0.05,0.598,,0.298,0.027,0.43,,2.99,1.39,3.98,91.7,,86.6,92.0,83.2,0.255,0.401,0.206,0.188,0.25,0.2,0.171,0.279,0.299,0.133,0.133,0.111,,,,90.0,122.0,109.0,0.027,3.31,79.8,0.0,0.0,0.214,,,,,,,,,
7,2024-05-27,745986,Strikeout,strikeout,True,666624,688107,Christopher Morel,Robert Gasser,0,f9985ad0-6cf2-474b-b85f-7ed88c2a02b8,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,75.0,95.0,84.0,82.0,105.0,94.0,101.0,103.0,96.0,125.0,101.0,111.0,66.0,105.0,97.0,0.246,0.198,0.093,0.321,0.143,1.74,-6.75,2.42,1.12,1.35,93.3,88.4,87.9,92.5,80.6,0.219,0.219,0.149,0.214,0.214,0.173,0.19,0.333,0.345,0.333,0.4,0.172,0.6,0.9,0.2,,,,,,,,,,,,,,,,,,
8,2024-05-27,745986,Pop Out,field_out,True,621550,688107,Patrick Wisdom,Robert Gasser,0,1a391f37-5e39-473d-8e2d-8956aeec77df,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,75.0,95.0,84.0,82.0,105.0,94.0,101.0,103.0,96.0,125.0,101.0,111.0,66.0,105.0,97.0,0.246,0.198,0.093,0.321,0.143,1.74,-6.75,2.42,1.12,1.35,93.3,88.4,87.9,92.5,80.6,0.219,0.219,0.149,0.214,0.214,0.173,0.19,0.333,0.345,0.333,0.4,0.172,0.6,0.9,0.2,,,,,,,,,,,,,,,,,,
9,2024-05-27,745986,Strikeout,strikeout,True,621020,688107,Dansby Swanson,Robert Gasser,0,8d2513ce-6a7a-4e4d-b35a-a1ad41c81877,688107.0,robertgasser,Gasser,Left,Robert Gasser,MIL,2.57,2.88,28.0,102.0,97.0,99.0,0.793,5.14,0.32,9.0,0.64,1.25,0.245,0.362,0.191,0.234,0.524,75.0,95.0,84.0,82.0,105.0,94.0,101.0,103.0,96.0,125.0,101.0,111.0,66.0,105.0,97.0,0.246,0.198,0.093,0.321,0.143,1.74,-6.75,2.42,1.12,1.35,93.3,88.4,87.9,92.5,80.6,0.219,0.219,0.149,0.214,0.214,0.173,0.19,0.333,0.345,0.333,0.4,0.172,0.6,0.9,0.2,,,,,,,,,,,,,,,,,,
