,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-06,746731,Strikeout,strikeout,True,607043,607259,Brandon Nimmo,Nick Martinez,0,49acdcf1-eb0c-4844-8941-d6db60941797,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.131,0.217,0.96,0.21,1.08,0.29,-2.24,0.75,92.6,88.5,80.0,91.9,84.7,81.1,0.211,0.38,0.384,0.206,0.317,0.188,0.345,0.5,0.145,0.24,0.34,0.053,0.381,0.714,0.37,0.235,0.294,0.432,,,,,,,,,
1,2024-04-06,746731,Groundout,field_out,True,596019,607259,Francisco Lindor,Nick Martinez,0,0e85cd29-f7c8-42e4-8897-10d7c2417949,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.131,0.217,0.96,0.21,1.08,0.29,-2.24,0.75,92.6,88.5,80.0,91.9,84.7,81.1,0.211,0.38,0.384,0.206,0.317,0.188,0.345,0.5,0.145,0.24,0.34,0.053,0.381,0.714,0.37,0.235,0.294,0.432,,,,,,,,,
2,2024-04-06,746731,Flyout,field_out,True,624413,607259,Pete Alonso,Nick Martinez,0,bad915ac-2ed6-4488-9815-4c5749bde251,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.131,0.217,0.96,0.21,1.08,0.29,-2.24,0.75,92.6,88.5,80.0,91.9,84.7,81.1,0.211,0.38,0.384,0.206,0.317,0.188,0.345,0.5,0.145,0.24,0.34,0.053,0.381,0.714,0.37,0.235,0.294,0.432,,,,,,,,,
3,2024-04-06,746731,Strikeout,strikeout,True,663697,622663,Jonathan India,Luis Severino,0,dcc5d9ba-00b3-4f06-8eba-0ab99c59b2fc,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,,,,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,,0.085,-0.23,-0.79,1.98,0.72,,-1.35,96.0,93.0,85.9,95.5,85.8,,0.29,0.484,0.143,0.244,0.409,0.201,0.241,0.345,0.207,0.246,0.361,0.137,,,,0.216,0.27,0.283,,,,,,,,,
4,2024-04-06,746731,Groundout,field_out,True,666181,622663,Will Benson,Luis Severino,0,d86c7a63-693a-47b7-8476-880452d31000,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,,,,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,,0.085,-0.23,-0.79,1.98,0.72,,-1.35,96.0,93.0,85.9,95.5,85.8,,0.29,0.484,0.143,0.244,0.409,0.201,0.241,0.345,0.207,0.246,0.361,0.137,,,,0.216,0.27,0.283,,,,,,,,,
5,2024-04-06,746731,Flyout,field_out,True,687952,622663,Christian Encarnacion-Strand,Luis Severino,0,6ae2c379-d1b9-496d-8efe-bb08419bc7cb,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.78,3.91,109.2,100.0,103.0,100.0,0.833,6.65,3.04,7.71,0.98,1.38,0.268,0.372,0.213,0.287,0.443,85.0,93.0,94.0,,,,98.0,102.0,99.0,88.0,97.0,94.0,142.0,102.0,113.0,93.0,94.0,89.0,0.281,0.338,0.075,0.22,,0.085,-0.23,-0.79,1.98,0.72,,-1.35,96.0,93.0,85.9,95.5,85.8,,0.29,0.484,0.143,0.244,0.409,0.201,0.241,0.345,0.207,0.246,0.361,0.137,,,,0.216,0.27,0.283,,,,,,,,,
6,2024-04-06,746731,Strikeout,strikeout,True,683146,607259,Brett Baty,Nick Martinez,0,59cd9078-9f4f-4f43-85f6-d6f064c4e7e5,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.131,0.217,0.96,0.21,1.08,0.29,-2.24,0.75,92.6,88.5,80.0,91.9,84.7,81.1,0.211,0.38,0.384,0.206,0.317,0.188,0.345,0.5,0.145,0.24,0.34,0.053,0.381,0.714,0.37,0.235,0.294,0.432,,,,,,,,,
7,2024-04-06,746731,Single,single,False,516782,607259,Starling Marte,Nick Martinez,0,edc3eedb-8794-4244-8e1b-c312e381e146,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.131,0.217,0.96,0.21,1.08,0.29,-2.24,0.75,92.6,88.5,80.0,91.9,84.7,81.1,0.211,0.38,0.384,0.206,0.317,0.188,0.345,0.5,0.145,0.24,0.34,0.053,0.381,0.714,0.37,0.235,0.294,0.432,,,,,,,,,
8,2024-04-06,746731,Strikeout,strikeout,True,621438,607259,Tyrone Taylor,Nick Martinez,0,83f0fa25-0927-4e3b-9059-0f438d13c922,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.131,0.217,0.96,0.21,1.08,0.29,-2.24,0.75,92.6,88.5,80.0,91.9,84.7,81.1,0.211,0.38,0.384,0.206,0.317,0.188,0.345,0.5,0.145,0.24,0.34,0.053,0.381,0.714,0.37,0.235,0.294,0.432,,,,,,,,,
9,2024-04-06,746731,Flyout,field_out,True,643446,607259,Jeff McNeil,Nick Martinez,1,892a4107-7c9d-49a4-9946-f3f16405d8df,607259.0,nickmartinez,"Martinez, N",Right,Nick Martinez,CIN,3.88,3.17,72.0,109.0,101.0,107.0,0.785,7.0,1.13,9.0,0.75,0.9,0.289,0.399,0.228,0.215,0.426,118.0,115.0,119.0,109.0,102.0,103.0,90.0,109.0,107.0,84.0,106.0,97.0,101.0,109.0,111.0,101.0,108.0,104.0,0.152,0.219,0.199,0.083,0.131,0.217,0.96,0.21,1.08,0.29,-2.24,0.75,92.6,88.5,80.0,91.9,84.7,81.1,0.211,0.38,0.384,0.206,0.317,0.188,0.345,0.5,0.145,0.24,0.34,0.053,0.381,0.714,0.37,0.235,0.294,0.432,,,,,,,,,
