,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,CH%,wFC/C,wCU/C,wCH/C,vFC,vCH,vCU,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff
0,2024-05-13,746233,Lineout,field_out,True,572761,667755,Matt Carpenter,José Soriano,0,2ecef391-03c2-4091-a023-c63d8ce1725f,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-13,746233,Groundout,field_out,True,663457,667755,Lars Nootbaar,José Soriano,0,512fa75a-c343-40b0-acb0-164b2d7cc6cb,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-13,746233,Strikeout,strikeout,True,502671,667755,Paul Goldschmidt,José Soriano,0,f39abe0a-f3c7-4261-bf2a-73e04267bebf,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-13,746233,Double,double,False,694384,669461,Nolan Schanuel,Matthew Liberatore,0,49cd705f-9061-432e-a435-a27e39c30929,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,,,,,,,0.196,0.26,,0.302,,0.24,,-2.85,3.84,,94.4,,95.2,87.5,,0.362,0.596,0.116,0.154,0.154,0.238,0.212,0.485,0.14,,,,0.132,0.162,0.431,46.0,89.0,90.0,128.0,97.0,102.0,101.0,111.0,110.0,0.106,0.073,0.063,-1.7,0.19,-0.49,91.9,87.7,77.8,0.474,0.684,0.228,0.143,0.571,0.227
4,2024-05-13,746233,Strikeout,strikeout,True,666176,669461,Jo Adell,Matthew Liberatore,0,f2f91022-de2a-4df4-9342-57d7fb94a82f,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,,,,,,,0.196,0.26,,0.302,,0.24,,-2.85,3.84,,94.4,,95.2,87.5,,0.362,0.596,0.116,0.154,0.154,0.238,0.212,0.485,0.14,,,,0.132,0.162,0.431,46.0,89.0,90.0,128.0,97.0,102.0,101.0,111.0,110.0,0.106,0.073,0.063,-1.7,0.19,-0.49,91.9,87.7,77.8,0.474,0.684,0.228,0.143,0.571,0.227
5,2024-05-13,746233,Walk,walk,False,621493,669461,Taylor Ward,Matthew Liberatore,0,1a28d020-f65b-476e-8d0a-ee7ff58e49e8,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,,,,,,,0.196,0.26,,0.302,,0.24,,-2.85,3.84,,94.4,,95.2,87.5,,0.362,0.596,0.116,0.154,0.154,0.238,0.212,0.485,0.14,,,,0.132,0.162,0.431,46.0,89.0,90.0,128.0,97.0,102.0,101.0,111.0,110.0,0.106,0.073,0.063,-1.7,0.19,-0.49,91.9,87.7,77.8,0.474,0.684,0.228,0.143,0.571,0.227
6,2024-05-13,746233,Double Play,double_play,True,607680,669461,Kevin Pillar,Matthew Liberatore,1,ed57109e-6d4b-49ec-833f-3549728cdc4b,669461.0,matthewliberatore,Liberatore,Left,Matthew Liberatore,STL,4.15,4.22,52.0,100.0,94.0,99.0,0.767,7.1,2.94,7.96,1.04,1.0,0.238,0.358,0.113,0.305,0.458,66.0,96.0,87.0,78.0,103.0,99.0,130.0,102.0,107.0,,,,,,,0.196,0.26,,0.302,,0.24,,-2.85,3.84,,94.4,,95.2,87.5,,0.362,0.596,0.116,0.154,0.154,0.238,0.212,0.485,0.14,,,,0.132,0.162,0.431,46.0,89.0,90.0,128.0,97.0,102.0,101.0,111.0,110.0,0.106,0.073,0.063,-1.7,0.19,-0.49,91.9,87.7,77.8,0.474,0.684,0.228,0.143,0.571,0.227
7,2024-05-13,746233,Groundout,field_out,True,571448,667755,Nolan Arenado,José Soriano,0,aff61ba7-dddd-401e-80e0-c84aa6f35263,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-13,746233,Strikeout,strikeout,True,669357,667755,Nolan Gorman,José Soriano,0,641c2769-a0b8-4413-805d-dd76b1c1c8c2,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-13,746233,Strikeout,strikeout,True,671056,667755,Iván Herrera,José Soriano,0,6ef66b2d-4513-4f8d-ac9e-d52e41fb037b,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,,,,,,,
