,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,CH%,wFC/C,wKC/C,wCH/C,vFC,vCH,vKC,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
0,2024-04-05,745361,Double,double,False,593428,663855,Xander Bogaerts,Jordan Hicks,0,5263ad2a-2ac9-458a-8670-a8a0bb43292d,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-05,745361,Groundout,field_out,True,665487,663855,Fernando Tatis Jr.,Jordan Hicks,1,2ae9d025-4729-4c02-99ab-2fd8fd0a0621,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-05,745361,Single,single,False,630105,663855,Jake Cronenworth,Jordan Hicks,1,d20db3f7-a754-43fe-b575-32001af4d5f2,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-05,745361,Grounded Into DP,grounded_into_double_play,True,592518,663855,Manny Machado,Jordan Hicks,1,89742c6f-cd1b-484c-a79c-7f04170579c1,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-05,745361,Walk,walk,False,808982,656302,Jung Hoo Lee,Dylan Cease,0,5d3b3019-1727-4165-a92a-87418bbf31a8,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,,,,,0.435,,0.462,-0.1,,,1.62,96.8,,,87.1,,,,,,,0.182,0.273,0.379,0.244,0.445,0.225,55.0,72.0,68.0,108.0,99.0,104.0,113.0,89.0,90.0,0.01,0.081,0.013,-5.15,-0.64,-4.3,91.8,69.5,82.7,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,
5,2024-04-05,745361,Flyout,field_out,True,664774,656302,LaMonte Wade Jr.,Dylan Cease,0,f0377242-21bb-4828-bb48-ec999d98398d,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,,,,,0.435,,0.462,-0.1,,,1.62,96.8,,,87.1,,,,,,,0.182,0.273,0.379,0.244,0.445,0.225,55.0,72.0,68.0,108.0,99.0,104.0,113.0,89.0,90.0,0.01,0.081,0.013,-5.15,-0.64,-4.3,91.8,69.5,82.7,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,
6,2024-04-05,745361,Lineout,field_out,True,624585,656302,Jorge Soler,Dylan Cease,0,240d5786-524a-430d-b099-855c5abc8d04,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,,,,,0.435,,0.462,-0.1,,,1.62,96.8,,,87.1,,,,,,,0.182,0.273,0.379,0.244,0.445,0.225,55.0,72.0,68.0,108.0,99.0,104.0,113.0,89.0,90.0,0.01,0.081,0.013,-5.15,-0.64,-4.3,91.8,69.5,82.7,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,
7,2024-04-05,745361,Double,double,False,624424,656302,Michael Conforto,Dylan Cease,1,ac90276c-7ef8-4c28-9440-d58f1d7f84b8,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,,,,,0.435,,0.462,-0.1,,,1.62,96.8,,,87.1,,,,,,,0.182,0.273,0.379,0.244,0.445,0.225,55.0,72.0,68.0,108.0,99.0,104.0,113.0,89.0,90.0,0.01,0.081,0.013,-5.15,-0.64,-4.3,91.8,69.5,82.7,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,
8,2024-04-05,745361,Strikeout,strikeout,True,656305,656302,Matt Chapman,Dylan Cease,0,28ac501f-ebe7-44a0-80a9-fe013c27df9d,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,,,,,0.435,,0.462,-0.1,,,1.62,96.8,,,87.1,,,,,,,0.182,0.273,0.379,0.244,0.445,0.225,55.0,72.0,68.0,108.0,99.0,104.0,113.0,89.0,90.0,0.01,0.081,0.013,-5.15,-0.64,-4.3,91.8,69.5,82.7,0.242,0.455,0.333,0.25,1.0,0.0,0.25,1.0,0.2,,,,,,
9,2024-04-05,745361,Groundout,field_out,True,673490,663855,Ha-Seong Kim,Jordan Hicks,0,7bda81fc-9dbd-4e2f-8e95-d6deeb5f3aa9,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
