,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,SI%,KC%,wSI/C,wKC/C,vSI,vKC,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-03,745293,Single,single,False,672695,690986,Geraldo Perdomo,Kyle Harrison,0,f2a838fd-1f66-486e-91f5-8b53708370bc,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,71.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.223,0.197,0.21,-11.74,-0.22,-1.63,92.5,84.8,88.2,80.6,0.249,0.425,0.23,0.287,0.435,0.215,0.274,0.452,0.277,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-03,745293,Double,double,False,682998,690986,Corbin Carroll,Kyle Harrison,1,10772924-8a57-496f-9756-633081e16c91,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,71.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.223,0.197,0.21,-11.74,-0.22,-1.63,92.5,84.8,88.2,80.6,0.249,0.425,0.23,0.287,0.435,0.215,0.274,0.452,0.277,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-03,745293,Groundout,field_out,True,605137,690986,Josh Bell,Kyle Harrison,1,3026b21a-ee5b-421e-bca5-289ecbf82393,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,71.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.223,0.197,0.21,-11.74,-0.22,-1.63,92.5,84.8,88.2,80.6,0.249,0.425,0.23,0.287,0.435,0.215,0.274,0.452,0.277,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-03,745293,Strikeout,strikeout,True,572233,690986,Christian Walker,Kyle Harrison,0,3a327163-dba4-43b5-8b37-7610c4890030,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,71.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.223,0.197,0.21,-11.74,-0.22,-1.63,92.5,84.8,88.2,80.6,0.249,0.425,0.23,0.287,0.435,0.215,0.274,0.452,0.277,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-03,745293,Home Run,home_run,False,545341,690986,Randal Grichuk,Kyle Harrison,1,fd69a23e-d2e0-43f6-a868-4bfe7434c172,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,71.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.223,0.197,0.21,-11.74,-0.22,-1.63,92.5,84.8,88.2,80.6,0.249,0.425,0.23,0.287,0.435,0.215,0.274,0.452,0.277,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-09-03,745293,Groundout,field_out,True,553993,690986,Eugenio Suárez,Kyle Harrison,0,faffa222-dc0e-4c0c-a8ae-6760527960e8,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,4.56,4.87,124.1,98.0,89.0,92.0,0.793,8.54,3.04,9.05,1.3,1.01,0.282,0.329,0.142,0.345,0.431,71.0,96.0,88.0,84.0,95.0,95.0,98.0,100.0,92.0,93.0,107.0,97.0,0.577,0.003,0.223,0.197,0.21,-11.74,-0.22,-1.63,92.5,84.8,88.2,80.6,0.249,0.425,0.23,0.287,0.435,0.215,0.274,0.452,0.277,0.333,0.667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-09-03,745293,Walk,walk,False,573262,669194,Mike Yastrzemski,Ryne Nelson,0,7fa20db9-4b1d-4e75-998e-80a453224db4,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.33,4.16,147.2,106.0,100.0,104.0,0.839,7.62,2.07,9.39,1.04,1.11,0.274,0.386,0.145,0.331,0.465,109.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,111.0,112.0,110.0,0.555,0.104,0.058,0.1,0.6,-0.62,1.82,-2.34,95.2,83.0,83.8,77.8,0.25,0.421,0.195,0.302,0.587,0.203,,,,0.226,0.34,0.156,78.0,106.0,96.0,0.183,-1.13,91.3,0.328,0.525,0.151,0.138,0.207,0.148,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-03,745293,Double,double,False,666149,669194,Tyler Fitzgerald,Ryne Nelson,1,e82ffed2-1c89-4011-b2bc-0d698b9040d8,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.33,4.16,147.2,106.0,100.0,104.0,0.839,7.62,2.07,9.39,1.04,1.11,0.274,0.386,0.145,0.331,0.465,109.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,111.0,112.0,110.0,0.555,0.104,0.058,0.1,0.6,-0.62,1.82,-2.34,95.2,83.0,83.8,77.8,0.25,0.421,0.195,0.302,0.587,0.203,,,,0.226,0.34,0.156,78.0,106.0,96.0,0.183,-1.13,91.3,0.328,0.525,0.151,0.138,0.207,0.148,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-03,745293,Sac Fly,sac_fly,True,671218,669194,Heliot Ramos,Ryne Nelson,1,241fed6f-1452-435a-9092-2be8fa040dcb,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.33,4.16,147.2,106.0,100.0,104.0,0.839,7.62,2.07,9.39,1.04,1.11,0.274,0.386,0.145,0.331,0.465,109.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,111.0,112.0,110.0,0.555,0.104,0.058,0.1,0.6,-0.62,1.82,-2.34,95.2,83.0,83.8,77.8,0.25,0.421,0.195,0.302,0.587,0.203,,,,0.226,0.34,0.156,78.0,106.0,96.0,0.183,-1.13,91.3,0.328,0.525,0.151,0.138,0.207,0.148,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-03,745293,Strikeout,strikeout,True,656305,669194,Matt Chapman,Ryne Nelson,0,b05fff04-e0a0-4afe-b989-d4d5de94a184,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.33,4.16,147.2,106.0,100.0,104.0,0.839,7.62,2.07,9.39,1.04,1.11,0.274,0.386,0.145,0.331,0.465,109.0,99.0,107.0,91.0,94.0,94.0,105.0,107.0,106.0,111.0,112.0,110.0,0.555,0.104,0.058,0.1,0.6,-0.62,1.82,-2.34,95.2,83.0,83.8,77.8,0.25,0.421,0.195,0.302,0.587,0.203,,,,0.226,0.34,0.156,78.0,106.0,96.0,0.183,-1.13,91.3,0.328,0.525,0.151,0.138,0.207,0.148,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,,,,,,,
