,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff
0,2024-09-26,746415,Pop Out,field_out,True,666624,681857,Christopher Morel,Reese Olson,0,8438a2a7-a856-417c-93cf-d802e6ecd3c2,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.51,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.309,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.06,0.223,-0.39,1.85,2.08,-3.32,-0.05,94.2,86.5,94.2,84.8,79.0,0.277,0.386,0.101,0.284,0.385,0.076,0.143,0.194,0.451,0.222,0.344,0.424,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-26,746415,Lineout,field_out,True,664040,681857,Brandon Lowe,Reese Olson,0,1d1ab41c-b655-41be-a50a-8ebf7a2251fd,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.51,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.309,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.06,0.223,-0.39,1.85,2.08,-3.32,-0.05,94.2,86.5,94.2,84.8,79.0,0.277,0.386,0.101,0.284,0.385,0.076,0.143,0.194,0.451,0.222,0.344,0.424,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-26,746415,Groundout,field_out,True,691406,681857,Junior Caminero,Reese Olson,0,9c141b9e-78bb-47c1-a2ee-538ff737da40,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.51,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.309,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.06,0.223,-0.39,1.85,2.08,-3.32,-0.05,94.2,86.5,94.2,84.8,79.0,0.277,0.386,0.101,0.284,0.385,0.076,0.143,0.194,0.451,0.222,0.344,0.424,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-26,746415,Groundout,field_out,True,628451,641302,Andy Ibáñez,Tyler Alexander,0,2111194b-4093-4e2f-9164-0020898d8c97,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.71,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,,,,85.0,110.0,103.0,61.0,113.0,105.0,114.0,107.0,109.0,0.131,0.223,0.191,,0.137,-0.2,-1.02,1.43,,-2.94,89.6,81.3,89.7,77.8,,0.232,0.495,0.244,0.288,0.492,0.109,,,,0.339,0.5,0.181,,,,98.0,101.0,99.0,0.318,-0.5,85.0,0.265,0.549,0.216,0.227,0.364,0.188,,,,,,,,,,,,,,,
4,2024-09-26,746415,Pop Out,field_out,True,672761,641302,Wenceel Pérez,Tyler Alexander,0,91cf4b61-48c5-4e96-9655-60bf748b86d4,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.71,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,,,,85.0,110.0,103.0,61.0,113.0,105.0,114.0,107.0,109.0,0.131,0.223,0.191,,0.137,-0.2,-1.02,1.43,,-2.94,89.6,81.3,89.7,77.8,,0.232,0.495,0.244,0.288,0.492,0.109,,,,0.339,0.5,0.181,,,,98.0,101.0,99.0,0.318,-0.5,85.0,0.265,0.549,0.216,0.227,0.364,0.188,,,,,,,,,,,,,,,
5,2024-09-26,746415,Strikeout,strikeout,True,682985,641302,Riley Greene,Tyler Alexander,0,cea93e1d-558e-42e2-90b7-729ca2e42eb8,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.71,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,,,,85.0,110.0,103.0,61.0,113.0,105.0,114.0,107.0,109.0,0.131,0.223,0.191,,0.137,-0.2,-1.02,1.43,,-2.94,89.6,81.3,89.7,77.8,,0.232,0.495,0.244,0.288,0.492,0.109,,,,0.339,0.5,0.181,,,,98.0,101.0,99.0,0.318,-0.5,85.0,0.265,0.549,0.216,0.227,0.364,0.188,,,,,,,,,,,,,,,
6,2024-09-26,746415,Lineout,field_out,True,666018,681857,Jonathan Aranda,Reese Olson,0,d8a869dc-c667-4e53-b4ac-95a1df4e4136,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.51,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.309,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.06,0.223,-0.39,1.85,2.08,-3.32,-0.05,94.2,86.5,94.2,84.8,79.0,0.277,0.386,0.101,0.284,0.385,0.076,0.143,0.194,0.451,0.222,0.344,0.424,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-09-26,746415,Strikeout,strikeout,True,666185,681857,Dylan Carlson,Reese Olson,0,98c615fa-ef73-4ae8-add2-4252f1263af6,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.51,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.309,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.06,0.223,-0.39,1.85,2.08,-3.32,-0.05,94.2,86.5,94.2,84.8,79.0,0.277,0.386,0.101,0.284,0.385,0.076,0.143,0.194,0.451,0.222,0.344,0.424,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-09-26,746415,Strikeout,strikeout,True,666139,681857,Josh Lowe,Reese Olson,0,e776b159-c40c-413b-8f6d-63aa7d9e2308,681857.0,reeseolson,Olson,Right,Reese Olson,DET,3.53,3.51,112.1,97.0,91.0,97.0,0.729,8.09,2.64,8.01,0.56,1.62,0.214,0.462,0.128,0.309,0.365,102.0,97.0,105.0,92.0,91.0,90.0,70.0,94.0,86.0,75.0,103.0,95.0,111.0,97.0,103.0,0.205,0.234,0.278,0.06,0.223,-0.39,1.85,2.08,-3.32,-0.05,94.2,86.5,94.2,84.8,79.0,0.277,0.386,0.101,0.284,0.385,0.076,0.143,0.194,0.451,0.222,0.344,0.424,0.304,0.652,0.295,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-26,746415,Strikeout,strikeout,True,663837,641302,Matt Vierling,Tyler Alexander,0,aea2a7cf-1afe-4792-8098-3d4ff4f603d0,641302.0,tyleralexander,"Alexander, T",Left,Tyler Alexander,TBR,5.1,4.71,107.2,106.0,94.0,104.0,0.815,7.52,2.01,9.2,1.92,0.62,0.28,0.372,0.155,0.351,0.441,102.0,103.0,103.0,,,,85.0,110.0,103.0,61.0,113.0,105.0,114.0,107.0,109.0,0.131,0.223,0.191,,0.137,-0.2,-1.02,1.43,,-2.94,89.6,81.3,89.7,77.8,,0.232,0.495,0.244,0.288,0.492,0.109,,,,0.339,0.5,0.181,,,,98.0,101.0,99.0,0.318,-0.5,85.0,0.265,0.549,0.216,0.227,0.364,0.188,,,,,,,,,,,,,,,
