,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff
33,2024-05-01,746800,Home Run,home_run,False,666135,623167,Alex Kirilloff,Chris Flexen,0,bc7b032e-e03c-436b-832d-13f88c6357b5,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.269,0.506,0.131,0.243,0.417,0.237,0.25,0.433,0.322,0.282,0.462,0.289,0.258,0.387,0.286,,,
34,2024-05-01,746800,Groundout,field_out,True,666397,623167,Edouard Julien,Chris Flexen,0,25643075-f1e7-4db2-9df4-72491bd4aa08,623167.0,chrisflexen,Flexen,Right,Chris Flexen,CHW,5.22,4.79,101.2,99.0,53.0,93.0,0.798,6.64,3.63,8.94,1.5,0.77,0.255,0.402,0.171,0.343,0.385,127.0,99.0,106.0,86.0,103.0,104.0,-1.0,93.0,82.0,87.0,119.0,94.0,148.0,100.0,103.0,47.0,103.0,93.0,0.003,0.383,0.275,0.076,0.117,0.146,-1.19,0.91,2.95,-1.07,0.1,-1.45,91.3,87.3,81.3,91.3,79.8,72.1,0.269,0.506,0.131,0.243,0.417,0.237,0.25,0.433,0.322,0.282,0.462,0.289,0.258,0.387,0.286,,,
35,2024-05-01,746800,Groundout,field_out,True,686676,641927,Korey Lee,Bailey Ober,0,9d493b60-d24e-4fa2-ad23-fd52ab316abe,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
36,2024-05-01,746800,Single,single,False,657557,641927,Paul DeJong,Bailey Ober,0,35026496-7412-4094-be3f-7f66c2859caf,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
37,2024-05-01,746800,Pop Out,field_out,True,669699,641927,Braden Shewmake,Bailey Ober,0,aa72e479-1abb-4c2c-99f2-88d36bc951b2,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
38,2024-05-01,746800,Double,double,False,543257,641927,Robbie Grossman,Bailey Ober,1,2650104d-bb36-4515-a608-8117557c6971,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
39,2024-05-01,746800,Groundout,field_out,True,502054,641927,Tommy Pham,Bailey Ober,0,7047bd07-5c05-4793-9bb4-ef21cef34887,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
40,2024-05-01,746800,Groundout,field_out,True,621043,621051,Carlos Correa,Steven Wilson,0,d60b6f4a-683e-40f5-b0c1-6836123857fa,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,,,,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,,0.104,-0.48,-1.41,,-0.09,,-0.37,93.4,86.6,81.5,,82.7,,0.205,0.385,0.147,,,,0.143,0.143,0.267,,,,0.196,0.413,0.327,,,
41,2024-05-01,746800,Walk,walk,False,596146,621051,Max Kepler,Steven Wilson,0,c895c9d5-547d-4972-beed-cb4b205d659a,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,,,,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,,0.104,-0.48,-1.41,,-0.09,,-0.37,93.4,86.6,81.5,,82.7,,0.205,0.385,0.147,,,,0.143,0.143,0.267,,,,0.196,0.413,0.327,,,
42,2024-05-01,746800,Lineout,field_out,True,669304,621051,Jose Miranda,Steven Wilson,0,3aaff245-d551-4608-a8cd-33ba1abb2de4,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,,,,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,,0.104,-0.48,-1.41,,-0.09,,-0.37,93.4,86.6,81.5,,82.7,,0.205,0.385,0.147,,,,0.143,0.143,0.267,,,,0.196,0.413,0.327,,,
43,2024-05-01,746800,Walk,walk,False,663616,621051,Trevor Larnach,Steven Wilson,1,9e24d0ee-b5d7-4250-a5bc-07e87bcdd843,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,,,,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,,0.104,-0.48,-1.41,,-0.09,,-0.37,93.4,86.6,81.5,,82.7,,0.205,0.385,0.147,,,,0.143,0.143,0.267,,,,0.196,0.413,0.327,,,
44,2024-05-01,746800,Walk,walk,False,467793,621051,Carlos Santana,Steven Wilson,1,d36eca56-ea3b-4382-9978-bc580de74726,621051.0,stevenwilson,"Wilson, S",Right,Steven Wilson,CHW,3.46,4.42,26.0,93.0,114.0,98.0,0.79,9.0,5.88,6.23,1.38,0.51,0.282,0.493,0.31,0.268,0.415,108.0,83.0,95.0,,,,104.0,91.0,92.0,,,,126.0,96.0,103.0,43.0,69.0,67.0,,0.411,0.013,0.472,,0.104,-0.48,-1.41,,-0.09,,-0.37,93.4,86.6,81.5,,82.7,,0.205,0.385,0.147,,,,0.143,0.143,0.267,,,,0.196,0.413,0.327,,,
45,2024-05-01,746800,Field Error,field_error,False,650489,608678,Willi Castro,Dominic Leone,1,12fa3ead-4ef4-423d-998d-d7a000671494,608678.0,dominicleone,Leone,Right,Dominic Leone,CHW,7.04,5.61,15.1,95.0,106.0,94.0,0.603,8.8,6.46,8.8,2.35,1.43,0.295,0.455,0.205,0.273,0.324,121.0,95.0,94.0,,,,100.0,102.0,99.0,89.0,111.0,103.0,120.0,77.0,85.0,88.0,94.0,92.0,0.05,0.253,0.171,0.246,,0.281,-0.93,-3.23,-7.19,-0.96,,-0.4,94.7,90.6,90.6,94.1,84.7,,0.267,0.533,0.351,0.25,1.0,0.45,0.222,0.278,0.486,,,,0.0,0.0,0.714,0.333,0.833,0.0
46,2024-05-01,746800,Strikeout,strikeout,True,543877,608678,Christian Vázquez,Dominic Leone,1,a66b05ee-3997-436b-8868-f3440b900980,608678.0,dominicleone,Leone,Right,Dominic Leone,CHW,7.04,5.61,15.1,95.0,106.0,94.0,0.603,8.8,6.46,8.8,2.35,1.43,0.295,0.455,0.205,0.273,0.324,121.0,95.0,94.0,,,,100.0,102.0,99.0,89.0,111.0,103.0,120.0,77.0,85.0,88.0,94.0,92.0,0.05,0.253,0.171,0.246,,0.281,-0.93,-3.23,-7.19,-0.96,,-0.4,94.7,90.6,90.6,94.1,84.7,,0.267,0.533,0.351,0.25,1.0,0.45,0.222,0.278,0.486,,,,0.0,0.0,0.714,0.333,0.833,0.0
47,2024-05-01,746800,Lineout,field_out,True,657757,641927,Gavin Sheets,Bailey Ober,0,4bd7e17d-2b6a-43a4-bf58-e53997977969,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
48,2024-05-01,746800,Strikeout,strikeout,True,683734,641927,Andrew Vaughn,Bailey Ober,0,a0f35a9e-0fa1-4e1b-b8fa-53602f25af09,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
49,2024-05-01,746800,Pop Out,field_out,True,643217,641927,Andrew Benintendi,Bailey Ober,0,1120a3ed-69e1-4630-97a4-0399e0f228d7,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,4.14,3.64,100.0,107.0,91.0,103.0,0.736,9.54,2.16,7.56,1.44,0.67,0.191,0.476,0.202,0.337,0.415,117.0,113.0,113.0,102.0,97.0,101.0,82.0,105.0,97.0,,,,74.0,103.0,101.0,85.0,107.0,103.0,,0.389,0.22,0.128,0.012,0.251,-1.08,0.2,,1.95,4.25,1.52,91.9,86.5,83.4,,80.5,76.0,0.307,0.606,0.247,0.256,0.43,0.224,0.173,0.337,0.37,,,,0.098,0.196,0.319,,,
50,2024-05-01,746800,Walk,walk,False,666135,608678,Alex Kirilloff,Dominic Leone,0,d9d4b1e1-cc95-4471-ae27-fdde7791ab74,608678.0,dominicleone,Leone,Right,Dominic Leone,CHW,7.04,5.61,15.1,95.0,106.0,94.0,0.603,8.8,6.46,8.8,2.35,1.43,0.295,0.455,0.205,0.273,0.324,121.0,95.0,94.0,,,,100.0,102.0,99.0,89.0,111.0,103.0,120.0,77.0,85.0,88.0,94.0,92.0,0.05,0.253,0.171,0.246,,0.281,-0.93,-3.23,-7.19,-0.96,,-0.4,94.7,90.6,90.6,94.1,84.7,,0.267,0.533,0.351,0.25,1.0,0.45,0.222,0.278,0.486,,,,0.0,0.0,0.714,0.333,0.833,0.0
