,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff
11,2024-09-02,745779,Single,single,False,578428,678394,Jose Iglesias,Brayan Bello,0,48b2a678-a832-4a46-bfa9-07b4488f1007,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
12,2024-09-02,745779,Single,single,False,643446,678394,Jeff McNeil,Brayan Bello,1,9d2c7402-9a1f-4f7f-8617-7cd77ebd26d3,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
13,2024-09-02,745779,Grounded Into DP,grounded_into_double_play,True,516782,678394,Starling Marte,Brayan Bello,1,eabc012e-2372-4653-ade0-a20d2ffe7fb0,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
14,2024-09-02,745779,Groundout,field_out,True,621466,678394,DJ Stewart,Brayan Bello,0,5c2e2252-67d4-4e70-a58f-2f31217b0628,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
15,2024-09-02,745779,Pop Out,field_out,True,665839,622663,Enmanuel Valdez,Luis Severino,0,692bb70c-e82b-4a8a-a52b-622c66adb7ed,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
16,2024-09-02,745779,Triple,triple,False,678882,622663,Ceddanne Rafaela,Luis Severino,0,be5d92d7-db9f-4549-b3e2-8d0df5ca5af6,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
17,2024-09-02,745779,Single,single,True,680776,622663,Jarren Duran,Luis Severino,1,4141a73f-e2db-4522-a089-cf490e0a4b29,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
18,2024-09-02,745779,Strikeout,strikeout,True,677800,622663,Wilyer Abreu,Luis Severino,0,033ac947-2ed5-4472-849e-9d04128273c6,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,
19,2024-09-02,745779,Groundout,field_out,True,620443,678394,Luis Torrens,Brayan Bello,0,7c495a99-6c1f-466c-a7cf-efb97e40254a,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
20,2024-09-02,745779,Single,single,False,596019,678394,Francisco Lindor,Brayan Bello,0,ba75c680-d01c-4798-9cc9-d5bde270800b,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,4.7,4.46,147.1,100.0,102.0,104.0,0.748,8.55,3.54,8.92,1.16,1.91,0.219,0.381,0.145,0.316,0.403,89.0,100.0,99.0,74.0,113.0,107.0,103.0,100.0,102.0,115.0,98.0,110.0,,,,0.397,0.042,,0.289,0.272,0.9,,-0.63,-0.37,0.06,95.7,,87.6,95.7,86.9,0.091,0.136,0.208,0.33,0.478,0.112,,,,,,,0.181,0.368,0.381,0.253,0.39,0.346,,,,,,,,,
