,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,SI%,FA%,CH%,wFA/C,wSI/C,wCH/C,vFA,vCH,vSI,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SL%,CU%,wSL/C,wCU/C,vSL,vCU,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
15,2024-06-15,744925,Strikeout,strikeout,True,595281,471911,Kevin Kiermaier,Carlos Carrasco,0,1a9153d0-919a-465a-a0a0-fe54ffe7d271,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
16,2024-06-15,744925,Single,single,False,687462,471911,Spencer Horwitz,Carlos Carrasco,1,d38a9934-8a9b-46eb-bc17-d5b22d2cb56e,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
17,2024-06-15,744925,Forceout,force_out,True,643376,471911,Danny Jansen,Carlos Carrasco,1,6fb7916a-7b94-44bd-8124-59ffa924f2c3,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
18,2024-06-15,744925,Flyout,field_out,True,677587,670950,Brayan Rocchio,Trevor Richards,0,638a5133-3d9f-42ad-ab49-5b8f84dd2dcb,670950.0,trevorrichards,"Richards, T",Right,Trevor Richards,TOR,3.62,2.92,49.2,96.0,92.0,100.0,0.78,8.7,3.44,5.07,1.09,0.73,0.277,0.385,0.192,0.354,0.411,98.0,95.0,105.0,83.0,96.0,92.0,0.001,0.412,0.587,1.05,-3.42,0.94,92.1,79.0,91.4,0.131,0.293,0.317,0.197,0.303,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2024-06-15,744925,Flyout,field_out,True,666310,641835,Bo Naylor,Tim Mayza,0,d3f1e756-14ef-4211-b9e7-764087482be8,641835.0,timmayza,Mayza,Left,Tim Mayza,TOR,8.03,6.84,24.2,97.0,103.0,95.0,0.843,5.84,4.38,13.14,1.09,1.16,0.258,0.344,0.14,0.29,0.423,,,,29.0,90.0,120.0,0.702,0.006,,2.09,-1.23,,91.5,,91.9,,,,,,,,,,86.0,99.0,94.0,146.0,92.0,98.0,0.292,,-3.0,,86.4,,0.321,0.536,0.203,0.346,0.526,0.147,,,,,,,,,,,,,,,,,,,,,
20,2024-06-15,744925,Single,single,False,680757,641835,Steven Kwan,Tim Mayza,0,0839b487-64a1-4a22-80f1-61ed6c07d5d2,641835.0,timmayza,Mayza,Left,Tim Mayza,TOR,8.03,6.84,24.2,97.0,103.0,95.0,0.843,5.84,4.38,13.14,1.09,1.16,0.258,0.344,0.14,0.29,0.423,,,,29.0,90.0,120.0,0.702,0.006,,2.09,-1.23,,91.5,,91.9,,,,,,,,,,86.0,99.0,94.0,146.0,92.0,98.0,0.292,,-3.0,,86.4,,0.321,0.536,0.203,0.346,0.526,0.147,,,,,,,,,,,,,,,,,,,,,
21,2024-06-15,744925,Single,single,False,665926,641835,Andrés Giménez,Tim Mayza,1,ee39d166-463a-42d3-94c7-77ba76d8ef9e,641835.0,timmayza,Mayza,Left,Tim Mayza,TOR,8.03,6.84,24.2,97.0,103.0,95.0,0.843,5.84,4.38,13.14,1.09,1.16,0.258,0.344,0.14,0.29,0.423,,,,29.0,90.0,120.0,0.702,0.006,,2.09,-1.23,,91.5,,91.9,,,,,,,,,,86.0,99.0,94.0,146.0,92.0,98.0,0.292,,-3.0,,86.4,,0.321,0.536,0.203,0.346,0.526,0.147,,,,,,,,,,,,,,,,,,,,,
22,2024-06-15,744925,Forceout,force_out,True,681807,647315,David Fry,Zach Pop,1,df59f9e3-360d-4936-b582-836146567525,647315.0,zachpop,Pop,Right,Zach Pop,TOR,5.9,4.57,29.0,98.0,101.0,100.0,0.811,5.9,3.72,9.0,2.17,1.69,0.221,0.484,0.2,0.347,0.37,,,,,,,0.731,,0.002,,-0.94,-3.7,,87.4,96.3,,,,,,,,,,95.0,100.0,101.0,140.0,93.0,103.0,0.145,0.002,0.31,3.88,86.3,82.8,0.143,0.214,0.24,0.279,0.5,0.207,,,,95.0,92.0,94.0,0.119,-3.48,93.7,0.273,0.818,0.25,,,,,,,,,
23,2024-06-15,744925,Groundout,field_out,True,665489,471911,Vladimir Guerrero Jr.,Carlos Carrasco,0,99c88797-dd0f-4ad3-97c0-5b0347d37b11,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
24,2024-06-15,744925,Groundout,field_out,True,457759,471911,Justin Turner,Carlos Carrasco,0,9e63cfaa-df02-44ce-a0c6-7cc735e2c710,471911.0,carloscarrasco,Carrasco,Right,Carlos Carrasco,CLE,5.02,4.83,86.0,98.0,90.0,96.0,0.797,7.12,2.72,9.52,1.47,1.4,0.172,0.425,0.146,0.31,0.396,104.0,105.0,103.0,63.0,94.0,85.0,0.19,0.243,0.222,-2.15,-1.29,0.06,91.5,86.7,91.1,0.212,0.362,0.276,0.387,0.653,0.137,106.0,102.0,105.0,90.0,95.0,90.0,99.0,102.0,106.0,0.283,0.062,-0.69,2.26,83.1,80.4,0.2,0.267,0.37,0.295,0.541,0.123,0.059,0.176,0.242,,,,,,,,,,,,,,,,,,
