,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSL/C,wCH/C,vFA,vFC,vCH,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU
10,2024-07-26,746767,Lineout,field_out,True,663728,694363,Cal Raleigh,Jared Shuster,0,afadb8cb-64d3-4d12-a51b-03a711905f08,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-07-26,746767,Strikeout,strikeout,True,673357,669923,Luis Robert Jr.,George Kirby,0,d1da250f-cf38-41ad-a9cd-e162b72515c6,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
12,2024-07-26,746767,Single,single,False,502054,669923,Tommy Pham,George Kirby,0,d37554d8-0c22-4fdb-bb4c-0dc5d76d29c4,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
13,2024-07-26,746767,Lineout,field_out,True,683734,669923,Andrew Vaughn,George Kirby,0,1d26eca8-8209-4f45-9704-cc11d0013dca,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
14,2024-07-26,746767,Strikeout,strikeout,True,650391,669923,Eloy Jiménez,George Kirby,0,e0e1bc83-d2ad-43c0-a0ea-45245bc6fc7f,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
15,2024-07-26,746767,Pop Out,field_out,True,593871,694363,Jorge Polanco,Jared Shuster,0,411d4bda-49f7-46bf-b1c7-2fe0bdf58f85,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
16,2024-07-26,746767,Strikeout,strikeout,True,571745,694363,Mitch Haniger,Jared Shuster,0,35a84667-d849-4e42-b536-f3b261369093,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
17,2024-07-26,746767,Groundout,field_out,True,670042,694363,Luke Raley,Jared Shuster,0,fea9e487-b1ba-4c7e-86b4-b33ed104d770,694363.0,jaredshuster,Shuster,Left,Jared Shuster,CHW,4.6,5.59,45.0,99.0,76.0,92.0,0.795,5.6,4.2,9.2,1.4,0.83,0.262,0.436,0.141,0.268,0.402,73.0,98.0,94.0,70.0,96.0,83.0,90.0,103.0,101.0,,,,0.388,,0.273,0.293,-0.14,,0.02,-0.15,92.2,,83.5,85.5,0.244,0.378,0.269,0.254,0.465,0.16,,,,0.255,0.362,0.284,,,,67.0,102.0,89.0,0.046,-6.53,91.6,0.5,0.8,0.15,,,,,,,,,,,,,,,,,,,,,,,,
18,2024-07-26,746767,Single,single,False,643217,669923,Andrew Benintendi,George Kirby,0,49ba1d91-1a4e-49cc-8ac1-5cde0b17bafe,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
19,2024-07-26,746767,Lineout,field_out,True,657557,669923,Paul DeJong,George Kirby,0,2e40bf7a-7f4b-42a1-a792-c463d5c1ce26,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.03,3.18,130.2,106.0,107.0,107.0,0.782,8.89,0.96,7.85,0.76,1.0,0.293,0.339,0.199,0.261,0.438,,,,103.0,107.0,102.0,112.0,103.0,110.0,97.0,99.0,93.0,0.345,0.006,0.234,,1.38,0.79,1.27,,95.8,92.3,,87.2,,,,0.206,0.359,0.297,,,,0.221,0.337,0.286,,,,107.0,110.0,109.0,0.234,1.81,95.9,0.259,0.348,0.101,119.0,113.0,116.0,113.0,99.0,109.0,0.107,0.074,-0.22,-3.01,85.8,83.2,0.189,0.302,0.291,0.344,0.531,0.324,,,,,,
