,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FS%,wFS/C,wSI/C,vFS,vSI,FS_ba,FS_slg,FS_whiff,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
0,2024-09-01,745861,Pop Out,field_out,True,664770,641927,Nathan Lukes,Bailey Ober,0,ce49a1ef-6c06-4601-acfd-2773c2fd69cd,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,74.0,102.0,102.0,83.0,104.0,100.0,0.395,0.208,0.113,0.011,0.274,0.07,-0.21,1.61,1.77,2.38,91.8,86.3,83.4,80.4,75.8,0.252,0.49,0.221,0.143,0.269,0.387,0.25,0.45,0.231,0.1,0.183,0.307,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-01,745861,Home Run,home_run,False,676391,641927,Ernie Clement,Bailey Ober,0,f6cdcd48-2f96-403e-b875-a9a57246fe8e,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,74.0,102.0,102.0,83.0,104.0,100.0,0.395,0.208,0.113,0.011,0.274,0.07,-0.21,1.61,1.77,2.38,91.8,86.3,83.4,80.4,75.8,0.252,0.49,0.221,0.143,0.269,0.387,0.25,0.45,0.231,0.1,0.183,0.307,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-01,745861,Groundout,field_out,True,687462,641927,Spencer Horwitz,Bailey Ober,0,fb72192e-144a-44e2-80ce-6c1cb2b741c6,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,74.0,102.0,102.0,83.0,104.0,100.0,0.395,0.208,0.113,0.011,0.274,0.07,-0.21,1.61,1.77,2.38,91.8,86.3,83.4,80.4,75.8,0.252,0.49,0.221,0.143,0.269,0.387,0.25,0.45,0.231,0.1,0.183,0.307,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-01,745861,Flyout,field_out,True,680718,641927,Addison Barger,Bailey Ober,0,5f9190da-b266-4924-bdc5-649339ef2df3,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,74.0,102.0,102.0,83.0,104.0,100.0,0.395,0.208,0.113,0.011,0.274,0.07,-0.21,1.61,1.77,2.38,91.8,86.3,83.4,80.4,75.8,0.252,0.49,0.221,0.143,0.269,0.387,0.25,0.45,0.231,0.1,0.183,0.307,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-09-01,745861,Strikeout,strikeout,True,650489,684320,Willi Castro,Yariel Rodríguez,0,8fdc1daa-d0d4-4610-8e8b-f23568d2ec60,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.42,4.16,73.1,96.0,95.0,97.0,0.763,9.2,4.17,7.73,1.23,0.93,0.231,0.417,0.156,0.266,0.397,,,,93.0,90.0,95.0,85.0,93.0,88.0,118.0,102.0,108.0,,,,0.42,,0.28,0.1,,0.06,,0.45,-3.66,,93.9,,,84.6,78.2,0.259,0.424,0.206,,,,,,,0.218,0.378,0.36,0.375,0.875,0.267,82.0,95.0,95.0,85.0,106.0,104.0,0.099,0.1,-0.77,3.07,88.9,93.3,0.161,0.29,0.228,0.182,0.182,0.115,,,,,,,,,
5,2024-09-01,745861,Single,single,False,669304,684320,Jose Miranda,Yariel Rodríguez,0,f829213d-9bfb-4cff-89b4-315749358137,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.42,4.16,73.1,96.0,95.0,97.0,0.763,9.2,4.17,7.73,1.23,0.93,0.231,0.417,0.156,0.266,0.397,,,,93.0,90.0,95.0,85.0,93.0,88.0,118.0,102.0,108.0,,,,0.42,,0.28,0.1,,0.06,,0.45,-3.66,,93.9,,,84.6,78.2,0.259,0.424,0.206,,,,,,,0.218,0.378,0.36,0.375,0.875,0.267,82.0,95.0,95.0,85.0,106.0,104.0,0.099,0.1,-0.77,3.07,88.9,93.3,0.161,0.29,0.228,0.182,0.182,0.115,,,,,,,,,
6,2024-09-01,745861,Flyout,field_out,True,670242,684320,Matt Wallner,Yariel Rodríguez,0,77d9eaf7-af2e-4ff3-813f-12e999f6be4b,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.42,4.16,73.1,96.0,95.0,97.0,0.763,9.2,4.17,7.73,1.23,0.93,0.231,0.417,0.156,0.266,0.397,,,,93.0,90.0,95.0,85.0,93.0,88.0,118.0,102.0,108.0,,,,0.42,,0.28,0.1,,0.06,,0.45,-3.66,,93.9,,,84.6,78.2,0.259,0.424,0.206,,,,,,,0.218,0.378,0.36,0.375,0.875,0.267,82.0,95.0,95.0,85.0,106.0,104.0,0.099,0.1,-0.77,3.07,88.9,93.3,0.161,0.29,0.228,0.182,0.182,0.115,,,,,,,,,
7,2024-09-01,745861,Walk,walk,False,680777,684320,Ryan Jeffers,Yariel Rodríguez,1,fc9b381b-d87d-4caa-8154-e616b49b2713,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.42,4.16,73.1,96.0,95.0,97.0,0.763,9.2,4.17,7.73,1.23,0.93,0.231,0.417,0.156,0.266,0.397,,,,93.0,90.0,95.0,85.0,93.0,88.0,118.0,102.0,108.0,,,,0.42,,0.28,0.1,,0.06,,0.45,-3.66,,93.9,,,84.6,78.2,0.259,0.424,0.206,,,,,,,0.218,0.378,0.36,0.375,0.875,0.267,82.0,95.0,95.0,85.0,106.0,104.0,0.099,0.1,-0.77,3.07,88.9,93.3,0.161,0.29,0.228,0.182,0.182,0.115,,,,,,,,,
8,2024-09-01,745861,Walk,walk,False,663616,684320,Trevor Larnach,Yariel Rodríguez,1,af4da159-2794-4cd7-9b89-624d3eb3b997,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.42,4.16,73.1,96.0,95.0,97.0,0.763,9.2,4.17,7.73,1.23,0.93,0.231,0.417,0.156,0.266,0.397,,,,93.0,90.0,95.0,85.0,93.0,88.0,118.0,102.0,108.0,,,,0.42,,0.28,0.1,,0.06,,0.45,-3.66,,93.9,,,84.6,78.2,0.259,0.424,0.206,,,,,,,0.218,0.378,0.36,0.375,0.875,0.267,82.0,95.0,95.0,85.0,106.0,104.0,0.099,0.1,-0.77,3.07,88.9,93.3,0.161,0.29,0.228,0.182,0.182,0.115,,,,,,,,,
9,2024-09-01,745861,Flyout,field_out,True,668904,684320,Royce Lewis,Yariel Rodríguez,0,d4926a97-808d-482a-abfc-555330d35ab2,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,4.42,4.16,73.1,96.0,95.0,97.0,0.763,9.2,4.17,7.73,1.23,0.93,0.231,0.417,0.156,0.266,0.397,,,,93.0,90.0,95.0,85.0,93.0,88.0,118.0,102.0,108.0,,,,0.42,,0.28,0.1,,0.06,,0.45,-3.66,,93.9,,,84.6,78.2,0.259,0.424,0.206,,,,,,,0.218,0.378,0.36,0.375,0.875,0.267,82.0,95.0,95.0,85.0,106.0,104.0,0.099,0.1,-0.77,3.07,88.9,93.3,0.161,0.29,0.228,0.182,0.182,0.115,,,,,,,,,
10,2024-09-01,745861,Flyout,field_out,True,677870,641927,Leo Jiménez,Bailey Ober,0,108814c0-18fc-45b1-9843-25567f9bcbd6,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,74.0,102.0,102.0,83.0,104.0,100.0,0.395,0.208,0.113,0.011,0.274,0.07,-0.21,1.61,1.77,2.38,91.8,86.3,83.4,80.4,75.8,0.252,0.49,0.221,0.143,0.269,0.387,0.25,0.45,0.231,0.1,0.183,0.307,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2024-09-01,745861,Strikeout,strikeout,True,694388,641927,Joey Loperfido,Bailey Ober,0,24645ade-5146-4d5d-b5b0-8bd0daae1146,641927.0,baileyober,Ober,Right,Bailey Ober,MIN,3.77,3.29,155.0,105.0,91.0,101.0,0.734,9.41,2.26,6.56,1.28,0.67,0.212,0.446,0.2,0.305,0.415,117.0,110.0,110.0,99.0,100.0,103.0,81.0,104.0,96.0,74.0,102.0,102.0,83.0,104.0,100.0,0.395,0.208,0.113,0.011,0.274,0.07,-0.21,1.61,1.77,2.38,91.8,86.3,83.4,80.4,75.8,0.252,0.49,0.221,0.143,0.269,0.387,0.25,0.45,0.231,0.1,0.183,0.307,0.0,0.0,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,
