,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,FC_ba,FC_slg,FC_whiff
0,2024-06-02,746953,Single,single,False,663837,678394,Matt Vierling,Brayan Bello,0,d3d48abc-526d-49bc-9f76-21ef952cabb1,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-02,746953,Walk,walk,False,682985,678394,Riley Greene,Brayan Bello,1,e842ec4c-0230-4f6c-98be-3b6c7b83f5fa,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-02,746953,Flyout,field_out,True,672761,678394,Wenceel Pérez,Brayan Bello,0,a46f7aff-8b9b-4b29-9c31-050861738ca0,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-02,746953,Forceout,force_out,True,592192,678394,Mark Canha,Brayan Bello,1,969cd7dd-c000-4a24-beb6-c4b0195ca11e,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-06-02,746953,Groundout,field_out,True,690993,678394,Colt Keith,Brayan Bello,0,0c8ac60d-d50e-4f93-99b5-ec13dd6a3a28,678394.0,brayanbello,Bello,Right,Brayan Bello,BOS,5.32,4.64,89.2,100.0,103.0,104.0,0.754,8.53,3.31,9.94,1.41,2.03,0.216,0.363,0.165,0.275,0.404,90.0,101.0,100.0,73.0,108.0,97.0,104.0,102.0,104.0,117.0,98.0,111.0,0.402,0.023,0.285,0.29,6.0,-1.35,-1.46,0.33,96.3,87.3,95.8,86.9,0.364,0.536,0.12,0.168,0.345,0.363,0.291,0.465,0.352,0.0,0.0,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-06-02,746953,Groundout,field_out,True,680776,663554,Jarren Duran,Casey Mize,0,8ace8541-c75e-45cf-b42e-0507e38d694b,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,,,,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,0.076,0.393,0.282,,-0.14,-0.36,0.58,,95.6,,95.6,85.7,0.345,0.414,0.111,,,,0.239,0.366,0.189,0.292,0.401,0.201,100.0,91.0,94.0,112.0,102.0,104.0,0.172,0.077,-1.78,-2.77,85.7,79.6,0.323,0.452,0.321,0.286,0.571,0.172,,,,,,,,,,,,,,,
6,2024-06-02,746953,Double,double,False,677800,663554,Wilyer Abreu,Casey Mize,0,0154861e-a45e-4cf5-a926-78e2d494a01a,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,,,,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,0.076,0.393,0.282,,-0.14,-0.36,0.58,,95.6,,95.6,85.7,0.345,0.414,0.111,,,,0.239,0.366,0.189,0.292,0.401,0.201,100.0,91.0,94.0,112.0,102.0,104.0,0.172,0.077,-1.78,-2.77,85.7,79.6,0.323,0.452,0.321,0.286,0.571,0.172,,,,,,,,,,,,,,,
7,2024-06-02,746953,Flyout,field_out,True,642086,663554,Dominic Smith,Casey Mize,0,70850089-e8d6-498f-ac9f-9d6d89590a3d,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,,,,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,0.076,0.393,0.282,,-0.14,-0.36,0.58,,95.6,,95.6,85.7,0.345,0.414,0.111,,,,0.239,0.366,0.189,0.292,0.401,0.201,100.0,91.0,94.0,112.0,102.0,104.0,0.172,0.077,-1.78,-2.77,85.7,79.6,0.323,0.452,0.321,0.286,0.571,0.172,,,,,,,,,,,,,,,
8,2024-06-02,746953,Walk,walk,False,646240,663554,Rafael Devers,Casey Mize,0,a3437725-9edc-4c2e-8675-7e1fb60b250a,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,,,,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,0.076,0.393,0.282,,-0.14,-0.36,0.58,,95.6,,95.6,85.7,0.345,0.414,0.111,,,,0.239,0.366,0.189,0.292,0.401,0.201,100.0,91.0,94.0,112.0,102.0,104.0,0.172,0.077,-1.78,-2.77,85.7,79.6,0.323,0.452,0.321,0.286,0.571,0.172,,,,,,,,,,,,,,,
9,2024-06-02,746953,Single,single,False,665839,663554,Enmanuel Valdez,Casey Mize,1,3aa09570-05c8-4341-84a3-b9928666a1b6,663554.0,caseymize,Mize,Right,Casey Mize,DET,4.23,4.39,78.2,104.0,108.0,103.0,0.815,6.64,2.4,10.64,0.8,1.64,0.23,0.396,0.162,0.298,0.434,,,,108.0,106.0,104.0,93.0,107.0,105.0,108.0,103.0,102.0,0.076,0.393,0.282,,-0.14,-0.36,0.58,,95.6,,95.6,85.7,0.345,0.414,0.111,,,,0.239,0.366,0.189,0.292,0.401,0.201,100.0,91.0,94.0,112.0,102.0,104.0,0.172,0.077,-1.78,-2.77,85.7,79.6,0.323,0.452,0.321,0.286,0.571,0.172,,,,,,,,,,,,,,,
