,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,ST_ba,ST_slg,ST_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,wFC/C,wKC/C,vFC,vKC,FC_ba,FC_slg,FC_whiff
0,2024-09-17,746015,Strikeout,strikeout,True,660271,670766,Shohei Ohtani,Darren McCaughan,0,e4009f3f-3936-4e4c-be0d-69fd713af909,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.05,6.29,37.0,97.0,87.0,94.0,0.869,5.84,3.41,12.41,2.19,0.65,0.211,0.459,0.135,0.323,0.456,68.0,88.0,76.0,46.0,93.0,80.0,80.0,98.0,90.0,119.0,99.0,108.0,0.31,0.19,0.387,0.112,-0.69,-2.32,-3.52,-1.6,89.4,81.0,88.9,81.8,0.321,0.732,0.143,0.391,0.565,0.076,0.265,0.441,0.179,0.333,0.389,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-17,746015,Groundout,field_out,True,605141,670766,Mookie Betts,Darren McCaughan,0,bcb51796-6238-42f0-9338-74edb9211038,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.05,6.29,37.0,97.0,87.0,94.0,0.869,5.84,3.41,12.41,2.19,0.65,0.211,0.459,0.135,0.323,0.456,68.0,88.0,76.0,46.0,93.0,80.0,80.0,98.0,90.0,119.0,99.0,108.0,0.31,0.19,0.387,0.112,-0.69,-2.32,-3.52,-1.6,89.4,81.0,88.9,81.8,0.321,0.732,0.143,0.391,0.565,0.076,0.265,0.441,0.179,0.333,0.389,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-17,746015,Flyout,field_out,True,518692,670766,Freddie Freeman,Darren McCaughan,0,f65ce6b0-e5b8-47fe-9fec-456c4a5997a3,670766.0,darrenmccaughan,McCaughan,Right,Darren McCaughan,- - -,7.05,6.29,37.0,97.0,87.0,94.0,0.869,5.84,3.41,12.41,2.19,0.65,0.211,0.459,0.135,0.323,0.456,68.0,88.0,76.0,46.0,93.0,80.0,80.0,98.0,90.0,119.0,99.0,108.0,0.31,0.19,0.387,0.112,-0.69,-2.32,-3.52,-1.6,89.4,81.0,88.9,81.8,0.321,0.732,0.143,0.391,0.565,0.076,0.265,0.441,0.179,0.333,0.389,0.351,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-17,746015,Single,single,False,669364,676272,Xavier Edwards,Bobby Miller,0,f0b51137-3e85-4a44-bb20-3fdd80b169e1,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,0.136,0.379,0.096,0.199,-1.44,-4.54,-3.16,0.3,97.6,86.4,97.3,88.6,,,,0.433,0.9,0.174,0.327,0.634,0.167,0.13,0.217,0.398,120.0,99.0,104.0,0.19,-0.99,79.8,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,
4,2024-09-17,746015,Single,single,False,681393,676272,Connor Norby,Bobby Miller,1,40ccd5ea-613c-4d4c-b72b-2109188135af,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,0.136,0.379,0.096,0.199,-1.44,-4.54,-3.16,0.3,97.6,86.4,97.3,88.6,,,,0.433,0.9,0.174,0.327,0.634,0.167,0.13,0.217,0.398,120.0,99.0,104.0,0.19,-0.99,79.8,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,
5,2024-09-17,746015,Single,single,False,660821,676272,Jesús Sánchez,Bobby Miller,1,d6ead980-953e-4953-88e2-fba70edc87c8,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,0.136,0.379,0.096,0.199,-1.44,-4.54,-3.16,0.3,97.6,86.4,97.3,88.6,,,,0.433,0.9,0.174,0.327,0.634,0.167,0.13,0.217,0.398,120.0,99.0,104.0,0.19,-0.99,79.8,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,
6,2024-09-17,746015,Forceout,force_out,True,669394,676272,Jake Burger,Bobby Miller,1,97097711-9963-49aa-b283-fe5396328f37,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,0.136,0.379,0.096,0.199,-1.44,-4.54,-3.16,0.3,97.6,86.4,97.3,88.6,,,,0.433,0.9,0.174,0.327,0.634,0.167,0.13,0.217,0.398,120.0,99.0,104.0,0.19,-0.99,79.8,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,
7,2024-09-17,746015,Single,single,False,681146,676272,Jonah Bride,Bobby Miller,1,a43d8b76-c957-40fe-a902-f114a89d7a4b,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,0.136,0.379,0.096,0.199,-1.44,-4.54,-3.16,0.3,97.6,86.4,97.3,88.6,,,,0.433,0.9,0.174,0.327,0.634,0.167,0.13,0.217,0.398,120.0,99.0,104.0,0.19,-0.99,79.8,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,
8,2024-09-17,746015,Strikeout,strikeout,True,669065,676272,Kyle Stowers,Bobby Miller,0,3479c7e6-040c-467f-8f5b-7ea20bc0d719,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,0.136,0.379,0.096,0.199,-1.44,-4.54,-3.16,0.3,97.6,86.4,97.3,88.6,,,,0.433,0.9,0.174,0.327,0.634,0.167,0.13,0.217,0.398,120.0,99.0,104.0,0.19,-0.99,79.8,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,
9,2024-09-17,746015,Single,single,False,672640,676272,Otto Lopez,Bobby Miller,1,2babcb82-33d6-4639-8d16-f0e0eb8e6c16,676272.0,bobbymiller,"Miller, Bo",Right,Bobby Miller,LAD,8.52,7.0,56.0,93.0,113.0,97.0,0.784,8.36,4.82,11.09,2.73,1.24,0.23,0.391,0.126,0.391,0.409,104.0,91.0,96.0,119.0,89.0,92.0,101.0,93.0,89.0,115.0,99.0,108.0,0.136,0.379,0.096,0.199,-1.44,-4.54,-3.16,0.3,97.6,86.4,97.3,88.6,,,,0.433,0.9,0.174,0.327,0.634,0.167,0.13,0.217,0.398,120.0,99.0,104.0,0.19,-0.99,79.8,0.357,0.536,0.286,0.333,0.619,0.275,,,,,,,,,,,,,,,
