,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-25,745863,Groundout,field_out,True,691026,805673,Masyn Winn,Zebby Matthews,0,06814818-e217-411d-8972-b16056e77a2f,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,3.0,3.52,15.0,103.0,98.0,102.0,0.805,7.8,1.2,7.8,1.2,0.86,0.239,0.457,0.152,0.413,0.404,84.0,88.0,99.0,103.0,106.0,110.0,93.0,102.0,101.0,113.0,112.0,111.0,96.0,98.0,94.0,0.463,0.224,0.227,0.039,0.047,3.59,-1.25,-2.86,6.92,-13.0,94.8,90.5,85.5,86.1,79.9,0.316,0.526,0.394,0.1,0.15,0.08,0.308,0.538,0.231,0.0,0.0,0.167,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
1,2024-08-25,745863,Strikeout,strikeout,True,676475,805673,Alec Burleson,Zebby Matthews,0,b40bb3b5-4221-4cfb-82cf-f8fc91cf725e,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,3.0,3.52,15.0,103.0,98.0,102.0,0.805,7.8,1.2,7.8,1.2,0.86,0.239,0.457,0.152,0.413,0.404,84.0,88.0,99.0,103.0,106.0,110.0,93.0,102.0,101.0,113.0,112.0,111.0,96.0,98.0,94.0,0.463,0.224,0.227,0.039,0.047,3.59,-1.25,-2.86,6.92,-13.0,94.8,90.5,85.5,86.1,79.9,0.316,0.526,0.394,0.1,0.15,0.08,0.308,0.538,0.231,0.0,0.0,0.167,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
2,2024-08-25,745863,Strikeout,strikeout,True,572761,805673,Matt Carpenter,Zebby Matthews,0,7775a40d-298a-4b0a-9a58-98a25d08d174,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,3.0,3.52,15.0,103.0,98.0,102.0,0.805,7.8,1.2,7.8,1.2,0.86,0.239,0.457,0.152,0.413,0.404,84.0,88.0,99.0,103.0,106.0,110.0,93.0,102.0,101.0,113.0,112.0,111.0,96.0,98.0,94.0,0.463,0.224,0.227,0.039,0.047,3.59,-1.25,-2.86,6.92,-13.0,94.8,90.5,85.5,86.1,79.9,0.316,0.526,0.394,0.1,0.15,0.08,0.308,0.538,0.231,0.0,0.0,0.167,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
3,2024-08-25,745863,Home Run,home_run,False,650489,607200,Willi Castro,Erick Fedde,0,b8b50913-d640-4a42-88f6-6d0d907f8622,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,,,,23.0,81.0,60.0,125.0,101.0,106.0,79.0,105.0,98.0,0.002,0.318,0.206,,0.172,-13.43,-0.06,1.64,,-0.24,92.4,89.9,87.8,83.5,,,,,,,,0.266,0.509,0.237,,,,0.23,0.32,0.153,77.0,106.0,94.0,0.302,0.68,93.0,0.241,0.345,0.204,0.148,0.296,0.254,,,,,,,,,
4,2024-08-25,745863,Strikeout,strikeout,True,663616,607200,Trevor Larnach,Erick Fedde,0,031344af-0c06-43b6-91f5-c26cbd84890b,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,,,,23.0,81.0,60.0,125.0,101.0,106.0,79.0,105.0,98.0,0.002,0.318,0.206,,0.172,-13.43,-0.06,1.64,,-0.24,92.4,89.9,87.8,83.5,,,,,,,,0.266,0.509,0.237,,,,0.23,0.32,0.153,77.0,106.0,94.0,0.302,0.68,93.0,0.241,0.345,0.204,0.148,0.296,0.254,,,,,,,,,
5,2024-08-25,745863,Flyout,field_out,True,669304,607200,Jose Miranda,Erick Fedde,0,a5fe0833-c34a-4c92-9610-b921d4783efb,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,,,,23.0,81.0,60.0,125.0,101.0,106.0,79.0,105.0,98.0,0.002,0.318,0.206,,0.172,-13.43,-0.06,1.64,,-0.24,92.4,89.9,87.8,83.5,,,,,,,,0.266,0.509,0.237,,,,0.23,0.32,0.153,77.0,106.0,94.0,0.302,0.68,93.0,0.241,0.345,0.204,0.148,0.296,0.254,,,,,,,,,
6,2024-08-25,745863,Flyout,field_out,True,670242,607200,Matt Wallner,Erick Fedde,0,c5c458f5-a98a-428d-aab7-d9acfabfe005,607200.0,erickfedde,Fedde,Right,Erick Fedde,- - -,3.31,3.89,149.1,104.0,91.0,100.0,0.805,7.77,2.71,7.77,1.15,1.06,0.269,0.368,0.189,0.295,0.399,88.0,108.0,107.0,,,,23.0,81.0,60.0,125.0,101.0,106.0,79.0,105.0,98.0,0.002,0.318,0.206,,0.172,-13.43,-0.06,1.64,,-0.24,92.4,89.9,87.8,83.5,,,,,,,,0.266,0.509,0.237,,,,0.23,0.32,0.153,77.0,106.0,94.0,0.302,0.68,93.0,0.241,0.345,0.204,0.148,0.296,0.254,,,,,,,,,
7,2024-08-25,745863,Single,single,False,571448,805673,Nolan Arenado,Zebby Matthews,0,d47acc41-69a0-415e-ac70-4ef313c12242,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,3.0,3.52,15.0,103.0,98.0,102.0,0.805,7.8,1.2,7.8,1.2,0.86,0.239,0.457,0.152,0.413,0.404,84.0,88.0,99.0,103.0,106.0,110.0,93.0,102.0,101.0,113.0,112.0,111.0,96.0,98.0,94.0,0.463,0.224,0.227,0.039,0.047,3.59,-1.25,-2.86,6.92,-13.0,94.8,90.5,85.5,86.1,79.9,0.316,0.526,0.394,0.1,0.15,0.08,0.308,0.538,0.231,0.0,0.0,0.167,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
8,2024-08-25,745863,Strikeout,strikeout,True,680977,805673,Brendan Donovan,Zebby Matthews,0,7ef2f7ab-6a05-4e4c-89e7-0000f1ab736c,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,3.0,3.52,15.0,103.0,98.0,102.0,0.805,7.8,1.2,7.8,1.2,0.86,0.239,0.457,0.152,0.413,0.404,84.0,88.0,99.0,103.0,106.0,110.0,93.0,102.0,101.0,113.0,112.0,111.0,96.0,98.0,94.0,0.463,0.224,0.227,0.039,0.047,3.59,-1.25,-2.86,6.92,-13.0,94.8,90.5,85.5,86.1,79.9,0.316,0.526,0.394,0.1,0.15,0.08,0.308,0.538,0.231,0.0,0.0,0.167,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
9,2024-08-25,745863,Lineout,field_out,True,502054,805673,Tommy Pham,Zebby Matthews,0,5e316bc3-8325-4518-a7c2-0c68392ad5db,805673.0,zebbymatthews,Matthews,Right,Zebby Matthews,MIN,3.0,3.52,15.0,103.0,98.0,102.0,0.805,7.8,1.2,7.8,1.2,0.86,0.239,0.457,0.152,0.413,0.404,84.0,88.0,99.0,103.0,106.0,110.0,93.0,102.0,101.0,113.0,112.0,111.0,96.0,98.0,94.0,0.463,0.224,0.227,0.039,0.047,3.59,-1.25,-2.86,6.92,-13.0,94.8,90.5,85.5,86.1,79.9,0.316,0.526,0.394,0.1,0.15,0.08,0.308,0.538,0.231,0.0,0.0,0.167,0.333,0.667,0.0,,,,,,,,,,,,,,,,,,,,,
