,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,vSC (sc),SC%,wSC/C,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-02,746833,Flyout,field_out,True,693304,592791,Nick Gonzales,Jameson Taillon,0,b3cedbfe-7d10-46dc-ad80-9cf44e695485,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.57,3.83,146.1,108.0,86.0,103.0,0.82,6.95,1.72,8.79,1.23,0.99,0.228,0.443,0.145,0.321,0.462,78.0,100.0,96.0,106.0,111.0,113.0,67.0,106.0,95.0,74.0,104.0,93.0,105.0,117.0,121.0,93.0,104.0,99.0,0.109,0.295,0.24,0.159,0.153,0.044,-0.41,1.94,1.63,0.65,-1.19,-3.96,92.3,86.6,86.1,92.6,80.5,79.7,0.295,0.507,0.148,0.269,0.328,0.181,0.185,0.306,0.332,0.24,0.438,0.233,0.214,0.304,0.093,0.321,0.679,0.16,,,,,,,,,,,,,,,,,,,,,
1,2024-09-02,746833,Groundout,field_out,True,668804,592791,Bryan Reynolds,Jameson Taillon,0,0c64e3f8-f3d5-48c0-ad0b-fb329e61f3fe,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.57,3.83,146.1,108.0,86.0,103.0,0.82,6.95,1.72,8.79,1.23,0.99,0.228,0.443,0.145,0.321,0.462,78.0,100.0,96.0,106.0,111.0,113.0,67.0,106.0,95.0,74.0,104.0,93.0,105.0,117.0,121.0,93.0,104.0,99.0,0.109,0.295,0.24,0.159,0.153,0.044,-0.41,1.94,1.63,0.65,-1.19,-3.96,92.3,86.6,86.1,92.6,80.5,79.7,0.295,0.507,0.148,0.269,0.328,0.181,0.185,0.306,0.332,0.24,0.438,0.233,0.214,0.304,0.093,0.321,0.679,0.16,,,,,,,,,,,,,,,,,,,,,
2,2024-09-02,746833,Groundout,field_out,True,665833,592791,Oneil Cruz,Jameson Taillon,0,96af8aa2-c8f2-46d1-87a0-6bd1bbf96655,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.57,3.83,146.1,108.0,86.0,103.0,0.82,6.95,1.72,8.79,1.23,0.99,0.228,0.443,0.145,0.321,0.462,78.0,100.0,96.0,106.0,111.0,113.0,67.0,106.0,95.0,74.0,104.0,93.0,105.0,117.0,121.0,93.0,104.0,99.0,0.109,0.295,0.24,0.159,0.153,0.044,-0.41,1.94,1.63,0.65,-1.19,-3.96,92.3,86.6,86.1,92.6,80.5,79.7,0.295,0.507,0.148,0.269,0.328,0.181,0.185,0.306,0.332,0.24,0.438,0.233,0.214,0.304,0.093,0.321,0.679,0.16,,,,,,,,,,,,,,,,,,,,,
3,2024-09-02,746833,Pop Out,field_out,True,664023,683003,Ian Happ,Jared Jones,0,4f3f3dc8-1787-4f70-aa06-ab9cdd276d32,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.82,3.83,108.1,102.0,127.0,109.0,0.718,9.55,2.58,7.39,1.33,0.94,0.235,0.391,0.156,0.339,0.465,116.0,101.0,109.0,99.0,95.0,99.0,133.0,103.0,110.0,,,,128.0,104.0,111.0,,,,,0.488,,0.36,0.085,0.066,0.14,,,1.6,-1.1,-3.57,97.3,,89.8,,88.7,81.1,0.226,0.426,0.264,,,,,,,0.263,0.684,0.375,,,,0.324,0.595,0.219,0.187,0.329,0.385,,,,,,,,,,,,,,,,,,
4,2024-09-02,746833,Groundout,field_out,True,683737,683003,Michael Busch,Jared Jones,0,18f7055a-60c8-4da5-9820-b4292df4b77d,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.82,3.83,108.1,102.0,127.0,109.0,0.718,9.55,2.58,7.39,1.33,0.94,0.235,0.391,0.156,0.339,0.465,116.0,101.0,109.0,99.0,95.0,99.0,133.0,103.0,110.0,,,,128.0,104.0,111.0,,,,,0.488,,0.36,0.085,0.066,0.14,,,1.6,-1.1,-3.57,97.3,,89.8,,88.7,81.1,0.226,0.426,0.264,,,,,,,0.263,0.684,0.375,,,,0.324,0.595,0.219,0.187,0.329,0.385,,,,,,,,,,,,,,,,,,
5,2024-09-02,746833,Strikeout,strikeout,True,673548,683003,Seiya Suzuki,Jared Jones,0,38ebbe3b-9cda-4edc-b30d-f915c55490af,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.82,3.83,108.1,102.0,127.0,109.0,0.718,9.55,2.58,7.39,1.33,0.94,0.235,0.391,0.156,0.339,0.465,116.0,101.0,109.0,99.0,95.0,99.0,133.0,103.0,110.0,,,,128.0,104.0,111.0,,,,,0.488,,0.36,0.085,0.066,0.14,,,1.6,-1.1,-3.57,97.3,,89.8,,88.7,81.1,0.226,0.426,0.264,,,,,,,0.263,0.684,0.375,,,,0.324,0.595,0.219,0.187,0.329,0.385,,,,,,,,,,,,,,,,,,
6,2024-09-02,746833,Groundout,field_out,True,457705,592791,Andrew McCutchen,Jameson Taillon,0,5c0c2a16-849e-481c-98ab-8893c4d3700b,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.57,3.83,146.1,108.0,86.0,103.0,0.82,6.95,1.72,8.79,1.23,0.99,0.228,0.443,0.145,0.321,0.462,78.0,100.0,96.0,106.0,111.0,113.0,67.0,106.0,95.0,74.0,104.0,93.0,105.0,117.0,121.0,93.0,104.0,99.0,0.109,0.295,0.24,0.159,0.153,0.044,-0.41,1.94,1.63,0.65,-1.19,-3.96,92.3,86.6,86.1,92.6,80.5,79.7,0.295,0.507,0.148,0.269,0.328,0.181,0.185,0.306,0.332,0.24,0.438,0.233,0.214,0.304,0.093,0.321,0.679,0.16,,,,,,,,,,,,,,,,,,,,,
7,2024-09-02,746833,Groundout,field_out,True,642133,592791,Rowdy Tellez,Jameson Taillon,0,e21a5705-eefc-4de0-84e0-7dda9fa87599,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.57,3.83,146.1,108.0,86.0,103.0,0.82,6.95,1.72,8.79,1.23,0.99,0.228,0.443,0.145,0.321,0.462,78.0,100.0,96.0,106.0,111.0,113.0,67.0,106.0,95.0,74.0,104.0,93.0,105.0,117.0,121.0,93.0,104.0,99.0,0.109,0.295,0.24,0.159,0.153,0.044,-0.41,1.94,1.63,0.65,-1.19,-3.96,92.3,86.6,86.1,92.6,80.5,79.7,0.295,0.507,0.148,0.269,0.328,0.181,0.185,0.306,0.332,0.24,0.438,0.233,0.214,0.304,0.093,0.321,0.679,0.16,,,,,,,,,,,,,,,,,,,,,
8,2024-09-02,746833,Groundout,field_out,True,650559,592791,Bryan De La Cruz,Jameson Taillon,0,fc1c6f4b-0192-46e7-82ed-839f4194e6e8,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.57,3.83,146.1,108.0,86.0,103.0,0.82,6.95,1.72,8.79,1.23,0.99,0.228,0.443,0.145,0.321,0.462,78.0,100.0,96.0,106.0,111.0,113.0,67.0,106.0,95.0,74.0,104.0,93.0,105.0,117.0,121.0,93.0,104.0,99.0,0.109,0.295,0.24,0.159,0.153,0.044,-0.41,1.94,1.63,0.65,-1.19,-3.96,92.3,86.6,86.1,92.6,80.5,79.7,0.295,0.507,0.148,0.269,0.328,0.181,0.185,0.306,0.332,0.24,0.438,0.233,0.214,0.304,0.093,0.321,0.679,0.16,,,,,,,,,,,,,,,,,,,,,
9,2024-09-02,746833,Flyout,field_out,True,641355,683003,Cody Bellinger,Jared Jones,0,070fef31-f0d0-4dc4-8a2a-9a1faf21b411,683003.0,jaredjones,Jones,Right,Jared Jones,PIT,3.82,3.83,108.1,102.0,127.0,109.0,0.718,9.55,2.58,7.39,1.33,0.94,0.235,0.391,0.156,0.339,0.465,116.0,101.0,109.0,99.0,95.0,99.0,133.0,103.0,110.0,,,,128.0,104.0,111.0,,,,,0.488,,0.36,0.085,0.066,0.14,,,1.6,-1.1,-3.57,97.3,,89.8,,88.7,81.1,0.226,0.426,0.264,,,,,,,0.263,0.684,0.375,,,,0.324,0.595,0.219,0.187,0.329,0.385,,,,,,,,,,,,,,,,,,
