,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-06-04,747196,Walk,walk,False,671218,686796,Heliot Ramos,Blake Walston,0,9d86e7b1-e125-411e-9b3d-02567d884def,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
1,2024-06-04,747196,Strikeout,strikeout,True,642731,686796,Thairo Estrada,Blake Walston,0,4b86b3e1-6b99-41b3-a516-0e41f30bf013,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
2,2024-06-04,747196,Grounded Into DP,grounded_into_double_play,True,672275,686796,Patrick Bailey,Blake Walston,1,ef528ebd-2d32-4719-9586-9ce0be9525e3,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
3,2024-06-04,747196,Groundout,field_out,True,606466,690986,Ketel Marte,Kyle Harrison,0,63af1d0b-c939-46c3-8d6e-e7dd80a602a5,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
4,2024-06-04,747196,Single,single,False,672515,690986,Gabriel Moreno,Kyle Harrison,0,351766b1-2683-4ac1-98b2-63678d6a57e1,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
5,2024-06-04,747196,Grounded Into DP,grounded_into_double_play,True,666971,690986,Lourdes Gurriel Jr.,Kyle Harrison,1,4869713b-515c-495c-920d-1632a71bbe4e,690986.0,kyleharrison,Harrison,Left,Kyle Harrison,SFG,3.86,4.83,91.0,98.0,90.0,92.0,0.808,7.81,3.07,9.0,0.99,1.05,0.272,0.346,0.154,0.353,0.435,73.0,94.0,89.0,89.0,94.0,95.0,96.0,100.0,92.0,93.0,107.0,97.0,,,,,0.61,,0.004,0.186,0.2,0.69,,,-11.76,-0.51,-2.37,92.7,,85.4,,88.2,81.3,0.237,0.377,0.212,,,,,,,0.333,0.667,0.5,0.306,0.471,0.224,0.295,0.477,0.302,,,,,,,,,,,,,,,
6,2024-06-04,747196,Single,single,False,656305,686796,Matt Chapman,Blake Walston,0,306ec27b-ceca-44cd-a47c-2f42c7f45674,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
7,2024-06-04,747196,Walk,walk,False,624424,686796,Michael Conforto,Blake Walston,1,723ff379-4df0-41a4-a31e-a907230aaa16,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
8,2024-06-04,747196,Pop Out,field_out,True,624585,686796,Jorge Soler,Blake Walston,0,40b997f1-2ef5-434d-b07d-facb6d31ba24,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
9,2024-06-04,747196,Walk,walk,False,527038,686796,Wilmer Flores,Blake Walston,1,9a39b071-37f6-4c57-b53f-db7c77a254dd,686796.0,blakewalston,Walston,Left,Blake Walston,ARI,2.84,3.88,12.2,87.0,87.0,87.0,0.827,7.82,6.39,6.39,0.0,0.87,0.182,0.394,0.182,0.424,0.409,121.0,86.0,86.0,86.0,84.0,93.0,68.0,89.0,82.0,94.0,89.0,91.0,82.0,85.0,90.0,0.043,0.328,0.194,0.078,0.181,0.177,2.39,2.73,2.48,-8.13,-0.23,-1.12,91.6,87.8,86.2,89.0,81.4,77.2,0.118,0.118,0.25,0.25,0.25,0.278,0.125,0.125,0.042,0.5,0.75,0.333,0.4,0.6,0.333,,,,,,,,,,,,,,,,,,
