,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FS,Loc+ FS,Pit+ FS,FS%,CU%,wFS/C,wCU/C,vFS,vCU,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-04-24,746244,Hit By Pitch,hit_by_pitch,False,683002,542881,Gunnar Henderson,Tyler Anderson,0,e1d5d273-06be-4f89-9a5b-21e7b7548611,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,100.0,102.0,98.0,0.038,0.403,0.19,0.003,0.366,-0.19,-0.14,-2.78,-4.61,1.6,89.2,83.8,78.7,88.1,77.9,0.18,0.238,0.374,0.239,0.472,0.163,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-24,746244,Lineout,field_out,True,668939,542881,Adley Rutschman,Tyler Anderson,0,5e50dd0d-c8c4-482f-aff0-a6d17a970bc2,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,100.0,102.0,98.0,0.038,0.403,0.19,0.003,0.366,-0.19,-0.14,-2.78,-4.61,1.6,89.2,83.8,78.7,88.1,77.9,0.18,0.238,0.374,0.239,0.472,0.163,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-24,746244,Strikeout,strikeout,True,663624,542881,Ryan Mountcastle,Tyler Anderson,0,8d9de321-7ad5-410b-8d6a-a0c87628b5e9,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,100.0,102.0,98.0,0.038,0.403,0.19,0.003,0.366,-0.19,-0.14,-2.78,-4.61,1.6,89.2,83.8,78.7,88.1,77.9,0.18,0.238,0.374,0.239,0.472,0.163,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-24,746244,Single,single,False,623993,542881,Anthony Santander,Tyler Anderson,1,3d88f1d8-8dc6-40ec-9450-b11f777b068d,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,100.0,102.0,98.0,0.038,0.403,0.19,0.003,0.366,-0.19,-0.14,-2.78,-4.61,1.6,89.2,83.8,78.7,88.1,77.9,0.18,0.238,0.374,0.239,0.472,0.163,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-24,746244,Strikeout,strikeout,True,676059,542881,Jordan Westburg,Tyler Anderson,0,096de4f4-bcb2-420e-b1af-52e14481e68b,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,100.0,102.0,98.0,0.038,0.403,0.19,0.003,0.366,-0.19,-0.14,-2.78,-4.61,1.6,89.2,83.8,78.7,88.1,77.9,0.18,0.238,0.374,0.239,0.472,0.163,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-04-24,746244,Lineout,field_out,True,545361,665152,Mike Trout,Dean Kremer,0,6213903a-2c7a-4ced-bd44-43bc62d50ba1,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,92.0,101.0,101.0,81.0,103.0,97.0,,,,99.0,104.0,100.0,0.123,0.339,0.273,,,-0.75,0.88,0.94,,,93.4,86.9,,92.0,,,,,0.247,0.644,0.242,0.23,0.338,0.245,0.211,0.342,0.061,83.0,101.0,98.0,73.0,92.0,91.0,0.153,0.112,0.0,-0.21,83.9,77.4,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,
6,2024-04-24,746244,Groundout,field_out,True,694384,665152,Nolan Schanuel,Dean Kremer,0,90df327f-5003-4b02-b8f3-cd663570bcbe,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,92.0,101.0,101.0,81.0,103.0,97.0,,,,99.0,104.0,100.0,0.123,0.339,0.273,,,-0.75,0.88,0.94,,,93.4,86.9,,92.0,,,,,0.247,0.644,0.242,0.23,0.338,0.245,0.211,0.342,0.061,83.0,101.0,98.0,73.0,92.0,91.0,0.153,0.112,0.0,-0.21,83.9,77.4,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,
7,2024-04-24,746244,Groundout,field_out,True,621493,665152,Taylor Ward,Dean Kremer,0,b648df82-8d2b-465f-a458-01ed1b703db0,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,92.0,101.0,101.0,81.0,103.0,97.0,,,,99.0,104.0,100.0,0.123,0.339,0.273,,,-0.75,0.88,0.94,,,93.4,86.9,,92.0,,,,,0.247,0.644,0.242,0.23,0.338,0.245,0.211,0.342,0.061,83.0,101.0,98.0,73.0,92.0,91.0,0.153,0.112,0.0,-0.21,83.9,77.4,0.114,0.229,0.364,0.211,0.263,0.243,,,,,,,,,
8,2024-04-24,746244,Lineout,field_out,True,656775,542881,Cedric Mullins,Tyler Anderson,0,49ce3134-7ce8-45d7-89b7-eec1126e502d,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,100.0,102.0,98.0,0.038,0.403,0.19,0.003,0.366,-0.19,-0.14,-2.78,-4.61,1.6,89.2,83.8,78.7,88.1,77.9,0.18,0.238,0.374,0.239,0.472,0.163,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-24,746244,Groundout,field_out,True,543510,542881,James McCann,Tyler Anderson,0,38635b4b-c424-44d4-b22e-e93e011a2e88,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,2.97,4.42,118.0,100.0,95.0,99.0,0.757,6.18,3.58,6.94,1.07,0.82,0.194,0.501,0.157,0.262,0.408,104.0,101.0,106.0,88.0,99.0,96.0,65.0,93.0,79.0,65.0,57.0,84.0,100.0,102.0,98.0,0.038,0.403,0.19,0.003,0.366,-0.19,-0.14,-2.78,-4.61,1.6,89.2,83.8,78.7,88.1,77.9,0.18,0.238,0.374,0.239,0.472,0.163,0.221,0.39,0.244,0.222,0.611,0.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
