,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff
0,2024-08-10,745873,Home Run,home_run,False,680757,680573,Steven Kwan,Simeon Woods Richardson,0,11ae87a4-7c67-4ae5-a566-8befef54ed2b,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.85,4.06,117.0,104.0,88.0,100.0,0.807,7.85,2.92,7.69,1.08,0.83,0.282,0.413,0.148,0.285,0.436,103.0,106.0,112.0,102.0,102.0,102.0,73.0,101.0,89.0,94.0,108.0,106.0,0.406,0.314,0.081,0.199,0.81,1.13,1.69,-2.11,93.2,82.9,86.5,75.9,0.256,0.36,0.213,0.191,0.299,0.252,0.256,0.513,0.196,0.194,0.355,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-10,745873,Strikeout,strikeout,True,657041,680573,Lane Thomas,Simeon Woods Richardson,0,00910a6a-24a9-4c04-bd71-5f1e9b8c7b11,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.85,4.06,117.0,104.0,88.0,100.0,0.807,7.85,2.92,7.69,1.08,0.83,0.282,0.413,0.148,0.285,0.436,103.0,106.0,112.0,102.0,102.0,102.0,73.0,101.0,89.0,94.0,108.0,106.0,0.406,0.314,0.081,0.199,0.81,1.13,1.69,-2.11,93.2,82.9,86.5,75.9,0.256,0.36,0.213,0.191,0.299,0.252,0.256,0.513,0.196,0.194,0.355,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-10,745873,Groundout,field_out,True,608070,680573,José Ramírez,Simeon Woods Richardson,0,8948eea9-05b4-4226-ac4b-a6c5433cebb4,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.85,4.06,117.0,104.0,88.0,100.0,0.807,7.85,2.92,7.69,1.08,0.83,0.282,0.413,0.148,0.285,0.436,103.0,106.0,112.0,102.0,102.0,102.0,73.0,101.0,89.0,94.0,108.0,106.0,0.406,0.314,0.081,0.199,0.81,1.13,1.69,-2.11,93.2,82.9,86.5,75.9,0.256,0.36,0.213,0.191,0.299,0.252,0.256,0.513,0.196,0.194,0.355,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-10,745873,Strikeout,strikeout,True,647304,680573,Josh Naylor,Simeon Woods Richardson,0,06524872-98a8-4e61-974e-8c12b33d5a90,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.85,4.06,117.0,104.0,88.0,100.0,0.807,7.85,2.92,7.69,1.08,0.83,0.282,0.413,0.148,0.285,0.436,103.0,106.0,112.0,102.0,102.0,102.0,73.0,101.0,89.0,94.0,108.0,106.0,0.406,0.314,0.081,0.199,0.81,1.13,1.69,-2.11,93.2,82.9,86.5,75.9,0.256,0.36,0.213,0.191,0.299,0.252,0.256,0.513,0.196,0.194,0.355,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-10,745873,Strikeout,strikeout,True,650489,668909,Willi Castro,Gavin Williams,0,8bfc3641-792d-427b-ade1-6068ecbb7dd5,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.99,4.32,52.1,102.0,99.0,102.0,0.791,9.97,3.61,9.11,1.03,1.05,0.318,0.358,0.126,0.311,0.426,66.0,101.0,104.0,121.0,106.0,108.0,98.0,101.0,102.0,110.0,62.0,89.0,0.531,0.096,0.204,0.064,0.15,-1.16,-0.46,-5.66,96.8,89.2,88.5,79.6,0.288,0.413,0.237,0.353,0.529,0.295,0.5,1.0,0.091,0.167,0.352,0.274,92.0,98.0,90.0,0.105,1.25,91.7,0.136,0.318,0.298,,,,,,,,,,,,,,,,,,,,,
5,2024-08-10,745873,Groundout,field_out,True,663616,668909,Trevor Larnach,Gavin Williams,0,01b239cd-ffce-4368-b8e4-cad64a9a4c11,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.99,4.32,52.1,102.0,99.0,102.0,0.791,9.97,3.61,9.11,1.03,1.05,0.318,0.358,0.126,0.311,0.426,66.0,101.0,104.0,121.0,106.0,108.0,98.0,101.0,102.0,110.0,62.0,89.0,0.531,0.096,0.204,0.064,0.15,-1.16,-0.46,-5.66,96.8,89.2,88.5,79.6,0.288,0.413,0.237,0.353,0.529,0.295,0.5,1.0,0.091,0.167,0.352,0.274,92.0,98.0,90.0,0.105,1.25,91.7,0.136,0.318,0.298,,,,,,,,,,,,,,,,,,,,,
6,2024-08-10,745873,Single,single,False,670242,668909,Matt Wallner,Gavin Williams,0,c8e5a92b-adc6-4510-8330-2bea973b4d50,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.99,4.32,52.1,102.0,99.0,102.0,0.791,9.97,3.61,9.11,1.03,1.05,0.318,0.358,0.126,0.311,0.426,66.0,101.0,104.0,121.0,106.0,108.0,98.0,101.0,102.0,110.0,62.0,89.0,0.531,0.096,0.204,0.064,0.15,-1.16,-0.46,-5.66,96.8,89.2,88.5,79.6,0.288,0.413,0.237,0.353,0.529,0.295,0.5,1.0,0.091,0.167,0.352,0.274,92.0,98.0,90.0,0.105,1.25,91.7,0.136,0.318,0.298,,,,,,,,,,,,,,,,,,,,,
7,2024-08-10,745873,Pop Out,field_out,True,621439,668909,Byron Buxton,Gavin Williams,0,12808289-d0ca-44c5-a42d-d0dff1fac344,668909.0,gavinwilliams,"Williams, G",Right,Gavin Williams,CLE,4.99,4.32,52.1,102.0,99.0,102.0,0.791,9.97,3.61,9.11,1.03,1.05,0.318,0.358,0.126,0.311,0.426,66.0,101.0,104.0,121.0,106.0,108.0,98.0,101.0,102.0,110.0,62.0,89.0,0.531,0.096,0.204,0.064,0.15,-1.16,-0.46,-5.66,96.8,89.2,88.5,79.6,0.288,0.413,0.237,0.353,0.529,0.295,0.5,1.0,0.091,0.167,0.352,0.274,92.0,98.0,90.0,0.105,1.25,91.7,0.136,0.318,0.298,,,,,,,,,,,,,,,,,,,,,
8,2024-08-10,745873,Groundout,field_out,True,681807,680573,David Fry,Simeon Woods Richardson,0,80605359-6550-4bed-a260-999f038700e3,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.85,4.06,117.0,104.0,88.0,100.0,0.807,7.85,2.92,7.69,1.08,0.83,0.282,0.413,0.148,0.285,0.436,103.0,106.0,112.0,102.0,102.0,102.0,73.0,101.0,89.0,94.0,108.0,106.0,0.406,0.314,0.081,0.199,0.81,1.13,1.69,-2.11,93.2,82.9,86.5,75.9,0.256,0.36,0.213,0.191,0.299,0.252,0.256,0.513,0.196,0.194,0.355,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-10,745873,Pop Out,field_out,True,665926,680573,Andrés Giménez,Simeon Woods Richardson,0,14d33ee1-d2e3-4399-a3ce-f57f3d11be7b,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.85,4.06,117.0,104.0,88.0,100.0,0.807,7.85,2.92,7.69,1.08,0.83,0.282,0.413,0.148,0.285,0.436,103.0,106.0,112.0,102.0,102.0,102.0,73.0,101.0,89.0,94.0,108.0,106.0,0.406,0.314,0.081,0.199,0.81,1.13,1.69,-2.11,93.2,82.9,86.5,75.9,0.256,0.36,0.213,0.191,0.299,0.252,0.256,0.513,0.196,0.194,0.355,0.224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
