,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-10-02,775336,Double,double,False,671739,605397,Michael Harris II,Joe Musgrove,0,4ef3c883-b501-4cd2-8fa5-2ea3e2bfd502,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,69.0,111.0,96.0,145.0,98.0,106.0,110.0,108.0,104.0,0.044,0.246,0.204,0.203,0.225,0.078,-0.74,1.35,0.44,1.05,-0.1,-3.1,93.0,89.7,87.1,92.6,82.2,81.6,0.253,0.494,0.231,0.298,0.405,0.25,0.169,0.351,0.338,0.203,0.319,0.328,0.353,0.618,0.379,0.348,0.435,0.146,,,,,,,,,,,,
1,2024-10-02,775336,Groundout,field_out,True,645277,605397,Ozzie Albies,Joe Musgrove,1,7d85fd54-e5a7-4da8-b875-9bfa9486edde,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,69.0,111.0,96.0,145.0,98.0,106.0,110.0,108.0,104.0,0.044,0.246,0.204,0.203,0.225,0.078,-0.74,1.35,0.44,1.05,-0.1,-3.1,93.0,89.7,87.1,92.6,82.2,81.6,0.253,0.494,0.231,0.298,0.405,0.25,0.169,0.351,0.338,0.203,0.319,0.328,0.353,0.618,0.379,0.348,0.435,0.146,,,,,,,,,,,,
2,2024-10-02,775336,Sac Fly,sac_fly,True,542303,605397,Marcell Ozuna,Joe Musgrove,1,784956e8-4f15-49eb-9743-870876452a6a,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,69.0,111.0,96.0,145.0,98.0,106.0,110.0,108.0,104.0,0.044,0.246,0.204,0.203,0.225,0.078,-0.74,1.35,0.44,1.05,-0.1,-3.1,93.0,89.7,87.1,92.6,82.2,81.6,0.253,0.494,0.231,0.298,0.405,0.25,0.169,0.351,0.338,0.203,0.319,0.328,0.353,0.618,0.379,0.348,0.435,0.146,,,,,,,,,,,,
3,2024-10-02,775336,Groundout,field_out,True,621566,605397,Matt Olson,Joe Musgrove,0,e9aaff79-eda4-4336-a292-42ad1745153e,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,3.88,4.34,99.2,102.0,124.0,102.0,0.736,9.12,2.08,8.49,1.26,1.08,0.207,0.435,0.112,0.341,0.449,110.0,101.0,107.0,168.0,98.0,103.0,95.0,100.0,95.0,69.0,111.0,96.0,145.0,98.0,106.0,110.0,108.0,104.0,0.044,0.246,0.204,0.203,0.225,0.078,-0.74,1.35,0.44,1.05,-0.1,-3.1,93.0,89.7,87.1,92.6,82.2,81.6,0.253,0.494,0.231,0.298,0.405,0.25,0.169,0.351,0.338,0.203,0.319,0.328,0.353,0.618,0.379,0.348,0.435,0.146,,,,,,,,,,,,
4,2024-10-02,775336,Single,single,False,650333,608331,Luis Arraez,Max Fried,0,973ed29c-4e10-4d7b-b58d-9cb1020855eb,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.21,0.136,0.63,-1.33,1.47,0.5,1.39,1.7,93.9,88.5,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.286,0.476,0.286,0.167,0.2,0.358,0.154,0.285,0.371,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,,,,,,,,,
5,2024-10-02,775336,Single,single,False,665487,608331,Fernando Tatis Jr.,Max Fried,1,d0bfaa66-2ca0-4e77-91c9-a47b93992b40,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.21,0.136,0.63,-1.33,1.47,0.5,1.39,1.7,93.9,88.5,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.286,0.476,0.286,0.167,0.2,0.358,0.154,0.285,0.371,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,,,,,,,,,
6,2024-10-02,775336,Fielders Choice,fielders_choice,False,595777,608331,Jurickson Profar,Max Fried,1,96b2acb9-44d2-4ca1-9335-2977a6d5531b,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.21,0.136,0.63,-1.33,1.47,0.5,1.39,1.7,93.9,88.5,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.286,0.476,0.286,0.167,0.2,0.358,0.154,0.285,0.371,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,,,,,,,,,
7,2024-10-02,775336,Strikeout,strikeout,True,592518,608331,Manny Machado,Max Fried,0,3e7bbac9-0424-4a5b-8832-38e5c572c337,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.21,0.136,0.63,-1.33,1.47,0.5,1.39,1.7,93.9,88.5,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.286,0.476,0.286,0.167,0.2,0.358,0.154,0.285,0.371,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,,,,,,,,,
8,2024-10-02,775336,Forceout,force_out,True,701538,608331,Jackson Merrill,Max Fried,1,35fb1929-7065-41c9-bfdb-c0c03a510bf2,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.21,0.136,0.63,-1.33,1.47,0.5,1.39,1.7,93.9,88.5,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.286,0.476,0.286,0.167,0.2,0.358,0.154,0.285,0.371,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,,,,,,,,,
9,2024-10-02,775336,Forceout,force_out,True,593428,608331,Xander Bogaerts,Max Fried,1,6d0244d6-671a-430a-85fc-8384079325fa,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.25,3.72,174.1,98.0,94.0,99.0,0.776,8.57,2.94,7.54,0.67,2.53,0.255,0.435,0.151,0.261,0.413,91.0,101.0,103.0,116.0,103.0,108.0,78.0,93.0,93.0,90.0,98.0,94.0,102.0,97.0,98.0,93.0,96.0,94.0,0.158,0.327,0.054,0.115,0.21,0.136,0.63,-1.33,1.47,0.5,1.39,1.7,93.9,88.5,85.7,93.6,82.1,74.6,0.266,0.36,0.182,0.286,0.476,0.286,0.167,0.2,0.358,0.154,0.285,0.371,0.196,0.283,0.251,0.265,0.299,0.137,0.22,0.293,0.297,,,,,,,,,
