,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CH%,wFA/C,wSL/C,wCH/C,vFA,vCH,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,vSC (sc),SC%,wSC/C,SC_ba,SC_slg,SC_whiff
0,2024-10-29,775297,Pop Out,field_out,True,660271,661563,Shohei Ohtani,Luis Gil,0,c8490957-b1df-4c37-bb57-b69c9b6375a5,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-10-29,775297,Double,double,False,605141,661563,Mookie Betts,Luis Gil,0,2d9976f6-7709-4eab-9ce8-d8712164f19d,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-10-29,775297,Home Run,home_run,False,518692,661563,Freddie Freeman,Luis Gil,1,2442108b-de7a-4171-8d20-636f268d9407,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-10-29,775297,Single,single,False,606192,661563,Teoscar Hernández,Luis Gil,0,ce2438ea-7fcd-41fd-8431-0b0327dfa2e9,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-10-29,775297,Strikeout,strikeout,True,571970,661563,Max Muncy,Luis Gil,0,01a8e41f-fc83-4f72-b4bb-b10269856dc7,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-10-29,775297,Pop Out,field_out,True,571771,661563,Enrique Hernández,Luis Gil,0,5c164f5b-26ac-4538-9b46-fd861c7810c7,661563.0,luisgil,Gil,Right,Luis Gil,NYY,3.5,3.8,151.2,95.0,110.0,100.0,0.742,10.15,4.57,6.17,1.07,0.76,0.266,0.429,0.168,0.321,0.398,80.0,93.0,93.0,128.0,96.0,102.0,108.0,94.0,105.0,0.488,0.259,0.253,0.06,1.37,0.37,96.6,91.6,87.5,0.205,0.395,0.285,0.171,0.312,0.315,0.179,0.282,0.269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-10-29,775297,Flyout,field_out,True,650402,676508,Gleyber Torres,Ben Casparius,0,f4d1dd1e-42cc-455b-ab0b-6ebc67cdc434,676508.0,bencasparius,Casparius,Right,Ben Casparius,LAD,2.16,3.56,8.1,101.0,109.0,101.0,0.653,12.96,4.32,9.72,0.0,0.56,0.286,0.429,0.095,0.429,0.494,,,,89.0,103.0,99.0,129.0,100.0,106.0,0.487,0.359,,-0.79,1.24,,95.5,,84.3,0.294,0.353,0.333,0.286,0.357,0.37,,,,125.0,91.0,90.0,140.0,108.0,123.0,0.038,0.115,6.84,1.2,91.0,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-10-29,775297,Walk,walk,False,665742,676508,Juan Soto,Ben Casparius,0,c212082f-b531-4a7f-9951-135c5c02f9fc,676508.0,bencasparius,Casparius,Right,Ben Casparius,LAD,2.16,3.56,8.1,101.0,109.0,101.0,0.653,12.96,4.32,9.72,0.0,0.56,0.286,0.429,0.095,0.429,0.494,,,,89.0,103.0,99.0,129.0,100.0,106.0,0.487,0.359,,-0.79,1.24,,95.5,,84.3,0.294,0.353,0.333,0.286,0.357,0.37,,,,125.0,91.0,90.0,140.0,108.0,123.0,0.038,0.115,6.84,1.2,91.0,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-10-29,775297,Walk,walk,False,592450,676508,Aaron Judge,Ben Casparius,1,a4dedb2d-ac00-4631-8d3b-93e194ade11b,676508.0,bencasparius,Casparius,Right,Ben Casparius,LAD,2.16,3.56,8.1,101.0,109.0,101.0,0.653,12.96,4.32,9.72,0.0,0.56,0.286,0.429,0.095,0.429,0.494,,,,89.0,103.0,99.0,129.0,100.0,106.0,0.487,0.359,,-0.79,1.24,,95.5,,84.3,0.294,0.353,0.333,0.286,0.357,0.37,,,,125.0,91.0,90.0,140.0,108.0,123.0,0.038,0.115,6.84,1.2,91.0,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-10-29,775297,Groundout,field_out,True,665862,676508,Jazz Chisholm Jr.,Ben Casparius,1,c40e7bf9-135c-49c6-9bb3-45140a5b02bf,676508.0,bencasparius,Casparius,Right,Ben Casparius,LAD,2.16,3.56,8.1,101.0,109.0,101.0,0.653,12.96,4.32,9.72,0.0,0.56,0.286,0.429,0.095,0.429,0.494,,,,89.0,103.0,99.0,129.0,100.0,106.0,0.487,0.359,,-0.79,1.24,,95.5,,84.3,0.294,0.353,0.333,0.286,0.357,0.37,,,,125.0,91.0,90.0,140.0,108.0,123.0,0.038,0.115,6.84,1.2,91.0,79.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
