,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff
0,2024-08-18,746676,Groundout,field_out,True,672580,671096,Maikel Garcia,Andrew Abbott,0,c881df11-b871-4d80-81e2-ad36c7fe6634,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-18,746676,Lineout,field_out,True,677951,671096,Bobby Witt Jr.,Andrew Abbott,0,a7fc93e9-4082-46df-a31a-3522cfcf14cc,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-18,746676,Flyout,field_out,True,686469,671096,Vinnie Pasquantino,Andrew Abbott,0,d9244650-c025-4cb6-a47e-5beefbc1786b,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-18,746676,Single,single,False,663697,663903,Jonathan India,Brady Singer,0,f3f629dd-1cbb-4dd6-8a21-67cb1b8504ef,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.36,4.38,152.2,100.0,85.0,95.0,0.767,8.67,2.42,8.72,0.94,1.64,0.196,0.399,0.162,0.322,0.414,81.0,77.0,69.0,,,,60.0,96.0,86.0,107.0,100.0,102.0,0.114,0.45,,0.022,-1.99,0.33,,-5.7,91.6,88.1,82.9,,0.341,0.585,0.167,0.381,0.571,0.364,0.429,0.5,0.111,,,,74.0,103.0,93.0,0.414,0.86,92.2,0.204,0.354,0.363,0.269,0.39,0.119,,,,,,,,,,,,,,,,,,
4,2024-08-18,746676,Grounded Into DP,grounded_into_double_play,True,682829,663903,Elly De La Cruz,Brady Singer,1,004e0ab1-ef9f-451c-87c1-37c77c710b31,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.36,4.38,152.2,100.0,85.0,95.0,0.767,8.67,2.42,8.72,0.94,1.64,0.196,0.399,0.162,0.322,0.414,81.0,77.0,69.0,,,,60.0,96.0,86.0,107.0,100.0,102.0,0.114,0.45,,0.022,-1.99,0.33,,-5.7,91.6,88.1,82.9,,0.341,0.585,0.167,0.381,0.571,0.364,0.429,0.5,0.111,,,,74.0,103.0,93.0,0.414,0.86,92.2,0.204,0.354,0.363,0.269,0.39,0.119,,,,,,,,,,,,,,,,,,
5,2024-08-18,746676,Single,single,False,668715,663903,Spencer Steer,Brady Singer,0,af9bdf9b-35eb-409f-af7d-86b782d09b64,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.36,4.38,152.2,100.0,85.0,95.0,0.767,8.67,2.42,8.72,0.94,1.64,0.196,0.399,0.162,0.322,0.414,81.0,77.0,69.0,,,,60.0,96.0,86.0,107.0,100.0,102.0,0.114,0.45,,0.022,-1.99,0.33,,-5.7,91.6,88.1,82.9,,0.341,0.585,0.167,0.381,0.571,0.364,0.429,0.5,0.111,,,,74.0,103.0,93.0,0.414,0.86,92.2,0.204,0.354,0.363,0.269,0.39,0.119,,,,,,,,,,,,,,,,,,
6,2024-08-18,746676,Groundout,field_out,True,670770,663903,TJ Friedl,Brady Singer,0,40070b06-d310-4ce4-bdfd-3e792ff3b87b,663903.0,bradysinger,Singer,Right,Brady Singer,KCR,3.36,4.38,152.2,100.0,85.0,95.0,0.767,8.67,2.42,8.72,0.94,1.64,0.196,0.399,0.162,0.322,0.414,81.0,77.0,69.0,,,,60.0,96.0,86.0,107.0,100.0,102.0,0.114,0.45,,0.022,-1.99,0.33,,-5.7,91.6,88.1,82.9,,0.341,0.585,0.167,0.381,0.571,0.364,0.429,0.5,0.111,,,,74.0,103.0,93.0,0.414,0.86,92.2,0.204,0.354,0.363,0.269,0.39,0.119,,,,,,,,,,,,,,,,,,
7,2024-08-18,746676,Strikeout,strikeout,True,521692,671096,Salvador Perez,Andrew Abbott,0,88b87af3-45ee-417a-89b6-c0c70f287b7a,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-18,746676,Single,single,False,592669,671096,Hunter Renfroe,Andrew Abbott,0,c8a6c63e-fc14-42df-9c90-f508b582eb8c,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-18,746676,Pop Out,field_out,True,666023,671096,Freddy Fermin,Andrew Abbott,0,82bade16-9df9-4a0d-b2ea-f5412a692663,671096.0,andrewabbott,"Abbott, A",Left,Andrew Abbott,CIN,3.72,4.06,138.0,98.0,92.0,97.0,0.805,7.43,3.39,8.28,1.63,0.68,0.256,0.364,0.163,0.287,0.428,96.0,94.0,97.0,101.0,98.0,100.0,78.0,96.0,89.0,125.0,106.0,112.0,0.535,0.186,0.115,0.163,-0.23,0.52,-1.59,0.23,92.8,84.8,82.9,80.8,0.254,0.451,0.194,0.188,0.305,0.286,0.214,0.429,0.273,0.333,0.667,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
