,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,vFA,vFC,vFS,vSL,vCU,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff
0,2024-08-18,746516,Flyout,field_out,True,650333,687134,Luis Arraez,Bradley Blalock,0,8d4e25f0-f063-454f-875a-c03ae1fb5393,687134.0,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,4.98,5.01,21.2,94.0,90.0,93.0,0.812,5.82,3.74,10.8,0.83,0.87,0.234,0.338,0.13,0.442,0.444,112.0,106.0,108.0,76.0,92.0,87.0,119.0,104.0,108.0,97.0,86.0,89.0,80.0,85.0,86.0,0.463,0.043,0.19,0.182,0.123,-2.34,0.53,-0.47,1.59,0.24,93.7,88.7,85.2,85.3,79.5,0.364,0.523,0.14,0.25,0.313,0.379,0.25,0.375,0.286,0.143,0.429,0.2,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-18,746516,Flyout,field_out,True,595777,687134,Jurickson Profar,Bradley Blalock,0,4d070799-97ac-4f77-bdbf-ea88ba85126a,687134.0,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,4.98,5.01,21.2,94.0,90.0,93.0,0.812,5.82,3.74,10.8,0.83,0.87,0.234,0.338,0.13,0.442,0.444,112.0,106.0,108.0,76.0,92.0,87.0,119.0,104.0,108.0,97.0,86.0,89.0,80.0,85.0,86.0,0.463,0.043,0.19,0.182,0.123,-2.34,0.53,-0.47,1.59,0.24,93.7,88.7,85.2,85.3,79.5,0.364,0.523,0.14,0.25,0.313,0.379,0.25,0.375,0.286,0.143,0.429,0.2,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-18,746516,Single,single,False,630105,687134,Jake Cronenworth,Bradley Blalock,0,389326e7-8800-48f7-b2b8-035f4e733bc1,687134.0,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,4.98,5.01,21.2,94.0,90.0,93.0,0.812,5.82,3.74,10.8,0.83,0.87,0.234,0.338,0.13,0.442,0.444,112.0,106.0,108.0,76.0,92.0,87.0,119.0,104.0,108.0,97.0,86.0,89.0,80.0,85.0,86.0,0.463,0.043,0.19,0.182,0.123,-2.34,0.53,-0.47,1.59,0.24,93.7,88.7,85.2,85.3,79.5,0.364,0.523,0.14,0.25,0.313,0.379,0.25,0.375,0.286,0.143,0.429,0.2,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-18,746516,Strikeout,strikeout,True,592518,687134,Manny Machado,Bradley Blalock,0,efe97aa7-6a1d-44a0-9058-03de625c2212,687134.0,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,4.98,5.01,21.2,94.0,90.0,93.0,0.812,5.82,3.74,10.8,0.83,0.87,0.234,0.338,0.13,0.442,0.444,112.0,106.0,108.0,76.0,92.0,87.0,119.0,104.0,108.0,97.0,86.0,89.0,80.0,85.0,86.0,0.463,0.043,0.19,0.182,0.123,-2.34,0.53,-0.47,1.59,0.24,93.7,88.7,85.2,85.3,79.5,0.364,0.523,0.14,0.25,0.313,0.379,0.25,0.375,0.286,0.143,0.429,0.2,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-18,746516,Strikeout,strikeout,True,453568,605397,Charlie Blackmon,Joe Musgrove,0,9ae2975e-2acb-4bb5-9ce4-1d08a6a36d15,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,4.44,5.14,71.0,101.0,118.0,101.0,0.741,7.99,2.41,9.0,1.27,1.23,0.196,0.456,0.103,0.338,0.445,148.0,102.0,107.0,91.0,97.0,92.0,147.0,95.0,104.0,102.0,105.0,101.0,,,,0.249,0.197,,0.208,0.216,-1.12,1.59,,0.76,-0.52,92.7,90.1,,82.0,81.4,0.254,0.492,0.243,,,,,,,0.224,0.367,0.337,123.0,99.0,105.0,65.0,110.0,94.0,0.051,0.08,0.22,-3.19,87.0,92.5,0.182,0.364,0.296,0.328,0.414,0.228,0.36,0.64,0.396,0.4,0.467,0.121
5,2024-08-18,746516,Hit By Pitch,hit_by_pitch,False,663898,605397,Brendan Rodgers,Joe Musgrove,0,ed4360d6-6d33-4a29-8d0a-7267ddd45d62,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,4.44,5.14,71.0,101.0,118.0,101.0,0.741,7.99,2.41,9.0,1.27,1.23,0.196,0.456,0.103,0.338,0.445,148.0,102.0,107.0,91.0,97.0,92.0,147.0,95.0,104.0,102.0,105.0,101.0,,,,0.249,0.197,,0.208,0.216,-1.12,1.59,,0.76,-0.52,92.7,90.1,,82.0,81.4,0.254,0.492,0.243,,,,,,,0.224,0.367,0.337,123.0,99.0,105.0,65.0,110.0,94.0,0.051,0.08,0.22,-3.19,87.0,92.5,0.182,0.364,0.296,0.328,0.414,0.228,0.36,0.64,0.396,0.4,0.467,0.121
6,2024-08-18,746516,Grounded Into DP,grounded_into_double_play,True,686668,605397,Brenton Doyle,Joe Musgrove,1,78f4c358-2b8a-42cb-a05d-df0209a53a3a,605397.0,joemusgrove,Musgrove,Right,Joe Musgrove,SDP,4.44,5.14,71.0,101.0,118.0,101.0,0.741,7.99,2.41,9.0,1.27,1.23,0.196,0.456,0.103,0.338,0.445,148.0,102.0,107.0,91.0,97.0,92.0,147.0,95.0,104.0,102.0,105.0,101.0,,,,0.249,0.197,,0.208,0.216,-1.12,1.59,,0.76,-0.52,92.7,90.1,,82.0,81.4,0.254,0.492,0.243,,,,,,,0.224,0.367,0.337,123.0,99.0,105.0,65.0,110.0,94.0,0.051,0.08,0.22,-3.19,87.0,92.5,0.182,0.364,0.296,0.328,0.414,0.228,0.36,0.64,0.396,0.4,0.467,0.121
7,2024-08-18,746516,Groundout,field_out,True,593428,687134,Xander Bogaerts,Bradley Blalock,0,f03ca91b-3bc7-454e-a59d-485f3544dce5,687134.0,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,4.98,5.01,21.2,94.0,90.0,93.0,0.812,5.82,3.74,10.8,0.83,0.87,0.234,0.338,0.13,0.442,0.444,112.0,106.0,108.0,76.0,92.0,87.0,119.0,104.0,108.0,97.0,86.0,89.0,80.0,85.0,86.0,0.463,0.043,0.19,0.182,0.123,-2.34,0.53,-0.47,1.59,0.24,93.7,88.7,85.2,85.3,79.5,0.364,0.523,0.14,0.25,0.313,0.379,0.25,0.375,0.286,0.143,0.429,0.2,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-18,746516,Flyout,field_out,True,701538,687134,Jackson Merrill,Bradley Blalock,0,48f03a50-60ef-4982-8ae3-98ab33bad071,687134.0,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,4.98,5.01,21.2,94.0,90.0,93.0,0.812,5.82,3.74,10.8,0.83,0.87,0.234,0.338,0.13,0.442,0.444,112.0,106.0,108.0,76.0,92.0,87.0,119.0,104.0,108.0,97.0,86.0,89.0,80.0,85.0,86.0,0.463,0.043,0.19,0.182,0.123,-2.34,0.53,-0.47,1.59,0.24,93.7,88.7,85.2,85.3,79.5,0.364,0.523,0.14,0.25,0.313,0.379,0.25,0.375,0.286,0.143,0.429,0.2,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-18,746516,Flyout,field_out,True,444482,687134,David Peralta,Bradley Blalock,0,fb495594-7bd8-42bf-9926-052be32f27d4,687134.0,bradleyblalock,Blalock,Right,Bradley Blalock,- - -,4.98,5.01,21.2,94.0,90.0,93.0,0.812,5.82,3.74,10.8,0.83,0.87,0.234,0.338,0.13,0.442,0.444,112.0,106.0,108.0,76.0,92.0,87.0,119.0,104.0,108.0,97.0,86.0,89.0,80.0,85.0,86.0,0.463,0.043,0.19,0.182,0.123,-2.34,0.53,-0.47,1.59,0.24,93.7,88.7,85.2,85.3,79.5,0.364,0.523,0.14,0.25,0.313,0.379,0.25,0.375,0.286,0.143,0.429,0.2,,,,,,,,,,,,,,,,,,,,,,,,
