,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,KC%,wFA/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFS,vSI,vSL,vKC,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,FF_ba,FF_slg,FF_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CH%,wFC/C,wCH/C,vFC,vCH,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff
0,2024-06-05,746221,Single,single,False,650333,667755,Luis Arraez,José Soriano,0,bdb2e1b4-861b-4a96-b90f-ee0f965ab4d9,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,
1,2024-06-05,746221,Single,single,True,665487,667755,Fernando Tatis Jr.,José Soriano,1,85265b50-4bd2-4d48-8177-64f299264248,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,
2,2024-06-05,746221,Grounded Into DP,grounded_into_double_play,True,592518,667755,Manny Machado,José Soriano,1,d7c376bb-a503-4639-9dcc-412bf1d3368c,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,
3,2024-06-05,746221,Home Run,home_run,False,694384,656302,Nolan Schanuel,Dylan Cease,0,3ba01be7-0ce4-4ef2-b4d1-3fb290b7da1b,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,108.0,99.0,104.0,,,,,0.435,,0.462,0.081,-0.1,,,1.62,-0.64,96.8,,,87.1,82.7,,,,0.242,0.455,0.333,0.244,0.445,0.225,,,,0.182,0.273,0.379,55.0,72.0,68.0,113.0,89.0,90.0,0.01,0.013,-5.15,-4.3,91.8,69.5,0.25,1.0,0.0,0.25,1.0,0.2
4,2024-06-05,746221,Groundout,field_out,True,650859,656302,Luis Rengifo,Dylan Cease,0,bf1db8b2-49ba-49a0-a209-211caca9b6c2,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,108.0,99.0,104.0,,,,,0.435,,0.462,0.081,-0.1,,,1.62,-0.64,96.8,,,87.1,82.7,,,,0.242,0.455,0.333,0.244,0.445,0.225,,,,0.182,0.273,0.379,55.0,72.0,68.0,113.0,89.0,90.0,0.01,0.013,-5.15,-4.3,91.8,69.5,0.25,1.0,0.0,0.25,1.0,0.2
5,2024-06-05,746221,Strikeout,strikeout,True,621493,656302,Taylor Ward,Dylan Cease,0,f1b5b48a-854f-4445-af44-be317ed2b278,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,108.0,99.0,104.0,,,,,0.435,,0.462,0.081,-0.1,,,1.62,-0.64,96.8,,,87.1,82.7,,,,0.242,0.455,0.333,0.244,0.445,0.225,,,,0.182,0.273,0.379,55.0,72.0,68.0,113.0,89.0,90.0,0.01,0.013,-5.15,-4.3,91.8,69.5,0.25,1.0,0.0,0.25,1.0,0.2
6,2024-06-05,746221,Lineout,field_out,True,641432,656302,Willie Calhoun,Dylan Cease,0,f885ca8f-af63-480f-9a2a-b651095d7b99,656302.0,dylancease,Cease,Right,Dylan Cease,SDP,3.99,3.51,115.0,101.0,124.0,108.0,0.691,11.66,2.82,6.89,1.17,0.74,0.205,0.428,0.155,0.32,0.399,124.0,97.0,104.0,,,,113.0,101.0,105.0,108.0,99.0,104.0,,,,,0.435,,0.462,0.081,-0.1,,,1.62,-0.64,96.8,,,87.1,82.7,,,,0.242,0.455,0.333,0.244,0.445,0.225,,,,0.182,0.273,0.379,55.0,72.0,68.0,113.0,89.0,90.0,0.01,0.013,-5.15,-4.3,91.8,69.5,0.25,1.0,0.0,0.25,1.0,0.2
7,2024-06-05,746221,Groundout,field_out,True,630105,667755,Jake Cronenworth,José Soriano,0,448412d6-97b1-456b-a449-8f6905c1c823,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,
8,2024-06-05,746221,Groundout,field_out,True,595777,667755,Jurickson Profar,José Soriano,0,47e54a4a-433e-4d14-aa9b-4e93df09bd6f,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,
9,2024-06-05,746221,Groundout,field_out,True,444482,667755,David Peralta,José Soriano,0,3395f287-7df1-41c4-92ab-e960e8502677,667755.0,josesoriano,"Soriano, J",Right,José Soriano,LAA,3.71,4.1,87.1,95.0,101.0,99.0,0.772,7.42,3.5,7.32,0.82,2.51,0.227,0.385,0.15,0.308,0.421,98.0,91.0,86.0,95.0,95.0,97.0,114.0,88.0,95.0,99.0,97.0,108.0,121.0,101.0,112.0,0.426,0.165,0.09,0.054,0.265,-1.88,0.64,1.84,0.95,-0.32,98.9,93.0,97.8,91.6,86.3,0.237,0.288,0.148,0.205,0.397,0.403,0.342,0.605,0.122,0.143,0.314,0.323,0.091,0.182,0.484,,,,,,,,,,,,,,,,,,
