,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,KC%,wFS/C,wKC/C,vFS,vKC,FS_ba,FS_slg,FS_whiff,ST_ba,ST_slg,ST_whiff
0,2024-09-23,747150,Flyout,field_out,True,671218,593958,Heliot Ramos,Eduardo Rodriguez,0,642237ff-3d57-4273-bf2c-bedbb6e00717,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.56,5.86,45.1,103.0,75.0,95.0,0.803,8.74,3.38,10.32,1.59,0.92,0.19,0.451,0.148,0.373,0.404,96.0,101.0,100.0,59.0,102.0,91.0,83.0,112.0,101.0,104.0,108.0,104.0,75.0,102.0,94.0,0.078,0.44,0.192,0.065,0.225,0.0,-2.16,-4.47,-0.28,-0.56,91.9,88.7,86.7,91.6,83.9,0.246,0.508,0.274,0.277,0.404,0.265,0.35,0.625,0.139,0.333,0.476,0.2,0.182,0.455,0.053,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-23,747150,Strikeout,strikeout,True,666464,593958,Jerar Encarnacion,Eduardo Rodriguez,0,a40c8259-9104-4236-8488-b761dc735d2c,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.56,5.86,45.1,103.0,75.0,95.0,0.803,8.74,3.38,10.32,1.59,0.92,0.19,0.451,0.148,0.373,0.404,96.0,101.0,100.0,59.0,102.0,91.0,83.0,112.0,101.0,104.0,108.0,104.0,75.0,102.0,94.0,0.078,0.44,0.192,0.065,0.225,0.0,-2.16,-4.47,-0.28,-0.56,91.9,88.7,86.7,91.6,83.9,0.246,0.508,0.274,0.277,0.404,0.265,0.35,0.625,0.139,0.333,0.476,0.2,0.182,0.455,0.053,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-23,747150,Flyout,field_out,True,624424,593958,Michael Conforto,Eduardo Rodriguez,0,70db4155-bdc5-4c06-8f0b-3aa8469462ee,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.56,5.86,45.1,103.0,75.0,95.0,0.803,8.74,3.38,10.32,1.59,0.92,0.19,0.451,0.148,0.373,0.404,96.0,101.0,100.0,59.0,102.0,91.0,83.0,112.0,101.0,104.0,108.0,104.0,75.0,102.0,94.0,0.078,0.44,0.192,0.065,0.225,0.0,-2.16,-4.47,-0.28,-0.56,91.9,88.7,86.7,91.6,83.9,0.246,0.508,0.274,0.277,0.404,0.265,0.35,0.625,0.139,0.333,0.476,0.2,0.182,0.455,0.053,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-23,747150,Flyout,field_out,True,682998,806185,Corbin Carroll,Hayden Birdsong,0,56af8da1-4e7a-4b89-b929-7c6842853097,806185.0,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.66,4.85,67.2,92.0,111.0,96.0,0.736,10.24,5.32,7.05,1.33,0.94,0.241,0.391,0.098,0.42,0.378,154.0,92.0,114.0,88.0,87.0,83.0,,,,120.0,90.0,99.0,,,,,0.443,,0.177,0.185,-0.24,,,-0.79,-0.5,95.8,,88.1,,86.5,0.225,0.459,0.176,0.26,0.36,0.353,,,,,,,0.265,0.588,0.427,113.0,103.0,104.0,0.195,1.56,80.5,0.115,0.135,0.333,,,,,,,,,,,,,,,
4,2024-09-23,747150,Double,double,False,672695,806185,Geraldo Perdomo,Hayden Birdsong,0,4570e815-478f-4afd-b926-bb04a4c4cc09,806185.0,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.66,4.85,67.2,92.0,111.0,96.0,0.736,10.24,5.32,7.05,1.33,0.94,0.241,0.391,0.098,0.42,0.378,154.0,92.0,114.0,88.0,87.0,83.0,,,,120.0,90.0,99.0,,,,,0.443,,0.177,0.185,-0.24,,,-0.79,-0.5,95.8,,88.1,,86.5,0.225,0.459,0.176,0.26,0.36,0.353,,,,,,,0.265,0.588,0.427,113.0,103.0,104.0,0.195,1.56,80.5,0.115,0.135,0.333,,,,,,,,,,,,,,,
5,2024-09-23,747150,Double,double,False,592626,806185,Joc Pederson,Hayden Birdsong,1,f10b82cb-4cc9-4480-b544-b4d9bc4ffec4,806185.0,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.66,4.85,67.2,92.0,111.0,96.0,0.736,10.24,5.32,7.05,1.33,0.94,0.241,0.391,0.098,0.42,0.378,154.0,92.0,114.0,88.0,87.0,83.0,,,,120.0,90.0,99.0,,,,,0.443,,0.177,0.185,-0.24,,,-0.79,-0.5,95.8,,88.1,,86.5,0.225,0.459,0.176,0.26,0.36,0.353,,,,,,,0.265,0.588,0.427,113.0,103.0,104.0,0.195,1.56,80.5,0.115,0.135,0.333,,,,,,,,,,,,,,,
6,2024-09-23,747150,Strikeout,strikeout,True,572233,806185,Christian Walker,Hayden Birdsong,0,5ed6a1c3-c8bc-4935-b01f-e09f73a5ba79,806185.0,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.66,4.85,67.2,92.0,111.0,96.0,0.736,10.24,5.32,7.05,1.33,0.94,0.241,0.391,0.098,0.42,0.378,154.0,92.0,114.0,88.0,87.0,83.0,,,,120.0,90.0,99.0,,,,,0.443,,0.177,0.185,-0.24,,,-0.79,-0.5,95.8,,88.1,,86.5,0.225,0.459,0.176,0.26,0.36,0.353,,,,,,,0.265,0.588,0.427,113.0,103.0,104.0,0.195,1.56,80.5,0.115,0.135,0.333,,,,,,,,,,,,,,,
7,2024-09-23,747150,Flyout,field_out,True,656976,806185,Pavin Smith,Hayden Birdsong,0,428d65e4-c4ae-47c1-a1ef-68e4bca9cb4e,806185.0,haydenbirdsong,Birdsong,Right,Hayden Birdsong,SFG,4.66,4.85,67.2,92.0,111.0,96.0,0.736,10.24,5.32,7.05,1.33,0.94,0.241,0.391,0.098,0.42,0.378,154.0,92.0,114.0,88.0,87.0,83.0,,,,120.0,90.0,99.0,,,,,0.443,,0.177,0.185,-0.24,,,-0.79,-0.5,95.8,,88.1,,86.5,0.225,0.459,0.176,0.26,0.36,0.353,,,,,,,0.265,0.588,0.427,113.0,103.0,104.0,0.195,1.56,80.5,0.115,0.135,0.333,,,,,,,,,,,,,,,
8,2024-09-23,747150,Strikeout,strikeout,True,656305,593958,Matt Chapman,Eduardo Rodriguez,0,08703243-e07f-4125-9c07-e4f87b4fd45a,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.56,5.86,45.1,103.0,75.0,95.0,0.803,8.74,3.38,10.32,1.59,0.92,0.19,0.451,0.148,0.373,0.404,96.0,101.0,100.0,59.0,102.0,91.0,83.0,112.0,101.0,104.0,108.0,104.0,75.0,102.0,94.0,0.078,0.44,0.192,0.065,0.225,0.0,-2.16,-4.47,-0.28,-0.56,91.9,88.7,86.7,91.6,83.9,0.246,0.508,0.274,0.277,0.404,0.265,0.35,0.625,0.139,0.333,0.476,0.2,0.182,0.455,0.053,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-23,747150,Strikeout,strikeout,True,666149,593958,Tyler Fitzgerald,Eduardo Rodriguez,0,558d374a-8102-425a-a194-1b0e4208ab3f,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.56,5.86,45.1,103.0,75.0,95.0,0.803,8.74,3.38,10.32,1.59,0.92,0.19,0.451,0.148,0.373,0.404,96.0,101.0,100.0,59.0,102.0,91.0,83.0,112.0,101.0,104.0,108.0,104.0,75.0,102.0,94.0,0.078,0.44,0.192,0.065,0.225,0.0,-2.16,-4.47,-0.28,-0.56,91.9,88.7,86.7,91.6,83.9,0.246,0.508,0.274,0.277,0.404,0.265,0.35,0.625,0.139,0.333,0.476,0.2,0.182,0.455,0.053,,,,,,,,,,,,,,,,,,,,,,,,
10,2024-09-23,747150,Single,single,False,592192,593958,Mark Canha,Eduardo Rodriguez,0,e62912f7-400c-49b2-84ba-6b3031fa7ad0,593958.0,eduardorodriguez,"Rodriguez, Ed",Left,Eduardo Rodriguez,ARI,5.56,5.86,45.1,103.0,75.0,95.0,0.803,8.74,3.38,10.32,1.59,0.92,0.19,0.451,0.148,0.373,0.404,96.0,101.0,100.0,59.0,102.0,91.0,83.0,112.0,101.0,104.0,108.0,104.0,75.0,102.0,94.0,0.078,0.44,0.192,0.065,0.225,0.0,-2.16,-4.47,-0.28,-0.56,91.9,88.7,86.7,91.6,83.9,0.246,0.508,0.274,0.277,0.404,0.265,0.35,0.625,0.139,0.333,0.476,0.2,0.182,0.455,0.053,,,,,,,,,,,,,,,,,,,,,,,,
