,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FC%,FS%,SL%,CU%,CH%,wFA/C,wFC/C,wFS/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vFS,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff
0,2024-06-29,745801,Groundout,field_out,True,514888,656731,Jose Altuve,Tylor Megill,0,c181b8e7-13a1-4f9f-a2ff-b50405c6a1cd,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,98.0,94.0,92.0,92.0,89.0,98.0,0.512,0.151,0.079,0.136,0.093,0.028,-1.06,1.03,2.75,-1.75,1.81,-4.37,95.6,90.4,84.3,87.2,85.1,77.0,0.262,0.446,0.226,0.3,0.433,0.238,0.25,1.0,0.143,0.059,0.059,0.5,0.091,0.182,0.414,0.5,0.5,0.111,,,,,,,,,
1,2024-06-29,745801,Lineout,field_out,True,608324,656731,Alex Bregman,Tylor Megill,0,91d855f8-7af1-4861-9631-bfee389e605d,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,98.0,94.0,92.0,92.0,89.0,98.0,0.512,0.151,0.079,0.136,0.093,0.028,-1.06,1.03,2.75,-1.75,1.81,-4.37,95.6,90.4,84.3,87.2,85.1,77.0,0.262,0.446,0.226,0.3,0.433,0.238,0.25,1.0,0.143,0.059,0.059,0.5,0.091,0.182,0.414,0.5,0.5,0.111,,,,,,,,,
2,2024-06-29,745801,Strikeout,strikeout,True,670541,656731,Yordan Alvarez,Tylor Megill,0,05826478-c361-4d2a-a0bb-46c1614fb3da,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,98.0,94.0,92.0,92.0,89.0,98.0,0.512,0.151,0.079,0.136,0.093,0.028,-1.06,1.03,2.75,-1.75,1.81,-4.37,95.6,90.4,84.3,87.2,85.1,77.0,0.262,0.446,0.226,0.3,0.433,0.238,0.25,1.0,0.143,0.059,0.059,0.5,0.091,0.182,0.414,0.5,0.5,0.111,,,,,,,,,
3,2024-06-29,745801,Single,single,False,596019,664285,Francisco Lindor,Framber Valdez,0,558be943-213f-4dde-99a3-2b30a5b6874c,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,128.0,91.0,103.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,,,,0.017,,,0.04,0.278,0.15,-3.8,,,0.84,0.45,-0.13,94.2,,,89.5,85.6,80.0,0.4,1.0,0.273,,,,0.211,0.421,0.367,,,,0.149,0.23,0.399,0.264,0.358,0.345,95.0,101.0,97.0,0.514,1.28,93.8,0.31,0.411,0.12
4,2024-06-29,745801,Pop Out,field_out,True,607043,664285,Brandon Nimmo,Framber Valdez,0,4ed479f7-ca14-4c1d-8058-3b1e812323f2,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,128.0,91.0,103.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,,,,0.017,,,0.04,0.278,0.15,-3.8,,,0.84,0.45,-0.13,94.2,,,89.5,85.6,80.0,0.4,1.0,0.273,,,,0.211,0.421,0.367,,,,0.149,0.23,0.399,0.264,0.358,0.345,95.0,101.0,97.0,0.514,1.28,93.8,0.31,0.411,0.12
5,2024-06-29,745801,Strikeout,strikeout,True,502110,664285,J.D. Martinez,Framber Valdez,0,e2969309-8a59-4176-992f-3a74d5d649ce,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,128.0,91.0,103.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,,,,0.017,,,0.04,0.278,0.15,-3.8,,,0.84,0.45,-0.13,94.2,,,89.5,85.6,80.0,0.4,1.0,0.273,,,,0.211,0.421,0.367,,,,0.149,0.23,0.399,0.264,0.358,0.345,95.0,101.0,97.0,0.514,1.28,93.8,0.31,0.411,0.12
6,2024-06-29,745801,Walk,walk,False,624413,664285,Pete Alonso,Framber Valdez,1,124e0677-d612-4f11-98b4-aa50a59af357,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,128.0,91.0,103.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,,,,0.017,,,0.04,0.278,0.15,-3.8,,,0.84,0.45,-0.13,94.2,,,89.5,85.6,80.0,0.4,1.0,0.273,,,,0.211,0.421,0.367,,,,0.149,0.23,0.399,0.264,0.358,0.345,95.0,101.0,97.0,0.514,1.28,93.8,0.31,0.411,0.12
7,2024-06-29,745801,Flyout,field_out,True,682626,664285,Francisco Alvarez,Framber Valdez,1,1620721c-6360-4b1a-87e8-9a555fd1f8d9,664285.0,frambervaldez,"Valdez, F",Left,Framber Valdez,HOU,3.66,3.99,98.1,96.0,110.0,100.0,0.77,7.51,2.93,8.6,0.73,3.21,0.204,0.398,0.106,0.338,0.427,125.0,91.0,100.0,128.0,91.0,103.0,63.0,111.0,97.0,102.0,102.0,114.0,,,,,,,0.017,,,0.04,0.278,0.15,-3.8,,,0.84,0.45,-0.13,94.2,,,89.5,85.6,80.0,0.4,1.0,0.273,,,,0.211,0.421,0.367,,,,0.149,0.23,0.399,0.264,0.358,0.345,95.0,101.0,97.0,0.514,1.28,93.8,0.31,0.411,0.12
8,2024-06-29,745801,Lineout,field_out,True,673237,656731,Yainer Diaz,Tylor Megill,0,47b5e47b-c8b6-4f04-861f-2154adf7839c,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,98.0,94.0,92.0,92.0,89.0,98.0,0.512,0.151,0.079,0.136,0.093,0.028,-1.06,1.03,2.75,-1.75,1.81,-4.37,95.6,90.4,84.3,87.2,85.1,77.0,0.262,0.446,0.226,0.3,0.433,0.238,0.25,1.0,0.143,0.059,0.059,0.5,0.091,0.182,0.414,0.5,0.5,0.111,,,,,,,,,
9,2024-06-29,745801,Home Run,home_run,False,676694,656731,Jake Meyers,Tylor Megill,0,2aeaf9f2-d822-4d03-b786-5eeb3418843f,656731.0,tylormegill,Megill,Right,Tylor Megill,NYM,5.08,4.45,39.0,94.0,107.0,97.0,0.745,11.31,4.38,8.54,0.69,0.98,0.252,0.369,0.126,0.369,0.419,130.0,94.0,112.0,85.0,81.0,88.0,115.0,96.0,97.0,100.0,99.0,104.0,98.0,94.0,92.0,92.0,89.0,98.0,0.512,0.151,0.079,0.136,0.093,0.028,-1.06,1.03,2.75,-1.75,1.81,-4.37,95.6,90.4,84.3,87.2,85.1,77.0,0.262,0.446,0.226,0.3,0.433,0.238,0.25,1.0,0.143,0.059,0.059,0.5,0.091,0.182,0.414,0.5,0.5,0.111,,,,,,,,,
