,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,vKN (sc),Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KN%,wFA/C,wFC/C,wSI/C,wSL/C,wKN/C,vFA,vFC,vSI,vSL,KC_ba,KC_slg,KC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-29,745427,Strikeout,strikeout,True,666181,663362,Will Benson,Matt Waldron,0,ee537423-3ae9-4930-a8e1-a7770d499457,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,77.6,57.0,107.0,92.0,74.0,107.0,101.0,113.0,101.0,106.0,82.0,96.0,88.0,0.134,0.202,0.062,0.206,0.395,0.35,1.49,0.78,0.59,-0.13,90.7,87.0,90.0,79.1,0.21,0.325,0.272,0.247,0.419,0.208,0.228,0.443,0.186,0.288,0.411,0.067,0.208,0.292,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-29,745427,Home Run,home_run,False,682829,663362,Elly De La Cruz,Matt Waldron,0,5c0217d5-c10e-44c9-97ca-3b6687015c79,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,77.6,57.0,107.0,92.0,74.0,107.0,101.0,113.0,101.0,106.0,82.0,96.0,88.0,0.134,0.202,0.062,0.206,0.395,0.35,1.49,0.78,0.59,-0.13,90.7,87.0,90.0,79.1,0.21,0.325,0.272,0.247,0.419,0.208,0.228,0.443,0.186,0.288,0.411,0.067,0.208,0.292,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-29,745427,Flyout,field_out,True,668715,663362,Spencer Steer,Matt Waldron,0,b24b7f92-12c2-4cd2-ac23-97d06165ebb9,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,77.6,57.0,107.0,92.0,74.0,107.0,101.0,113.0,101.0,106.0,82.0,96.0,88.0,0.134,0.202,0.062,0.206,0.395,0.35,1.49,0.78,0.59,-0.13,90.7,87.0,90.0,79.1,0.21,0.325,0.272,0.247,0.419,0.208,0.228,0.443,0.186,0.288,0.411,0.067,0.208,0.292,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-29,745427,Strikeout,strikeout,True,641584,663362,Jake Fraley,Matt Waldron,0,c2ea32a1-7e8f-4acc-9ad1-8d3ca61df537,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,77.6,57.0,107.0,92.0,74.0,107.0,101.0,113.0,101.0,106.0,82.0,96.0,88.0,0.134,0.202,0.062,0.206,0.395,0.35,1.49,0.78,0.59,-0.13,90.7,87.0,90.0,79.1,0.21,0.325,0.272,0.247,0.419,0.208,0.228,0.443,0.186,0.288,0.411,0.067,0.208,0.292,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-29,745427,Home Run,home_run,False,595777,666157,Jurickson Profar,Nick Lodolo,0,43ee7fb8-51f8-4d41-89b8-543b2b2bc38a,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,,117.0,103.0,98.0,108.0,95.0,92.0,,,,,,,0.107,0.45,,,,0.57,,-1.02,,,94.1,,94.1,,,,,0.221,0.372,0.22,,,,0.289,0.632,0.182,,,,98.0,100.0,94.0,88.0,93.0,101.0,0.278,0.165,0.16,0.65,87.9,81.5,0.198,0.25,0.455,0.2,0.333,0.288,,,,,,,,,
5,2024-04-29,745427,Strikeout,strikeout,True,665487,666157,Fernando Tatis Jr.,Nick Lodolo,0,6e17f306-7055-4948-98e1-a4e048b74d73,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,,117.0,103.0,98.0,108.0,95.0,92.0,,,,,,,0.107,0.45,,,,0.57,,-1.02,,,94.1,,94.1,,,,,0.221,0.372,0.22,,,,0.289,0.632,0.182,,,,98.0,100.0,94.0,88.0,93.0,101.0,0.278,0.165,0.16,0.65,87.9,81.5,0.198,0.25,0.455,0.2,0.333,0.288,,,,,,,,,
6,2024-04-29,745427,Groundout,field_out,True,630105,666157,Jake Cronenworth,Nick Lodolo,0,810ee3ae-f2f2-4cab-b4c5-6336b7076f4d,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,,117.0,103.0,98.0,108.0,95.0,92.0,,,,,,,0.107,0.45,,,,0.57,,-1.02,,,94.1,,94.1,,,,,0.221,0.372,0.22,,,,0.289,0.632,0.182,,,,98.0,100.0,94.0,88.0,93.0,101.0,0.278,0.165,0.16,0.65,87.9,81.5,0.198,0.25,0.455,0.2,0.333,0.288,,,,,,,,,
7,2024-04-29,745427,Flyout,field_out,True,592518,666157,Manny Machado,Nick Lodolo,0,3d2f0c94-d92d-4f5f-8962-1b154c5b0038,666157.0,nicklodolo,Lodolo,Left,Nick Lodolo,CIN,3.33,3.49,78.1,99.0,104.0,97.0,0.726,9.31,2.76,7.35,1.03,1.2,0.275,0.422,0.161,0.28,0.441,,117.0,103.0,98.0,108.0,95.0,92.0,,,,,,,0.107,0.45,,,,0.57,,-1.02,,,94.1,,94.1,,,,,0.221,0.372,0.22,,,,0.289,0.632,0.182,,,,98.0,100.0,94.0,88.0,93.0,101.0,0.278,0.165,0.16,0.65,87.9,81.5,0.198,0.25,0.455,0.2,0.333,0.288,,,,,,,,,
8,2024-04-29,745427,Groundout,field_out,True,663697,663362,Jonathan India,Matt Waldron,0,65ef14f1-0c83-4dc1-8054-f33fcaf60aa8,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,77.6,57.0,107.0,92.0,74.0,107.0,101.0,113.0,101.0,106.0,82.0,96.0,88.0,0.134,0.202,0.062,0.206,0.395,0.35,1.49,0.78,0.59,-0.13,90.7,87.0,90.0,79.1,0.21,0.325,0.272,0.247,0.419,0.208,0.228,0.443,0.186,0.288,0.411,0.067,0.208,0.292,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-29,745427,Single,single,False,605361,663362,Nick Martini,Matt Waldron,0,d4deebba-cf53-4bec-a4f9-609637cab3c6,663362.0,mattwaldron,Waldron,Right,Matt Waldron,SDP,3.59,3.74,112.2,104.0,83.0,98.0,0.811,7.91,2.48,7.99,0.96,0.86,0.206,0.394,0.176,0.3,0.439,77.6,57.0,107.0,92.0,74.0,107.0,101.0,113.0,101.0,106.0,82.0,96.0,88.0,0.134,0.202,0.062,0.206,0.395,0.35,1.49,0.78,0.59,-0.13,90.7,87.0,90.0,79.1,0.21,0.325,0.272,0.247,0.419,0.208,0.228,0.443,0.186,0.288,0.411,0.067,0.208,0.292,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
