,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,wFA/C,wFS/C,wSI/C,wSL/C,vFA,vFS,vSI,vSL,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-05-13,745343,Home Run,home_run,False,605141,663855,Mookie Betts,Jordan Hicks,0,5ff263a5-c1ae-43ba-8803-55cb4e5ca22a,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-13,745343,Single,single,False,660271,663855,Shohei Ohtani,Jordan Hicks,0,d9d011b8-cec2-45fd-b5c1-4f99925d91b8,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-13,745343,Forceout,force_out,True,518692,663855,Freddie Freeman,Jordan Hicks,1,87f84036-6870-4208-ad5e-f7c6234a6572,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-13,745343,Flyout,field_out,True,669257,663855,Will Smith,Jordan Hicks,0,13652ddd-b350-48d7-9974-1e775d7abca6,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-05-13,745343,Strikeout,strikeout,True,571970,663855,Max Muncy,Jordan Hicks,0,705d8832-c30c-4cb7-97c9-de2d5c32017f,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-05-13,745343,Flyout,field_out,True,573262,808967,Mike Yastrzemski,Yoshinobu Yamamoto,0,2b43c856-479d-415c-b762-d2b09d90b834,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,122.0,111.0,119.0,0.033,0.407,0.248,0.033,1.22,-0.01,-0.61,0.93,95.5,90.1,94.9,86.5,0.3,0.5,0.143,0.188,0.3,0.348,0.133,0.133,0.333,0.248,0.396,0.194,106.0,105.0,113.0,86.0,95.0,89.0,0.053,0.226,2.17,0.52,91.3,77.9,0.23,0.41,0.319,0.231,0.308,0.242,,,,,,,,,,,,,,,
6,2024-05-13,745343,Double,double,False,642731,808967,Thairo Estrada,Yoshinobu Yamamoto,0,e442b84f-fe45-4531-a5f0-8fa3aa638421,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,122.0,111.0,119.0,0.033,0.407,0.248,0.033,1.22,-0.01,-0.61,0.93,95.5,90.1,94.9,86.5,0.3,0.5,0.143,0.188,0.3,0.348,0.133,0.133,0.333,0.248,0.396,0.194,106.0,105.0,113.0,86.0,95.0,89.0,0.053,0.226,2.17,0.52,91.3,77.9,0.23,0.41,0.319,0.231,0.308,0.242,,,,,,,,,,,,,,,
7,2024-05-13,745343,Groundout,field_out,True,656305,808967,Matt Chapman,Yoshinobu Yamamoto,0,bc8b532b-330d-4114-9264-b88de137e6d5,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,122.0,111.0,119.0,0.033,0.407,0.248,0.033,1.22,-0.01,-0.61,0.93,95.5,90.1,94.9,86.5,0.3,0.5,0.143,0.188,0.3,0.348,0.133,0.133,0.333,0.248,0.396,0.194,106.0,105.0,113.0,86.0,95.0,89.0,0.053,0.226,2.17,0.52,91.3,77.9,0.23,0.41,0.319,0.231,0.308,0.242,,,,,,,,,,,,,,,
8,2024-05-13,745343,Groundout,field_out,True,664774,808967,LaMonte Wade Jr.,Yoshinobu Yamamoto,0,3f3fea47-d45d-4cd1-b40e-41ca26577f4b,808967.0,yoshinobuyamamoto,Yamamoto,Right,Yoshinobu Yamamoto,LAD,2.92,3.17,74.0,105.0,99.0,106.0,0.758,10.22,2.07,7.54,0.73,1.5,0.251,0.402,0.156,0.332,0.441,83.0,103.0,95.0,102.0,110.0,103.0,120.0,113.0,120.0,122.0,111.0,119.0,0.033,0.407,0.248,0.033,1.22,-0.01,-0.61,0.93,95.5,90.1,94.9,86.5,0.3,0.5,0.143,0.188,0.3,0.348,0.133,0.133,0.333,0.248,0.396,0.194,106.0,105.0,113.0,86.0,95.0,89.0,0.053,0.226,2.17,0.52,91.3,77.9,0.23,0.41,0.319,0.231,0.308,0.242,,,,,,,,,,,,,,,
9,2024-05-13,745343,Groundout,field_out,True,606192,663855,Teoscar Hernández,Jordan Hicks,0,b15e10fa-69b4-47a9-8fd6-5646eb69d9c9,663855.0,jordanhicks,"Hicks, J",Right,Jordan Hicks,SFG,3.79,4.76,95.0,96.0,106.0,99.0,0.762,7.86,3.41,8.81,1.04,1.62,0.213,0.426,0.124,0.33,0.404,78.0,96.0,88.0,95.0,97.0,95.0,123.0,98.0,104.0,121.0,92.0,106.0,0.507,0.052,0.21,0.23,-3.81,-0.21,0.19,0.18,95.5,84.2,94.4,81.0,0.337,0.484,0.122,0.165,0.271,0.399,0.145,0.319,0.377,0.263,0.421,0.194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
