,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,CU%,CH%,wFA/C,wFC/C,wSI/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,ST_ba,ST_slg,ST_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff
0,2024-09-14,744884,Strikeout,strikeout,True,691026,621244,Masyn Winn,José Berríos,0,726e05cf-8ef5-410c-a73c-477057f8b457,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.44,4.76,183.1,103.0,92.0,99.0,0.812,7.02,2.45,7.66,1.42,1.18,0.255,0.415,0.155,0.346,0.414,86.0,104.0,101.0,111.0,102.0,105.0,81.0,100.0,93.0,86.0,103.0,95.0,82.0,106.0,98.0,0.342,0.181,0.033,0.285,0.158,-1.48,-1.14,1.29,0.44,0.98,94.1,91.5,84.8,93.4,83.2,0.257,0.347,0.124,0.181,0.383,0.307,0.171,0.374,0.262,0.315,0.576,0.192,0.333,0.375,0.1,,,,,,,,,,,,,,,
1,2024-09-14,744884,Groundout,field_out,True,676475,621244,Alec Burleson,José Berríos,0,3da43e1b-2512-4999-90c9-0117c293b451,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.44,4.76,183.1,103.0,92.0,99.0,0.812,7.02,2.45,7.66,1.42,1.18,0.255,0.415,0.155,0.346,0.414,86.0,104.0,101.0,111.0,102.0,105.0,81.0,100.0,93.0,86.0,103.0,95.0,82.0,106.0,98.0,0.342,0.181,0.033,0.285,0.158,-1.48,-1.14,1.29,0.44,0.98,94.1,91.5,84.8,93.4,83.2,0.257,0.347,0.124,0.181,0.383,0.307,0.171,0.374,0.262,0.315,0.576,0.192,0.333,0.375,0.1,,,,,,,,,,,,,,,
2,2024-09-14,744884,Lineout,field_out,True,502671,621244,Paul Goldschmidt,José Berríos,0,24298351-c1ad-4a1d-b3af-151f653c85ea,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.44,4.76,183.1,103.0,92.0,99.0,0.812,7.02,2.45,7.66,1.42,1.18,0.255,0.415,0.155,0.346,0.414,86.0,104.0,101.0,111.0,102.0,105.0,81.0,100.0,93.0,86.0,103.0,95.0,82.0,106.0,98.0,0.342,0.181,0.033,0.285,0.158,-1.48,-1.14,1.29,0.44,0.98,94.1,91.5,84.8,93.4,83.2,0.257,0.347,0.124,0.181,0.383,0.307,0.171,0.374,0.262,0.315,0.576,0.192,0.333,0.375,0.1,,,,,,,,,,,,,,,
3,2024-09-14,744884,Groundout,field_out,True,543807,502043,George Springer,Kyle Gibson,0,bd99d865-5366-4640-93c7-2e67db150d01,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.11,4.73,159.2,98.0,94.0,95.0,0.754,8.12,3.49,8.46,1.13,1.32,0.219,0.424,0.178,0.346,0.357,99.0,92.0,88.0,103.0,103.0,104.0,81.0,90.0,85.0,84.0,102.0,97.0,96.0,95.0,90.0,0.269,0.129,0.21,0.086,0.095,-0.94,0.38,0.46,-2.02,0.65,91.4,88.6,84.9,90.7,78.4,0.263,0.409,0.088,,,,0.2,0.273,0.383,0.258,0.53,0.07,0.306,0.463,0.194,104.0,103.0,105.0,0.212,0.97,80.7,0.199,0.313,0.414,0.314,0.686,0.47,,,
4,2024-09-14,744884,Groundout,field_out,True,664770,502043,Nathan Lukes,Kyle Gibson,0,521ad63c-27e1-418b-9ba4-9ab83c58ee62,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.11,4.73,159.2,98.0,94.0,95.0,0.754,8.12,3.49,8.46,1.13,1.32,0.219,0.424,0.178,0.346,0.357,99.0,92.0,88.0,103.0,103.0,104.0,81.0,90.0,85.0,84.0,102.0,97.0,96.0,95.0,90.0,0.269,0.129,0.21,0.086,0.095,-0.94,0.38,0.46,-2.02,0.65,91.4,88.6,84.9,90.7,78.4,0.263,0.409,0.088,,,,0.2,0.273,0.383,0.258,0.53,0.07,0.306,0.463,0.194,104.0,103.0,105.0,0.212,0.97,80.7,0.199,0.313,0.414,0.314,0.686,0.47,,,
5,2024-09-14,744884,Groundout,field_out,True,665489,502043,Vladimir Guerrero Jr.,Kyle Gibson,0,49898bf4-c00f-476c-b854-5a939de3d4e5,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.11,4.73,159.2,98.0,94.0,95.0,0.754,8.12,3.49,8.46,1.13,1.32,0.219,0.424,0.178,0.346,0.357,99.0,92.0,88.0,103.0,103.0,104.0,81.0,90.0,85.0,84.0,102.0,97.0,96.0,95.0,90.0,0.269,0.129,0.21,0.086,0.095,-0.94,0.38,0.46,-2.02,0.65,91.4,88.6,84.9,90.7,78.4,0.263,0.409,0.088,,,,0.2,0.273,0.383,0.258,0.53,0.07,0.306,0.463,0.194,104.0,103.0,105.0,0.212,0.97,80.7,0.199,0.313,0.414,0.314,0.686,0.47,,,
6,2024-09-14,744884,Flyout,field_out,True,571448,621244,Nolan Arenado,José Berríos,0,45ff2bef-ac48-4b25-b480-ae042e2ef6a1,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.44,4.76,183.1,103.0,92.0,99.0,0.812,7.02,2.45,7.66,1.42,1.18,0.255,0.415,0.155,0.346,0.414,86.0,104.0,101.0,111.0,102.0,105.0,81.0,100.0,93.0,86.0,103.0,95.0,82.0,106.0,98.0,0.342,0.181,0.033,0.285,0.158,-1.48,-1.14,1.29,0.44,0.98,94.1,91.5,84.8,93.4,83.2,0.257,0.347,0.124,0.181,0.383,0.307,0.171,0.374,0.262,0.315,0.576,0.192,0.333,0.375,0.1,,,,,,,,,,,,,,,
7,2024-09-14,744884,Groundout,field_out,True,680977,621244,Brendan Donovan,José Berríos,0,b16df2ff-226b-4d03-b786-a71bacbbcb80,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.44,4.76,183.1,103.0,92.0,99.0,0.812,7.02,2.45,7.66,1.42,1.18,0.255,0.415,0.155,0.346,0.414,86.0,104.0,101.0,111.0,102.0,105.0,81.0,100.0,93.0,86.0,103.0,95.0,82.0,106.0,98.0,0.342,0.181,0.033,0.285,0.158,-1.48,-1.14,1.29,0.44,0.98,94.1,91.5,84.8,93.4,83.2,0.257,0.347,0.124,0.181,0.383,0.307,0.171,0.374,0.262,0.315,0.576,0.192,0.333,0.375,0.1,,,,,,,,,,,,,,,
8,2024-09-14,744884,Groundout,field_out,True,695336,621244,Thomas Saggese,José Berríos,0,4dbbb784-a7ff-42c2-ba4a-2a6d3b4f2270,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,3.44,4.76,183.1,103.0,92.0,99.0,0.812,7.02,2.45,7.66,1.42,1.18,0.255,0.415,0.155,0.346,0.414,86.0,104.0,101.0,111.0,102.0,105.0,81.0,100.0,93.0,86.0,103.0,95.0,82.0,106.0,98.0,0.342,0.181,0.033,0.285,0.158,-1.48,-1.14,1.29,0.44,0.98,94.1,91.5,84.8,93.4,83.2,0.257,0.347,0.124,0.181,0.383,0.307,0.171,0.374,0.262,0.315,0.576,0.192,0.333,0.375,0.1,,,,,,,,,,,,,,,
9,2024-09-14,744884,Flyout,field_out,True,687462,502043,Spencer Horwitz,Kyle Gibson,0,ce65701b-ae71-4f11-b170-8e6eb6928c7c,502043.0,kylegibson,Gibson,Right,Kyle Gibson,STL,4.11,4.73,159.2,98.0,94.0,95.0,0.754,8.12,3.49,8.46,1.13,1.32,0.219,0.424,0.178,0.346,0.357,99.0,92.0,88.0,103.0,103.0,104.0,81.0,90.0,85.0,84.0,102.0,97.0,96.0,95.0,90.0,0.269,0.129,0.21,0.086,0.095,-0.94,0.38,0.46,-2.02,0.65,91.4,88.6,84.9,90.7,78.4,0.263,0.409,0.088,,,,0.2,0.273,0.383,0.258,0.53,0.07,0.306,0.463,0.194,104.0,103.0,105.0,0.212,0.97,80.7,0.199,0.313,0.414,0.314,0.686,0.47,,,
