,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
21,2024-08-08,747169,Strikeout,strikeout,True,606466,663465,Ketel Marte,Kolby Allard,0,1ce13685-8dfe-44c3-be6d-9fbf3a8b6d1b,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
22,2024-08-08,747169,Double,double,False,664761,656756,Alec Bohm,Jordan Montgomery,0,f0be6154-41ef-4dc7-9d61-59d6e4f8d297,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
23,2024-08-08,747169,Flyout,field_out,True,592663,656756,J.T. Realmuto,Jordan Montgomery,0,6c329019-aa49-4634-a093-5bff06375105,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
24,2024-08-08,747169,Intent Walk,intent_walk,False,592206,656756,Nick Castellanos,Jordan Montgomery,0,07471696-0256-1013-000c-f08cd117d70a,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
25,2024-08-08,747169,Single,single,False,624641,656756,Edmundo Sosa,Jordan Montgomery,1,9c6c8218-e161-422a-83cd-259c0a40eb5b,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
26,2024-08-08,747169,Strikeout,strikeout,True,642215,656756,Weston Wilson,Jordan Montgomery,0,2827aff6-8b2d-44a9-868a-f783e56ce18b,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
27,2024-08-08,747169,Flyout,field_out,True,679032,656756,Johan Rojas,Jordan Montgomery,0,6f754bb9-cc44-411b-9eb4-590334dec7d0,656756.0,jordanmontgomery,Montgomery,Left,Jordan Montgomery,ARI,6.16,5.28,99.1,98.0,93.0,95.0,0.756,6.25,3.35,11.6,1.09,1.29,0.172,0.448,0.125,0.366,0.379,99.0,100.0,92.0,107.0,101.0,106.0,68.0,97.0,88.0,89.0,95.0,92.0,102.0,90.0,85.0,0.316,0.166,0.014,0.295,0.209,-0.59,-2.04,4.12,-0.68,-1.83,92.0,83.1,91.7,83.4,79.2,0.38,0.563,0.14,0.256,0.444,0.314,0.315,0.616,0.384,0.3,0.4,0.203,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,
28,2024-08-08,747169,Flyout,field_out,True,664983,663465,Jake McCarthy,Kolby Allard,0,530326c3-0b05-4534-90b8-0bc59f55138c,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
29,2024-08-08,747169,Strikeout,strikeout,True,666971,663465,Lourdes Gurriel Jr.,Kolby Allard,0,69260839-a00f-40d6-95db-281e63f73c4b,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
30,2024-08-08,747169,Flyout,field_out,True,605137,663465,Josh Bell,Kolby Allard,0,61b43304-ef31-491b-b83a-e291d1fea499,663465.0,kolbyallard,Allard,Left,Kolby Allard,PHI,3.5,4.5,18.0,108.0,70.0,103.0,0.843,6.5,1.0,11.0,2.5,1.36,0.121,0.397,0.155,0.431,0.478,79.0,112.0,105.0,97.0,100.0,104.0,61.0,107.0,100.0,19.0,113.0,93.0,,,,0.045,0.373,,0.131,0.246,-1.18,-18.59,,0.65,4.39,90.3,82.2,90.3,,71.9,0.75,1.5,0.0,0.25,0.583,0.1,0.217,0.217,0.179,0.316,0.632,0.162,,,,68.0,107.0,105.0,0.205,-2.43,84.4,0.385,0.692,0.29,,,,,,,,,,,,
