,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-09-08,745774,Strikeout,strikeout,True,663697,622663,Jonathan India,Luis Severino,0,a26e1e77-726f-470d-a1b8-922531e86f46,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,,,,,,,,,,
1,2024-09-08,745774,Flyout,field_out,True,682829,622663,Elly De La Cruz,Luis Severino,0,190ba481-3dd4-4aa0-b3c1-8ad734c01146,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,,,,,,,,,,
2,2024-09-08,745774,Groundout,field_out,True,668715,622663,Spencer Steer,Luis Severino,0,ceec077f-ceee-47e2-a23e-93b059310b46,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,,,,,,,,,,
3,2024-09-08,745774,Flyout,field_out,True,596019,687924,Francisco Lindor,Julian Aguiar,0,50fe27be-eed5-480c-814e-0ee89e9c9a9d,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,5.06,5.38,21.1,98.0,85.0,99.0,0.816,4.64,3.38,8.86,2.11,0.72,0.243,0.405,0.203,0.23,0.45,97.0,88.0,94.0,,,,79.0,101.0,98.0,92.0,102.0,106.0,,,,0.518,,,0.206,0.192,,,-0.71,0.3,0.04,,,83.8,94.2,80.1,,,,0.292,0.563,0.16,,,,,,,0.176,0.235,0.27,0.167,0.417,0.226,87.0,95.0,103.0,0.084,-5.28,78.0,0.25,0.625,0.083,,,,,,,,,
4,2024-09-08,745774,Flyout,field_out,True,607043,687924,Brandon Nimmo,Julian Aguiar,0,02e80b51-f152-45b4-b1f5-4be74ffb1818,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,5.06,5.38,21.1,98.0,85.0,99.0,0.816,4.64,3.38,8.86,2.11,0.72,0.243,0.405,0.203,0.23,0.45,97.0,88.0,94.0,,,,79.0,101.0,98.0,92.0,102.0,106.0,,,,0.518,,,0.206,0.192,,,-0.71,0.3,0.04,,,83.8,94.2,80.1,,,,0.292,0.563,0.16,,,,,,,0.176,0.235,0.27,0.167,0.417,0.226,87.0,95.0,103.0,0.084,-5.28,78.0,0.25,0.625,0.083,,,,,,,,,
5,2024-09-08,745774,Lineout,field_out,True,668901,687924,Mark Vientos,Julian Aguiar,0,c2ff44ba-e282-43ba-9e9e-59719746e4c3,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,5.06,5.38,21.1,98.0,85.0,99.0,0.816,4.64,3.38,8.86,2.11,0.72,0.243,0.405,0.203,0.23,0.45,97.0,88.0,94.0,,,,79.0,101.0,98.0,92.0,102.0,106.0,,,,0.518,,,0.206,0.192,,,-0.71,0.3,0.04,,,83.8,94.2,80.1,,,,0.292,0.563,0.16,,,,,,,0.176,0.235,0.27,0.167,0.417,0.226,87.0,95.0,103.0,0.084,-5.28,78.0,0.25,0.625,0.083,,,,,,,,,
6,2024-09-08,745774,Lineout,field_out,True,664034,622663,Ty France,Luis Severino,0,e3bc0828-bea8-41a4-b0a7-a0f0a472175e,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,,,,,,,,,,
7,2024-09-08,745774,Lineout,field_out,True,641584,622663,Jake Fraley,Luis Severino,0,2156885e-5db9-41f4-8fd1-08fbc800d025,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,,,,,,,,,,
8,2024-09-08,745774,Strikeout,strikeout,True,669289,622663,Santiago Espinal,Luis Severino,0,3d1bb62a-166d-4030-9fbf-241a77cb5c51,622663.0,luisseverino,"Severino, L",Right,Luis Severino,NYM,3.74,3.91,166.0,100.0,106.0,100.0,0.815,7.81,3.04,8.19,1.03,1.3,0.261,0.376,0.205,0.282,0.439,88.0,94.0,93.0,100.0,103.0,101.0,91.0,98.0,94.0,143.0,99.0,111.0,92.0,91.0,89.0,0.25,0.354,0.085,0.231,0.08,0.24,1.46,1.04,0.14,-2.88,96.1,92.6,86.1,95.6,85.7,0.239,0.388,0.224,0.284,0.42,0.124,0.15,0.234,0.363,0.184,0.265,0.255,0.34,0.6,0.186,0.263,0.342,0.284,,,,,,,,,,,,,,,,,,
9,2024-09-08,745774,Walk,walk,False,624413,687924,Pete Alonso,Julian Aguiar,0,08ff4a7c-29cc-4861-a3e5-b9785c62dac0,687924.0,julianaguiar,Aguiar,Right,Julian Aguiar,CIN,5.06,5.38,21.1,98.0,85.0,99.0,0.816,4.64,3.38,8.86,2.11,0.72,0.243,0.405,0.203,0.23,0.45,97.0,88.0,94.0,,,,79.0,101.0,98.0,92.0,102.0,106.0,,,,0.518,,,0.206,0.192,,,-0.71,0.3,0.04,,,83.8,94.2,80.1,,,,0.292,0.563,0.16,,,,,,,0.176,0.235,0.27,0.167,0.417,0.226,87.0,95.0,103.0,0.084,-5.28,78.0,0.25,0.625,0.083,,,,,,,,,
