,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,CU%,CH%,wFC/C,wSI/C,wCU/C,wCH/C,vFC,vCH,vSI,vCU,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,Stf+ SL,Loc+ SL,Pit+ SL,SL%,wSL/C,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ FA,Loc+ FA,Pit+ FA,FA%,FO%,wFA/C,wFO/C,vFA,vFO,FS_ba,FS_slg,FS_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
0,2024-05-24,746558,Groundout,field_out,True,656941,621389,Kyle Schwarber,Ty Blach,0,942ae308-2e3e-4f27-a5d7-817a6b620c0a,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-24,746558,Groundout,field_out,True,592663,621389,J.T. Realmuto,Ty Blach,0,61bd20b9-03e7-4ea8-96d0-4c5e79de6bec,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-24,746558,Strikeout,strikeout,True,547180,621389,Bryce Harper,Ty Blach,0,45b72404-f587-407c-be85-42f80835e1bf,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-24,746558,Lineout,field_out,True,678662,650911,Ezequiel Tovar,Cristopher Sánchez,0,09a8e45b-ad05-4e87-8ccb-baac58c4012b,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,,0.337,2.59,-0.18,,2.05,86.5,85.2,94.4,,0.343,0.436,0.1,0.166,0.185,0.385,,,,,,,95.0,100.0,104.0,0.184,1.12,84.1,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,
4,2024-05-24,746558,Single,single,False,663898,650911,Brendan Rodgers,Cristopher Sánchez,0,1d9e5a0e-e4cb-4ec2-94a5-8304a6798acc,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,,0.337,2.59,-0.18,,2.05,86.5,85.2,94.4,,0.343,0.436,0.1,0.166,0.185,0.385,,,,,,,95.0,100.0,104.0,0.184,1.12,84.1,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,
5,2024-05-24,746558,Groundout,field_out,True,553869,650911,Elias Díaz,Cristopher Sánchez,1,e8e67812-c3cd-49e7-b2ff-3bf1287cab42,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,,0.337,2.59,-0.18,,2.05,86.5,85.2,94.4,,0.343,0.436,0.1,0.166,0.185,0.385,,,,,,,95.0,100.0,104.0,0.184,1.12,84.1,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,
6,2024-05-24,746558,Strikeout,strikeout,True,592178,650911,Kris Bryant,Cristopher Sánchez,0,44bcd129-a421-4607-987a-7f4debf3fe3b,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,,0.337,2.59,-0.18,,2.05,86.5,85.2,94.4,,0.343,0.436,0.1,0.166,0.185,0.385,,,,,,,95.0,100.0,104.0,0.184,1.12,84.1,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,
7,2024-05-24,746558,Lineout,field_out,True,664761,621389,Alec Bohm,Ty Blach,0,b9dddb21-4367-4515-8099-035a9dc67c85,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-05-24,746558,Strikeout,strikeout,True,592206,621389,Nick Castellanos,Ty Blach,0,0ed6d761-4d7d-4ea1-9713-3cd5ce46973e,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-05-24,746558,Pop Out,field_out,True,681082,621389,Bryson Stott,Ty Blach,0,4c6e7dd8-7afb-4748-a6b6-e7e6fde3e816,621389.0,tyblach,Blach,Left,Ty Blach,COL,5.46,6.26,59.1,103.0,70.0,90.0,0.875,4.85,1.97,12.29,1.52,1.26,0.247,0.379,0.11,0.333,0.466,70.0,98.0,89.0,37.0,94.0,92.0,77.0,106.0,90.0,79.0,107.0,89.0,0.51,0.121,0.122,0.247,0.63,-1.47,-0.42,-2.76,83.2,80.0,89.1,79.2,0.376,0.576,0.092,0.367,0.517,0.217,0.211,0.5,0.203,0.174,0.348,0.191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
