,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
10,2024-09-16,745773,Strikeout,strikeout,True,607043,663623,Brandon Nimmo,Jake Irvin,0,faa3c938-6bd7-436d-a45d-192d3cb348f8,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
11,2024-09-16,745773,Groundout,field_out,True,668901,663623,Mark Vientos,Jake Irvin,0,c10d61ef-c34d-4c2b-9438-102431b335e2,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
12,2024-09-16,745773,Single,single,False,660688,640455,Keibert Ruiz,Sean Manaea,0,64f5439e-7466-4a3b-978c-52707b7de3b2,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
13,2024-09-16,745773,Single,single,False,696285,640455,Jacob Young,Sean Manaea,1,fc1f654e-a36c-423f-aede-118e11ab1fdf,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
14,2024-09-16,745773,Pop Out,field_out,True,683083,640455,Nasim Nuñez,Sean Manaea,0,64d2b4bc-5d0c-40ab-be0b-dcb8b2df0c7b,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
15,2024-09-16,745773,Forceout,force_out,True,686611,640455,Dylan Crews,Sean Manaea,1,99708e05-d53e-4600-80f6-a824f7ca4014,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
16,2024-09-16,745773,Strikeout,strikeout,True,695578,640455,James Wood,Sean Manaea,0,109aefa8-8703-482f-a942-1d48c9ba8541,640455.0,seanmanaea,Manaea,Left,Sean Manaea,NYM,3.26,3.74,171.0,97.0,89.0,96.0,0.758,9.32,3.21,6.53,0.95,0.88,0.265,0.382,0.155,0.321,0.433,83.0,98.0,94.0,87.0,104.0,99.0,93.0,100.0,97.0,88.0,87.0,92.0,84.0,88.0,85.0,0.434,0.119,0.076,0.254,0.117,1.12,0.98,1.49,0.48,-1.0,92.4,88.4,85.4,92.3,79.6,0.195,0.312,0.215,0.186,0.31,0.391,0.264,0.437,0.249,0.167,0.295,0.309,0.222,0.25,0.179,0.174,0.435,0.32,,,,,,,,,,,,,,,,,,
17,2024-09-16,745773,Flyout,field_out,True,621438,663623,Tyrone Taylor,Jake Irvin,0,2b2fb140-7f23-4603-8774-c4d712d0e22f,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
18,2024-09-16,745773,Strikeout,strikeout,True,682626,663623,Francisco Alvarez,Jake Irvin,0,1fe7eced-7a0a-49b7-bd1b-6adad4778c3a,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
19,2024-09-16,745773,Flyout,field_out,True,657193,663623,Eddy Alvarez,Jake Irvin,0,98f0c49b-fa10-4a31-b3b4-0692dc23ff5c,663623.0,jakeirvin,"Irvin, J",Right,Jake Irvin,WSN,4.07,4.15,179.1,104.0,94.0,101.0,0.803,7.53,2.26,8.23,1.3,1.21,0.237,0.424,0.171,0.333,0.467,99.0,92.0,94.0,81.0,105.0,98.0,97.0,102.0,103.0,110.0,115.0,117.0,78.0,103.0,93.0,0.201,0.376,0.068,0.003,0.036,0.64,-0.03,-0.28,-14.37,1.41,94.0,89.9,88.4,93.3,85.9,0.314,0.472,0.147,,,,0.125,0.125,0.341,0.2,0.364,0.238,0.289,0.533,0.206,,,,111.0,105.0,106.0,0.316,0.13,81.1,0.233,0.432,0.25,,,,,,,,,
