,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,FS_ba,FS_slg,FS_whiff
0,2024-06-05,746873,Home Run,home_run,False,667452,592791,Corey Julks,Jameson Taillon,0,4d0ea3df-2c52-4848-bf85-d3b75351e094,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,74.0,99.0,89.0,106.0,117.0,121.0,92.0,105.0,99.0,0.079,0.325,0.234,0.168,0.165,0.029,0.37,2.55,-0.39,-0.43,-0.02,-3.72,92.5,86.8,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.256,0.267,0.187,0.224,0.395,0.315,0.227,0.303,0.227,0.318,0.5,0.13,0.273,0.818,0.087,,,,,,,,,,,,,,,
1,2024-06-05,746873,Single,single,False,670032,592791,Nicky Lopez,Jameson Taillon,0,c4059d90-d8e0-4406-b861-9806931a2b8c,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,74.0,99.0,89.0,106.0,117.0,121.0,92.0,105.0,99.0,0.079,0.325,0.234,0.168,0.165,0.029,0.37,2.55,-0.39,-0.43,-0.02,-3.72,92.5,86.8,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.256,0.267,0.187,0.224,0.395,0.315,0.227,0.303,0.227,0.318,0.5,0.13,0.273,0.818,0.087,,,,,,,,,,,,,,,
2,2024-06-05,746873,Grounded Into DP,grounded_into_double_play,True,673357,592791,Luis Robert Jr.,Jameson Taillon,1,4a2dc0e3-a3de-4738-a4bc-0248e51be16d,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,74.0,99.0,89.0,106.0,117.0,121.0,92.0,105.0,99.0,0.079,0.325,0.234,0.168,0.165,0.029,0.37,2.55,-0.39,-0.43,-0.02,-3.72,92.5,86.8,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.256,0.267,0.187,0.224,0.395,0.315,0.227,0.303,0.227,0.318,0.5,0.13,0.273,0.818,0.087,,,,,,,,,,,,,,,
3,2024-06-05,746873,Strikeout,strikeout,True,657757,592791,Gavin Sheets,Jameson Taillon,0,3042e9a8-006a-4411-9f43-1895311f5fc0,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,74.0,99.0,89.0,106.0,117.0,121.0,92.0,105.0,99.0,0.079,0.325,0.234,0.168,0.165,0.029,0.37,2.55,-0.39,-0.43,-0.02,-3.72,92.5,86.8,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.256,0.267,0.187,0.224,0.395,0.315,0.227,0.303,0.227,0.318,0.5,0.13,0.273,0.818,0.087,,,,,,,,,,,,,,,
4,2024-06-05,746873,Groundout,field_out,True,643565,607200,Mike Tauchman,Erick Fedde,0,c63d12ee-160e-41f3-adf4-9d41dc0766f1,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,,0.196,-1.85,1.18,0.74,0.47,,0.17,94.1,90.1,87.9,93.2,83.7,,,,,0.242,0.387,0.258,0.184,0.382,0.26,,,,0.246,0.358,0.203,0.216,0.295,0.142,,,,,,,,,,,,,,,
5,2024-06-05,746873,Strikeout,strikeout,True,673548,607200,Seiya Suzuki,Erick Fedde,0,c4b9c799-461e-4b40-817e-1792211e4a64,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,,0.196,-1.85,1.18,0.74,0.47,,0.17,94.1,90.1,87.9,93.2,83.7,,,,,0.242,0.387,0.258,0.184,0.382,0.26,,,,0.246,0.358,0.203,0.216,0.295,0.142,,,,,,,,,,,,,,,
6,2024-06-05,746873,Flyout,field_out,True,641355,607200,Cody Bellinger,Erick Fedde,0,b8f680d7-5ce3-4aa3-ac2b-6503e7b57064,607200.0,erickfedde,Fedde,Right,Erick Fedde,CHW,2.99,3.59,111.1,105.0,92.0,100.0,0.805,8.0,2.43,7.76,0.89,1.26,0.269,0.358,0.183,0.294,0.393,85.0,111.0,108.0,,,,59.0,103.0,102.0,80.0,107.0,94.0,127.0,101.0,105.0,78.0,104.0,97.0,0.306,0.001,0.299,0.198,,0.196,-1.85,1.18,0.74,0.47,,0.17,94.1,90.1,87.9,93.2,83.7,,,,,0.242,0.387,0.258,0.184,0.382,0.26,,,,0.246,0.358,0.203,0.216,0.295,0.142,,,,,,,,,,,,,,,
7,2024-06-05,746873,Strikeout,strikeout,True,683734,592791,Andrew Vaughn,Jameson Taillon,0,56ef07ab-952c-49a7-9d35-5ba9f94f4985,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,74.0,99.0,89.0,106.0,117.0,121.0,92.0,105.0,99.0,0.079,0.325,0.234,0.168,0.165,0.029,0.37,2.55,-0.39,-0.43,-0.02,-3.72,92.5,86.8,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.256,0.267,0.187,0.224,0.395,0.315,0.227,0.303,0.227,0.318,0.5,0.13,0.273,0.818,0.087,,,,,,,,,,,,,,,
8,2024-06-05,746873,Groundout,field_out,True,693049,592791,Oscar Colás,Jameson Taillon,0,03f332d3-32de-441d-b245-0d6a8007cc88,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,74.0,99.0,89.0,106.0,117.0,121.0,92.0,105.0,99.0,0.079,0.325,0.234,0.168,0.165,0.029,0.37,2.55,-0.39,-0.43,-0.02,-3.72,92.5,86.8,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.256,0.267,0.187,0.224,0.395,0.315,0.227,0.303,0.227,0.318,0.5,0.13,0.273,0.818,0.087,,,,,,,,,,,,,,,
9,2024-06-05,746873,Flyout,field_out,True,657557,592791,Paul DeJong,Jameson Taillon,0,131b4c0b-f571-4da2-a136-59595061e77d,592791.0,jamesontaillon,Taillon,Right,Jameson Taillon,CHC,3.1,3.72,93.0,108.0,87.0,104.0,0.822,7.26,1.74,8.71,1.16,0.81,0.228,0.422,0.149,0.318,0.467,77.0,102.0,102.0,106.0,113.0,113.0,69.0,106.0,96.0,74.0,99.0,89.0,106.0,117.0,121.0,92.0,105.0,99.0,0.079,0.325,0.234,0.168,0.165,0.029,0.37,2.55,-0.39,-0.43,-0.02,-3.72,92.5,86.8,85.9,93.0,80.8,80.0,0.263,0.434,0.128,0.256,0.267,0.187,0.224,0.395,0.315,0.227,0.303,0.227,0.318,0.5,0.13,0.273,0.818,0.087,,,,,,,,,,,,,,,
