,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,CH_ba,CH_slg,CH_whiff,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC,ST_ba,ST_slg,ST_whiff
0,2024-08-02,746193,Strikeout,strikeout,True,596019,542881,Francisco Lindor,Tyler Anderson,0,893073c0-534d-4937-89bb-e99340b51686,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,95.0,82.0,66.0,61.0,77.0,100.0,100.0,97.0,0.036,0.394,0.197,0.003,0.371,-0.42,-0.56,-2.23,-4.22,1.68,89.4,84.1,78.8,88.1,76.7,0.174,0.234,0.389,0.258,0.479,0.179,0.259,0.457,0.245,0.227,0.545,0.163,,,,,,,,,,,,,,,,,,,,,
1,2024-08-02,746193,Single,single,False,607043,542881,Brandon Nimmo,Tyler Anderson,0,43d31574-b30f-462e-a884-89dc6ca35d2b,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,95.0,82.0,66.0,61.0,77.0,100.0,100.0,97.0,0.036,0.394,0.197,0.003,0.371,-0.42,-0.56,-2.23,-4.22,1.68,89.4,84.1,78.8,88.1,76.7,0.174,0.234,0.389,0.258,0.479,0.179,0.259,0.457,0.245,0.227,0.545,0.163,,,,,,,,,,,,,,,,,,,,,
2,2024-08-02,746193,Walk,walk,False,502110,542881,J.D. Martinez,Tyler Anderson,1,b9cc7e60-aac2-407a-b099-6f562a572d27,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,95.0,82.0,66.0,61.0,77.0,100.0,100.0,97.0,0.036,0.394,0.197,0.003,0.371,-0.42,-0.56,-2.23,-4.22,1.68,89.4,84.1,78.8,88.1,76.7,0.174,0.234,0.389,0.258,0.479,0.179,0.259,0.457,0.245,0.227,0.545,0.163,,,,,,,,,,,,,,,,,,,,,
3,2024-08-02,746193,Strikeout,strikeout,True,624413,542881,Pete Alonso,Tyler Anderson,0,0b15d106-dd0e-4eea-a2ea-ca83b6a3c182,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,95.0,82.0,66.0,61.0,77.0,100.0,100.0,97.0,0.036,0.394,0.197,0.003,0.371,-0.42,-0.56,-2.23,-4.22,1.68,89.4,84.1,78.8,88.1,76.7,0.174,0.234,0.389,0.258,0.479,0.179,0.259,0.457,0.245,0.227,0.545,0.163,,,,,,,,,,,,,,,,,,,,,
4,2024-08-02,746193,Strikeout,strikeout,True,668901,542881,Mark Vientos,Tyler Anderson,0,123e6f69-7138-43e8-b684-0985c25e2818,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,95.0,82.0,66.0,61.0,77.0,100.0,100.0,97.0,0.036,0.394,0.197,0.003,0.371,-0.42,-0.56,-2.23,-4.22,1.68,89.4,84.1,78.8,88.1,76.7,0.174,0.234,0.389,0.258,0.479,0.179,0.259,0.457,0.245,0.227,0.545,0.163,,,,,,,,,,,,,,,,,,,,,
5,2024-08-02,746193,Single,single,False,694384,621112,Nolan Schanuel,Paul Blackburn,0,26b3c591-6d8e-4b40-9f18-4d4c9fa2f10f,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.56,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.195,0.22,0.167,0.181,-2.26,-0.17,-4.01,1.38,1.58,91.9,89.1,85.7,91.2,81.3,0.164,0.236,0.339,0.286,0.694,0.125,0.299,0.493,0.244,0.478,0.674,0.095,90.0,107.0,106.0,0.101,2.08,79.4,0.163,0.245,0.284,0.125,0.208,0.25,,,,,,,,,
6,2024-08-02,746193,Strikeout,strikeout,True,650859,621112,Luis Rengifo,Paul Blackburn,0,3f21af8a-c6b1-48ed-9df1-0a77f5c7d132,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.56,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.195,0.22,0.167,0.181,-2.26,-0.17,-4.01,1.38,1.58,91.9,89.1,85.7,91.2,81.3,0.164,0.236,0.339,0.286,0.694,0.125,0.299,0.493,0.244,0.478,0.674,0.095,90.0,107.0,106.0,0.101,2.08,79.4,0.163,0.245,0.284,0.125,0.208,0.25,,,,,,,,,
7,2024-08-02,746193,Walk,walk,False,681351,621112,Logan O'Hoppe,Paul Blackburn,1,6519a087-55b5-45ed-ac37-73da96f56025,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.56,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.195,0.22,0.167,0.181,-2.26,-0.17,-4.01,1.38,1.58,91.9,89.1,85.7,91.2,81.3,0.164,0.236,0.339,0.286,0.694,0.125,0.299,0.493,0.244,0.478,0.674,0.095,90.0,107.0,106.0,0.101,2.08,79.4,0.163,0.245,0.284,0.125,0.208,0.25,,,,,,,,,
8,2024-08-02,746193,Grounded Into DP,grounded_into_double_play,True,641432,621112,Willie Calhoun,Paul Blackburn,1,3f667368-035b-4c47-98af-e717f5c46cb5,621112.0,paulblackburn,Blackburn,Right,Paul Blackburn,- - -,4.66,4.56,75.1,105.0,91.0,100.0,0.79,7.05,2.51,9.08,1.43,1.34,0.193,0.442,0.172,0.24,0.396,83.0,110.0,106.0,74.0,96.0,90.0,69.0,107.0,93.0,116.0,106.0,108.0,105.0,106.0,99.0,0.136,0.195,0.22,0.167,0.181,-2.26,-0.17,-4.01,1.38,1.58,91.9,89.1,85.7,91.2,81.3,0.164,0.236,0.339,0.286,0.694,0.125,0.299,0.493,0.244,0.478,0.674,0.095,90.0,107.0,106.0,0.101,2.08,79.4,0.163,0.245,0.284,0.125,0.208,0.25,,,,,,,,,
9,2024-08-02,746193,Double,double,False,578428,542881,Jose Iglesias,Tyler Anderson,0,a8c2d719-f66b-4b03-b4b9-d07f96191070,542881.0,tyleranderson,Anderson,Left,Tyler Anderson,LAA,3.41,4.2,158.1,100.0,96.0,100.0,0.746,6.93,3.52,7.5,1.08,0.9,0.197,0.503,0.155,0.265,0.4,105.0,101.0,107.0,89.0,101.0,98.0,66.0,95.0,82.0,66.0,61.0,77.0,100.0,100.0,97.0,0.036,0.394,0.197,0.003,0.371,-0.42,-0.56,-2.23,-4.22,1.68,89.4,84.1,78.8,88.1,76.7,0.174,0.234,0.389,0.258,0.479,0.179,0.259,0.457,0.245,0.227,0.545,0.163,,,,,,,,,,,,,,,,,,,,,
