,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,KC%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wKC/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-10-02,775344,Lineout,field_out,True,678009,686613,Parker Meadows,Hunter Brown,0,a48537db-4a32-4993-8b4f-62b9ea9ec76f,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.125,0.126,0.16,0.14,0.92,1.7,-0.79,0.95,96.0,92.4,88.4,95.6,89.1,82.9,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.221,0.26,0.296,0.237,0.421,0.305,0.2,0.2,0.236,,,,,,,,,,,,,,,,,,
1,2024-10-02,775344,Flyout,field_out,True,681481,686613,Kerry Carpenter,Hunter Brown,0,50c26df3-dea6-4d57-b72b-ec64380bcacd,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.125,0.126,0.16,0.14,0.92,1.7,-0.79,0.95,96.0,92.4,88.4,95.6,89.1,82.9,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.221,0.26,0.296,0.237,0.421,0.305,0.2,0.2,0.236,,,,,,,,,,,,,,,,,,
2,2024-10-02,775344,Strikeout,strikeout,True,663837,686613,Matt Vierling,Hunter Brown,0,971e9782-768e-4407-b592-5689e4f83965,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.125,0.126,0.16,0.14,0.92,1.7,-0.79,0.95,96.0,92.4,88.4,95.6,89.1,82.9,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.221,0.26,0.296,0.237,0.421,0.305,0.2,0.2,0.236,,,,,,,,,,,,,,,,,,
3,2024-10-02,775344,Groundout,field_out,True,514888,663947,Jose Altuve,Tyler Holton,0,ad24ac97-486e-441f-a54f-9092024e355a,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,79.0,100.0,91.0,77.0,105.0,97.0,113.0,97.0,105.0,,,,85.0,105.0,101.0,0.216,0.152,0.273,0.155,,0.189,4.5,1.85,2.61,1.73,,0.4,92.1,87.6,83.6,91.5,80.6,,0.105,0.14,0.257,0.156,0.338,0.094,0.194,0.292,0.253,0.25,0.382,0.289,,,,,,,109.0,94.0,100.0,0.015,1.83,79.2,0.13,0.174,0.379,,,,,,,,,
4,2024-10-02,775344,Strikeout,strikeout,True,663656,663947,Kyle Tucker,Tyler Holton,0,78e6d59e-7093-49c8-9be3-121e5d4e074e,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,79.0,100.0,91.0,77.0,105.0,97.0,113.0,97.0,105.0,,,,85.0,105.0,101.0,0.216,0.152,0.273,0.155,,0.189,4.5,1.85,2.61,1.73,,0.4,92.1,87.6,83.6,91.5,80.6,,0.105,0.14,0.257,0.156,0.338,0.094,0.194,0.292,0.253,0.25,0.382,0.289,,,,,,,109.0,94.0,100.0,0.015,1.83,79.2,0.13,0.174,0.379,,,,,,,,,
5,2024-10-02,775344,Groundout,field_out,True,670541,663947,Yordan Alvarez,Tyler Holton,0,2b9af5ed-74f4-4f8b-b7d8-b6b87797dc0f,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.19,2.78,94.1,103.0,83.0,99.0,0.767,7.35,1.62,5.44,0.67,1.3,0.207,0.371,0.172,0.262,0.417,59.0,104.0,101.0,79.0,100.0,91.0,77.0,105.0,97.0,113.0,97.0,105.0,,,,85.0,105.0,101.0,0.216,0.152,0.273,0.155,,0.189,4.5,1.85,2.61,1.73,,0.4,92.1,87.6,83.6,91.5,80.6,,0.105,0.14,0.257,0.156,0.338,0.094,0.194,0.292,0.253,0.25,0.382,0.289,,,,,,,109.0,94.0,100.0,0.015,1.83,79.2,0.13,0.174,0.379,,,,,,,,,
6,2024-10-02,775344,Strikeout,strikeout,True,682985,686613,Riley Greene,Hunter Brown,0,0cb2b55a-0faa-4cae-abc8-dafb81afbb8e,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.125,0.126,0.16,0.14,0.92,1.7,-0.79,0.95,96.0,92.4,88.4,95.6,89.1,82.9,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.221,0.26,0.296,0.237,0.421,0.305,0.2,0.2,0.236,,,,,,,,,,,,,,,,,,
7,2024-10-02,775344,Strikeout,strikeout,True,690993,686613,Colt Keith,Hunter Brown,0,cb8d01be-aa1c-493d-8f9d-f4b68474fdd8,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.125,0.126,0.16,0.14,0.92,1.7,-0.79,0.95,96.0,92.4,88.4,95.6,89.1,82.9,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.221,0.26,0.296,0.237,0.421,0.305,0.2,0.2,0.236,,,,,,,,,,,,,,,,,,
8,2024-10-02,775344,Field Error,field_error,False,679529,686613,Spencer Torkelson,Hunter Brown,0,c390e66b-4719-4572-b42e-2aa01f72cf76,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.125,0.126,0.16,0.14,0.92,1.7,-0.79,0.95,96.0,92.4,88.4,95.6,89.1,82.9,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.221,0.26,0.296,0.237,0.421,0.305,0.2,0.2,0.236,,,,,,,,,,,,,,,,,,
9,2024-10-02,775344,Double,double,False,656716,686613,Zach McKinstry,Hunter Brown,1,3c2782be-f16c-410a-89ce-2cf47e06d70b,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,3.49,3.31,170.0,101.0,103.0,101.0,0.778,9.48,3.18,8.26,0.95,1.61,0.271,0.35,0.192,0.218,0.421,84.0,101.0,102.0,110.0,101.0,102.0,93.0,102.0,98.0,110.0,103.0,107.0,127.0,100.0,106.0,90.0,103.0,101.0,0.182,0.347,0.17,0.051,0.125,0.126,0.16,0.14,0.92,1.7,-0.79,0.95,96.0,92.4,88.4,95.6,89.1,82.9,0.244,0.413,0.288,0.275,0.321,0.161,0.23,0.363,0.216,0.221,0.26,0.296,0.237,0.421,0.305,0.2,0.2,0.236,,,,,,,,,,,,,,,,,,
