,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,wFA/C,wSL/C,vFA,vSL,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,SI%,CH%,wSI/C,wCH/C,vCH,vSI,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-08-22,744894,Strikeout,strikeout,True,621493,621114,Taylor Ward,Ryan Burr,0,eba5bfc2-d066-4f2f-8ee6-cd03a0fae4fe,621114.0,ryanburr,Burr,Right,Ryan Burr,TOR,4.71,4.26,21.0,100.0,96.0,102.0,0.709,12.0,4.29,7.29,0.86,0.77,0.269,0.462,0.135,0.462,0.389,77.0,94.0,92.0,108.0,104.0,108.0,0.369,0.631,-1.49,1.58,94.1,85.4,0.173,0.269,0.361,0.286,0.571,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-08-22,744894,Flyout,field_out,True,687263,621114,Zach Neto,Ryan Burr,0,960a18a1-4201-4577-9bf3-282ac158e1ff,621114.0,ryanburr,Burr,Right,Ryan Burr,TOR,4.71,4.26,21.0,100.0,96.0,102.0,0.709,12.0,4.29,7.29,0.86,0.77,0.269,0.462,0.135,0.462,0.389,77.0,94.0,92.0,108.0,104.0,108.0,0.369,0.631,-1.49,1.58,94.1,85.4,0.173,0.269,0.361,0.286,0.571,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-08-22,744894,Single,single,False,694384,621114,Nolan Schanuel,Ryan Burr,0,362f246e-954c-405d-8463-1d430225b3b1,621114.0,ryanburr,Burr,Right,Ryan Burr,TOR,4.71,4.26,21.0,100.0,96.0,102.0,0.709,12.0,4.29,7.29,0.86,0.77,0.269,0.462,0.135,0.462,0.389,77.0,94.0,92.0,108.0,104.0,108.0,0.369,0.631,-1.49,1.58,94.1,85.4,0.173,0.269,0.361,0.286,0.571,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-08-22,744894,Walk,walk,False,543685,621114,Anthony Rendon,Ryan Burr,1,cd042aca-12f3-4e3a-b534-dc5e43282041,621114.0,ryanburr,Burr,Right,Ryan Burr,TOR,4.71,4.26,21.0,100.0,96.0,102.0,0.709,12.0,4.29,7.29,0.86,0.77,0.269,0.462,0.135,0.462,0.389,77.0,94.0,92.0,108.0,104.0,108.0,0.369,0.631,-1.49,1.58,94.1,85.4,0.173,0.269,0.361,0.286,0.571,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-08-22,744894,Strikeout,strikeout,True,666160,621114,Mickey Moniak,Ryan Burr,0,e1d74970-b004-4c23-bce3-5c4fdd039642,621114.0,ryanburr,Burr,Right,Ryan Burr,TOR,4.71,4.26,21.0,100.0,96.0,102.0,0.709,12.0,4.29,7.29,0.86,0.77,0.269,0.462,0.135,0.462,0.389,77.0,94.0,92.0,108.0,104.0,108.0,0.369,0.631,-1.49,1.58,94.1,85.4,0.173,0.269,0.361,0.286,0.571,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2024-08-22,744894,Strikeout,strikeout,True,543807,656271,George Springer,Brock Burke,0,0b90a44e-84c6-4418-a4c3-f4f1fd99d8ab,656271.0,brockburke,Burke,Left,Brock Burke,- - -,7.17,3.22,21.1,99.0,93.0,98.0,0.722,12.23,4.64,10.13,1.27,1.33,0.246,0.316,0.193,0.298,0.455,97.0,99.0,97.0,79.0,95.0,94.0,0.53,0.262,-2.23,-0.87,95.4,87.0,0.294,0.353,0.349,0.293,0.634,0.226,101.0,106.0,107.0,93.0,103.0,99.0,0.054,0.154,-0.36,2.79,88.9,93.8,0.238,0.286,0.432,0.333,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-08-22,744894,Groundout,field_out,True,662139,656271,Daulton Varsho,Brock Burke,0,dea338f0-1569-4aea-86f8-397d767efb5a,656271.0,brockburke,Burke,Left,Brock Burke,- - -,7.17,3.22,21.1,99.0,93.0,98.0,0.722,12.23,4.64,10.13,1.27,1.33,0.246,0.316,0.193,0.298,0.455,97.0,99.0,97.0,79.0,95.0,94.0,0.53,0.262,-2.23,-0.87,95.4,87.0,0.294,0.353,0.349,0.293,0.634,0.226,101.0,106.0,107.0,93.0,103.0,99.0,0.054,0.154,-0.36,2.79,88.9,93.8,0.238,0.286,0.432,0.333,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-08-22,744894,Flyout,field_out,True,665489,656271,Vladimir Guerrero Jr.,Brock Burke,0,421c4888-44f0-4ff9-bceb-9835ca205bbf,656271.0,brockburke,Burke,Left,Brock Burke,- - -,7.17,3.22,21.1,99.0,93.0,98.0,0.722,12.23,4.64,10.13,1.27,1.33,0.246,0.316,0.193,0.298,0.455,97.0,99.0,97.0,79.0,95.0,94.0,0.53,0.262,-2.23,-0.87,95.4,87.0,0.294,0.353,0.349,0.293,0.634,0.226,101.0,106.0,107.0,93.0,103.0,99.0,0.054,0.154,-0.36,2.79,88.9,93.8,0.238,0.286,0.432,0.333,0.5,0.333,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-08-22,744894,Single,single,False,666176,621114,Jo Adell,Ryan Burr,0,656358a4-b72e-48fc-8e14-f630a3a24c09,621114.0,ryanburr,Burr,Right,Ryan Burr,TOR,4.71,4.26,21.0,100.0,96.0,102.0,0.709,12.0,4.29,7.29,0.86,0.77,0.269,0.462,0.135,0.462,0.389,77.0,94.0,92.0,108.0,104.0,108.0,0.369,0.631,-1.49,1.58,94.1,85.4,0.173,0.269,0.361,0.286,0.571,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-08-22,744894,Lineout,field_out,True,642136,642232,Matt Thaiss,Ryan Yarbrough,0,f1ab4637-68ec-4d15-abc4-1ef7c8c473e8,642232.0,ryanyarbrough,Yarbrough,Left,Ryan Yarbrough,- - -,3.54,4.41,81.1,100.0,81.0,95.0,0.801,5.53,3.21,6.75,1.11,1.0,0.255,0.417,0.174,0.251,0.438,83.0,101.0,93.0,,,,0.206,,0.98,,86.5,,,,,0.196,0.348,0.168,73.0,105.0,87.0,65.0,100.0,91.0,0.247,0.154,1.94,0.11,77.3,85.9,0.261,0.37,0.225,0.222,0.333,0.09,95.0,103.0,113.0,96.0,82.0,76.0,0.112,0.28,-4.77,1.21,83.7,71.2,0.133,0.256,0.328,0.421,0.789,0.204,,,,,,
