,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FC,Loc+ FC,Pit+ FC,FC%,CU%,wFC/C,wCU/C,vFC,vCU,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff
10,2024-04-12,746084,Strikeout,strikeout,True,594807,669432,Adam Duvall,Trevor Rogers,0,554efe81-3b9d-45d6-a0a9-c763777816c1,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
11,2024-04-12,746084,Strikeout,strikeout,True,671739,669432,Michael Harris II,Trevor Rogers,0,2227d7a2-7d4e-47f7-842c-c259786f7581,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
12,2024-04-12,746084,Groundout,field_out,True,606115,669432,Orlando Arcia,Trevor Rogers,0,7e443540-25c3-488d-b37f-8124fe135a11,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
13,2024-04-12,746084,Strikeout,strikeout,True,541645,608331,Avisaíl García,Max Fried,0,079d467e-c259-4e19-acfa-1cca650e08b5,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
14,2024-04-12,746084,Groundout,field_out,True,656896,608331,Emmanuel Rivera,Max Fried,0,5319860a-f986-46ab-9d6b-f5dedcf31ef9,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
15,2024-04-12,746084,Groundout,field_out,True,663743,608331,Nick Fortes,Max Fried,0,03eb3595-7271-4db9-955f-be3de982f5ec,608331.0,maxfried,Fried,Left,Max Fried,ATL,3.08,3.72,108.0,98.0,96.0,99.0,0.781,7.92,2.83,7.58,0.75,2.57,0.267,0.397,0.176,0.241,0.414,95.0,102.0,103.0,83.0,94.0,94.0,97.0,98.0,97.0,97.0,96.0,95.0,0.162,0.311,0.119,0.145,0.76,1.8,0.7,1.72,93.8,86.1,93.7,82.7,0.287,0.369,0.2,0.231,0.256,0.165,0.186,0.271,0.24,0.25,0.25,0.296,110.0,102.0,106.0,88.0,93.0,92.0,0.055,0.208,-0.23,0.93,89.3,74.4,0.158,0.329,0.313,0.308,0.308,0.313
16,2024-04-12,746084,Double,double,False,518595,669432,Travis d'Arnaud,Trevor Rogers,0,b4a8b8c7-5b93-4f2e-b8bd-d3db1eed8ffb,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
17,2024-04-12,746084,Single,single,False,660670,669432,Ronald Acuña Jr.,Trevor Rogers,1,08348b67-934b-4d10-8e8d-4c579bd7f659,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
18,2024-04-12,746084,Fielders Choice Out,fielders_choice_out,True,645277,669432,Ozzie Albies,Trevor Rogers,1,120c09f2-e1f8-4834-a9a1-b3700d38ed08,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
19,2024-04-12,746084,Pop Out,field_out,True,663586,669432,Austin Riley,Trevor Rogers,0,da104925-73e7-4a53-bd2d-34f5190a1891,669432.0,trevorrogers,"Rogers, Tr",Left,Trevor Rogers,MIA,4.72,4.89,95.1,99.0,85.0,97.0,0.797,7.46,4.15,9.82,1.04,1.43,0.22,0.414,0.132,0.336,0.39,115.0,108.0,117.0,69.0,100.0,93.0,87.0,96.0,91.0,73.0,89.0,89.0,0.231,0.325,0.21,0.233,-0.74,0.22,-1.71,-0.95,92.1,85.8,91.6,82.5,0.261,0.486,0.23,0.27,0.45,0.119,0.299,0.393,0.251,0.262,0.475,0.288,,,,,,,,,,,,,,,,,,
