,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,SL%,CH%,wFC/C,wSI/C,wSL/C,wCH/C,vFC,vCH,vSI,vSL,SI_ba,SI_slg,SI_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,FA%,CU%,wFA/C,wCU/C,vFA,vCU,FF_ba,FF_slg,FF_whiff,CU_ba,CU_slg,CU_whiff,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-06-17,745567,Groundout,field_out,True,650333,650911,Luis Arraez,Cristopher Sánchez,0,17b4e61a-d761-423a-8af8-a57c6ce9b4c9,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.343,0.436,0.1,0.166,0.185,0.385,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-06-17,745567,Lineout,field_out,True,665487,650911,Fernando Tatis Jr.,Cristopher Sánchez,0,04a266e2-066a-45ff-b794-9ab7f8971212,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.343,0.436,0.1,0.166,0.185,0.385,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-06-17,745567,Flyout,field_out,True,595777,650911,Jurickson Profar,Cristopher Sánchez,0,d784df08-8877-4da1-bb8f-be3b42940e6c,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.343,0.436,0.1,0.166,0.185,0.385,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-06-17,745567,Walk,walk,False,656941,681190,Kyle Schwarber,Randy Vásquez,0,8938c25c-2aad-4433-b64f-47695ff858cd,681190.0,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.57,6.3,63.0,102.0,107.0,100.0,0.833,6.14,2.14,11.86,1.57,1.12,0.177,0.4,0.186,0.335,0.429,98.0,100.0,98.0,103.0,102.0,96.0,138.0,99.0,108.0,104.0,99.0,94.0,0.146,0.106,0.104,0.128,1.09,-2.74,-1.05,-4.57,90.2,88.5,94.2,82.5,0.423,0.615,0.115,0.405,0.73,0.118,0.276,0.483,0.25,127.0,103.0,106.0,92.0,103.0,99.0,0.319,0.196,-0.51,0.58,94.3,82.3,0.319,0.493,0.227,0.186,0.349,0.237,0.308,0.423,0.197,,,,,,,,,,,,,,,
4,2024-06-17,745567,Pop Out,field_out,True,607208,681190,Trea Turner,Randy Vásquez,0,416202b9-3104-470a-b646-5e9cc97f8b33,681190.0,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.57,6.3,63.0,102.0,107.0,100.0,0.833,6.14,2.14,11.86,1.57,1.12,0.177,0.4,0.186,0.335,0.429,98.0,100.0,98.0,103.0,102.0,96.0,138.0,99.0,108.0,104.0,99.0,94.0,0.146,0.106,0.104,0.128,1.09,-2.74,-1.05,-4.57,90.2,88.5,94.2,82.5,0.423,0.615,0.115,0.405,0.73,0.118,0.276,0.483,0.25,127.0,103.0,106.0,92.0,103.0,99.0,0.319,0.196,-0.51,0.58,94.3,82.3,0.319,0.493,0.227,0.186,0.349,0.237,0.308,0.423,0.197,,,,,,,,,,,,,,,
5,2024-06-17,745567,Flyout,field_out,True,547180,681190,Bryce Harper,Randy Vásquez,0,6ea8f47e-3c0c-4d23-96f3-f66757f54422,681190.0,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.57,6.3,63.0,102.0,107.0,100.0,0.833,6.14,2.14,11.86,1.57,1.12,0.177,0.4,0.186,0.335,0.429,98.0,100.0,98.0,103.0,102.0,96.0,138.0,99.0,108.0,104.0,99.0,94.0,0.146,0.106,0.104,0.128,1.09,-2.74,-1.05,-4.57,90.2,88.5,94.2,82.5,0.423,0.615,0.115,0.405,0.73,0.118,0.276,0.483,0.25,127.0,103.0,106.0,92.0,103.0,99.0,0.319,0.196,-0.51,0.58,94.3,82.3,0.319,0.493,0.227,0.186,0.349,0.237,0.308,0.423,0.197,,,,,,,,,,,,,,,
6,2024-06-17,745567,Caught Stealing 2B,caught_stealing_2b,True,664761,681190,Alec Bohm,Randy Vásquez,0,104e02d2-f12c-4ea1-b17d-494dd82a509d,681190.0,randyvasquez,"Vásquez, R",Right,Randy Vásquez,SDP,4.57,6.3,63.0,102.0,107.0,100.0,0.833,6.14,2.14,11.86,1.57,1.12,0.177,0.4,0.186,0.335,0.429,98.0,100.0,98.0,103.0,102.0,96.0,138.0,99.0,108.0,104.0,99.0,94.0,0.146,0.106,0.104,0.128,1.09,-2.74,-1.05,-4.57,90.2,88.5,94.2,82.5,0.423,0.615,0.115,0.405,0.73,0.118,0.276,0.483,0.25,127.0,103.0,106.0,92.0,103.0,99.0,0.319,0.196,-0.51,0.58,94.3,82.3,0.319,0.493,0.227,0.186,0.349,0.237,0.308,0.423,0.197,,,,,,,,,,,,,,,
7,2024-06-17,745567,Single,single,False,592518,650911,Manny Machado,Cristopher Sánchez,0,c8b2e4f3-e297-4bf1-9dc1-94672ba43b56,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.343,0.436,0.1,0.166,0.185,0.385,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-06-17,745567,Grounded Into DP,grounded_into_double_play,True,456781,650911,Donovan Solano,Cristopher Sánchez,1,881e6a11-7a18-4a09-84d4-56aaf5199232,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.343,0.436,0.1,0.166,0.185,0.385,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-06-17,745567,Groundout,field_out,True,630105,650911,Jake Cronenworth,Cristopher Sánchez,0,d6bafa33-0f92-488e-aeb7-b60a76e363c7,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,98.0,99.0,98.0,95.0,100.0,104.0,86.0,52.0,74.0,0.477,0.002,0.184,0.337,2.59,-0.18,1.12,2.05,86.5,85.2,94.4,84.1,0.343,0.436,0.1,0.166,0.185,0.385,0.217,0.319,0.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
