,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,vKN (sc),Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FC%,FS%,KC%,KN%,wFC/C,wFS/C,wSI/C,wKC/C,wKN/C,vFC,vFS,vSI,vKC,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,SV_ba,SV_slg,SV_whiff
0,2024-09-25,746331,Strikeout,strikeout,True,645302,579328,Victor Robles,Yusei Kikuchi,0,1d18193b-da2a-4bbf-9a1f-efd066ce2343,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.75,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.364,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,111.0,100.0,106.0,0.471,0.235,0.183,0.111,-0.08,1.31,0.02,-0.15,95.5,86.7,88.3,82.4,0.274,0.505,0.28,0.21,0.28,0.297,0.264,0.395,0.274,0.194,0.25,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-09-25,746331,Groundout,field_out,True,677594,579328,Julio Rodríguez,Yusei Kikuchi,0,e69b3325-c8fd-4e10-b6dc-5de74e69e270,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.75,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.364,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,111.0,100.0,106.0,0.471,0.235,0.183,0.111,-0.08,1.31,0.02,-0.15,95.5,86.7,88.3,82.4,0.274,0.505,0.28,0.21,0.28,0.297,0.264,0.395,0.274,0.194,0.25,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-09-25,746331,Flyout,field_out,True,663728,579328,Cal Raleigh,Yusei Kikuchi,0,84911b0f-a47e-4aa5-aced-b9277ea1dba3,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.75,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.364,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,111.0,100.0,106.0,0.471,0.235,0.183,0.111,-0.08,1.31,0.02,-0.15,95.5,86.7,88.3,82.4,0.274,0.505,0.28,0.21,0.28,0.297,0.264,0.395,0.274,0.194,0.25,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-09-25,746331,Groundout,field_out,True,608324,669923,Alex Bregman,George Kirby,0,1d12190a-b517-4d5f-9ce6-643d56e428b4,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.39,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.289,0.446,,,,,,,102.0,107.0,101.0,110.0,104.0,110.0,0.339,0.237,,,0.46,1.28,,,96.0,,87.2,,0.221,0.458,0.291,0.226,0.316,0.264,0.333,0.439,0.286,,,,73.9,106.0,108.0,108.0,114.0,110.0,113.0,97.0,99.0,93.0,109.0,100.0,108.0,0.236,0.004,0.102,0.082,0.0,0.79,-2.05,1.5,-1.95,-3.5,92.3,86.0,96.0,83.4,0.263,0.354,0.105,0.253,0.413,0.295,,,,,,,,,
4,2024-09-25,746331,Hit By Pitch,hit_by_pitch,False,665161,669923,Jeremy Peña,George Kirby,0,ca3ba7db-3af3-4d02-b26d-4897eeb6b3cc,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.39,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.289,0.446,,,,,,,102.0,107.0,101.0,110.0,104.0,110.0,0.339,0.237,,,0.46,1.28,,,96.0,,87.2,,0.221,0.458,0.291,0.226,0.316,0.264,0.333,0.439,0.286,,,,73.9,106.0,108.0,108.0,114.0,110.0,113.0,97.0,99.0,93.0,109.0,100.0,108.0,0.236,0.004,0.102,0.082,0.0,0.79,-2.05,1.5,-1.95,-3.5,92.3,86.0,96.0,83.4,0.263,0.354,0.105,0.253,0.413,0.295,,,,,,,,,
5,2024-09-25,746331,Strikeout,strikeout,True,673237,669923,Yainer Diaz,George Kirby,0,2c7d726f-0df1-4e7d-b1b3-2b9475b79ba0,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.39,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.289,0.446,,,,,,,102.0,107.0,101.0,110.0,104.0,110.0,0.339,0.237,,,0.46,1.28,,,96.0,,87.2,,0.221,0.458,0.291,0.226,0.316,0.264,0.333,0.439,0.286,,,,73.9,106.0,108.0,108.0,114.0,110.0,113.0,97.0,99.0,93.0,109.0,100.0,108.0,0.236,0.004,0.102,0.082,0.0,0.79,-2.05,1.5,-1.95,-3.5,92.3,86.0,96.0,83.4,0.263,0.354,0.105,0.253,0.413,0.295,,,,,,,,,
6,2024-09-25,746331,Walk,walk,False,572138,669923,Jon Singleton,George Kirby,1,df969e60-9904-49e5-baa3-a835ebaf66c2,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.39,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.289,0.446,,,,,,,102.0,107.0,101.0,110.0,104.0,110.0,0.339,0.237,,,0.46,1.28,,,96.0,,87.2,,0.221,0.458,0.291,0.226,0.316,0.264,0.333,0.439,0.286,,,,73.9,106.0,108.0,108.0,114.0,110.0,113.0,97.0,99.0,93.0,109.0,100.0,108.0,0.236,0.004,0.102,0.082,0.0,0.79,-2.05,1.5,-1.95,-3.5,92.3,86.0,96.0,83.4,0.263,0.354,0.105,0.253,0.413,0.295,,,,,,,,,
7,2024-09-25,746331,Strikeout,strikeout,True,605170,669923,Victor Caratini,George Kirby,0,7b3b3d4e-15a5-473f-b8a0-c521940dab62,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.53,3.39,191.0,106.0,106.0,106.0,0.786,8.43,1.08,8.53,1.04,1.01,0.298,0.342,0.178,0.289,0.446,,,,,,,102.0,107.0,101.0,110.0,104.0,110.0,0.339,0.237,,,0.46,1.28,,,96.0,,87.2,,0.221,0.458,0.291,0.226,0.316,0.264,0.333,0.439,0.286,,,,73.9,106.0,108.0,108.0,114.0,110.0,113.0,97.0,99.0,93.0,109.0,100.0,108.0,0.236,0.004,0.102,0.082,0.0,0.79,-2.05,1.5,-1.95,-3.5,92.3,86.0,96.0,83.4,0.263,0.354,0.105,0.253,0.413,0.295,,,,,,,,,
8,2024-09-25,746331,Strikeout,strikeout,True,668227,579328,Randy Arozarena,Yusei Kikuchi,0,46185aa4-fa0e-4078-90d6-d341b5ab3fcf,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.75,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.364,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,111.0,100.0,106.0,0.471,0.235,0.183,0.111,-0.08,1.31,0.02,-0.15,95.5,86.7,88.3,82.4,0.274,0.505,0.28,0.21,0.28,0.297,0.264,0.395,0.274,0.194,0.25,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-09-25,746331,Flyout,field_out,True,457759,579328,Justin Turner,Yusei Kikuchi,0,d8c1ca76-70e6-4479-ab57-fe50d5794ade,579328.0,yuseikikuchi,Kikuchi,Left,Yusei Kikuchi,- - -,4.05,3.75,175.2,101.0,109.0,105.0,0.734,10.55,2.25,8.56,1.28,1.1,0.273,0.405,0.136,0.364,0.443,99.0,93.0,91.0,99.0,105.0,105.0,114.0,103.0,107.0,111.0,100.0,106.0,0.471,0.235,0.183,0.111,-0.08,1.31,0.02,-0.15,95.5,86.7,88.3,82.4,0.274,0.505,0.28,0.21,0.28,0.297,0.264,0.395,0.274,0.194,0.25,0.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
