,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,FA%,SL%,CU%,CH%,wFA/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,SV_ba,SV_slg,SV_whiff,SL_ba,SL_slg,SL_whiff,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,wFC/C,wSI/C,vFC,vSI,SI_ba,SI_slg,SI_whiff,CU_ba,CU_slg,CU_whiff
45,2024-05-29,745333,Strikeout,strikeout,True,682641,650911,Luis Matos,Cristopher Sánchez,0,2d9c51cc-b2bb-4d1f-9cc6-30edd70399b3,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.166,0.185,0.385,,,,0.217,0.319,0.292,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,2.59,-0.18,86.5,94.4,0.343,0.436,0.1,,,
46,2024-05-29,745333,Groundout,field_out,True,689172,650911,Brett Wisely,Cristopher Sánchez,0,eeee28ff-d002-473b-97cb-f8e6cd65dfd0,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.166,0.185,0.385,,,,0.217,0.319,0.292,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,2.59,-0.18,86.5,94.4,0.343,0.436,0.1,,,
47,2024-05-29,745333,Strikeout,strikeout,True,642731,650911,Thairo Estrada,Cristopher Sánchez,0,80985c59-42d8-4183-b503-597f1e6c9b3c,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.166,0.185,0.385,,,,0.217,0.319,0.292,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,2.59,-0.18,86.5,94.4,0.343,0.436,0.1,,,
48,2024-05-29,745333,Strikeout,strikeout,True,656941,592426,Kyle Schwarber,Luke Jackson,0,d4d4f6ef-7081-45eb-ba7d-b7484fa0b6fb,592426.0,lukejackson,Jackson,Right,Luke Jackson,SFG,5.79,5.12,32.2,93.0,126.0,107.0,0.749,7.71,4.13,9.64,1.38,1.69,0.18,0.43,0.15,0.3,0.393,,,,133.0,106.0,115.0,99.0,96.0,97.0,138.0,91.0,111.0,0.313,0.569,0.111,,-0.65,-0.35,-0.61,,94.7,,87.2,84.2,0.25,0.406,0.265,,,,,,,0.286,0.455,0.255,,,,97.0,75.0,81.0,,0.007,-1.69,,90.8,,,,,0.294,0.471,0.258
49,2024-05-29,745333,Strikeout,strikeout,True,624641,592426,Edmundo Sosa,Luke Jackson,0,586aa253-5a12-42bd-9990-71e18446d3c8,592426.0,lukejackson,Jackson,Right,Luke Jackson,SFG,5.79,5.12,32.2,93.0,126.0,107.0,0.749,7.71,4.13,9.64,1.38,1.69,0.18,0.43,0.15,0.3,0.393,,,,133.0,106.0,115.0,99.0,96.0,97.0,138.0,91.0,111.0,0.313,0.569,0.111,,-0.65,-0.35,-0.61,,94.7,,87.2,84.2,0.25,0.406,0.265,,,,,,,0.286,0.455,0.255,,,,97.0,75.0,81.0,,0.007,-1.69,,90.8,,,,,0.294,0.471,0.258
50,2024-05-29,745333,Strikeout,strikeout,True,547180,592426,Bryce Harper,Luke Jackson,0,33472ada-71bd-4005-b3fb-f0951cadd27a,592426.0,lukejackson,Jackson,Right,Luke Jackson,SFG,5.79,5.12,32.2,93.0,126.0,107.0,0.749,7.71,4.13,9.64,1.38,1.69,0.18,0.43,0.15,0.3,0.393,,,,133.0,106.0,115.0,99.0,96.0,97.0,138.0,91.0,111.0,0.313,0.569,0.111,,-0.65,-0.35,-0.61,,94.7,,87.2,84.2,0.25,0.406,0.265,,,,,,,0.286,0.455,0.255,,,,97.0,75.0,81.0,,0.007,-1.69,,90.8,,,,,0.294,0.471,0.258
51,2024-05-29,745333,Lineout,field_out,True,656305,650911,Matt Chapman,Cristopher Sánchez,0,502ae014-27c7-4bdc-bc29-73811a900dd5,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.166,0.185,0.385,,,,0.217,0.319,0.292,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,2.59,-0.18,86.5,94.4,0.343,0.436,0.1,,,
52,2024-05-29,745333,Groundout,field_out,True,527038,650911,Wilmer Flores,Cristopher Sánchez,0,7e5793c3-b648-481d-a36e-427f4e5a202b,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.166,0.185,0.385,,,,0.217,0.319,0.292,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,2.59,-0.18,86.5,94.4,0.343,0.436,0.1,,,
53,2024-05-29,745333,Groundout,field_out,True,624585,650911,Jorge Soler,Cristopher Sánchez,0,94c6c369-8d59-4f63-bef3-d5921fe14e86,650911.0,cristophersanchez,"Sánchez, C",Left,Cristopher Sánchez,PHI,2.96,3.49,103.1,101.0,93.0,105.0,0.783,7.58,2.44,8.62,0.17,3.23,0.218,0.41,0.205,0.303,0.415,84.0,104.0,113.0,,,,,,,95.0,100.0,104.0,,0.184,,0.337,,1.12,,2.05,,85.2,84.1,,,,,0.166,0.185,0.385,,,,0.217,0.319,0.292,98.0,99.0,98.0,86.0,52.0,74.0,0.477,0.002,2.59,-0.18,86.5,94.4,0.343,0.436,0.1,,,
54,2024-05-29,745333,Groundout,field_out,True,664761,592426,Alec Bohm,Luke Jackson,0,e8be6a3d-8f68-4842-bbf6-ab56b923abbf,592426.0,lukejackson,Jackson,Right,Luke Jackson,SFG,5.79,5.12,32.2,93.0,126.0,107.0,0.749,7.71,4.13,9.64,1.38,1.69,0.18,0.43,0.15,0.3,0.393,,,,133.0,106.0,115.0,99.0,96.0,97.0,138.0,91.0,111.0,0.313,0.569,0.111,,-0.65,-0.35,-0.61,,94.7,,87.2,84.2,0.25,0.406,0.265,,,,,,,0.286,0.455,0.255,,,,97.0,75.0,81.0,,0.007,-1.69,,90.8,,,,,0.294,0.471,0.258
