,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CU%,CH%,wFA/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vCH,vSI,vSL,vCU,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,FC%,FS%,wFC/C,wFS/C,vFC,vFS,FC_ba,FC_slg,FC_whiff,FS_ba,FS_slg,FS_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-04-19,746325,Hit By Pitch,hit_by_pitch,False,683002,679525,Gunnar Henderson,Alec Marsh,0,3bbdb3a3-6bd6-47d4-8486-761a02b2fc90,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.35,0.617,0.096,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-19,746325,Single,single,False,668939,679525,Adley Rutschman,Alec Marsh,1,4a6df207-a0c7-46a3-9ea7-2fdde60b61fc,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.35,0.617,0.096,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-19,746325,Groundout,field_out,True,656811,679525,Ryan O'Hearn,Alec Marsh,1,977b7c8e-e62b-4e5f-b1aa-c9836ce1fd3d,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.35,0.617,0.096,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-19,746325,Flyout,field_out,True,623993,679525,Anthony Santander,Alec Marsh,1,6c94a556-92f7-4742-aed3-e66f82e93a48,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.35,0.617,0.096,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-04-19,746325,Strikeout,strikeout,True,672580,665152,Maikel Garcia,Dean Kremer,0,362aed20-a22f-4209-be71-34964d1e18b1,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,,,,0.123,0.339,,0.112,,-0.75,0.94,,-0.21,,93.4,,92.0,,77.4,0.247,0.644,0.242,0.211,0.342,0.061,,,,0.211,0.263,0.243,,,,99.0,104.0,100.0,73.0,92.0,91.0,0.273,0.153,0.88,0.0,86.9,83.9,0.23,0.338,0.245,0.114,0.229,0.364,,,,,,
5,2024-04-19,746325,Groundout,field_out,True,677951,665152,Bobby Witt Jr.,Dean Kremer,0,920b4c4c-c88d-4e47-bf0c-c19d593ba104,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,,,,0.123,0.339,,0.112,,-0.75,0.94,,-0.21,,93.4,,92.0,,77.4,0.247,0.644,0.242,0.211,0.342,0.061,,,,0.211,0.263,0.243,,,,99.0,104.0,100.0,73.0,92.0,91.0,0.273,0.153,0.88,0.0,86.9,83.9,0.23,0.338,0.245,0.114,0.229,0.364,,,,,,
6,2024-04-19,746325,Pop Out,field_out,True,686469,665152,Vinnie Pasquantino,Dean Kremer,0,08c65b9d-4f4e-4e78-a142-85353b5b108a,665152.0,deankremer,Kremer,Right,Dean Kremer,BAL,4.38,5.36,63.2,101.0,88.0,98.0,0.793,9.05,3.53,7.21,1.84,0.89,0.25,0.389,0.244,0.322,0.411,,,,83.0,101.0,98.0,92.0,101.0,101.0,81.0,103.0,97.0,,,,0.123,0.339,,0.112,,-0.75,0.94,,-0.21,,93.4,,92.0,,77.4,0.247,0.644,0.242,0.211,0.342,0.061,,,,0.211,0.263,0.243,,,,99.0,104.0,100.0,73.0,92.0,91.0,0.273,0.153,0.88,0.0,86.9,83.9,0.23,0.338,0.245,0.114,0.229,0.364,,,,,,
7,2024-04-19,746325,Strikeout,strikeout,True,663624,679525,Ryan Mountcastle,Alec Marsh,0,b28cbc8e-a848-4b92-a0cb-4efbfb2ae522,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.35,0.617,0.096,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-19,746325,Groundout,field_out,True,656775,679525,Cedric Mullins,Alec Marsh,0,5440e7c0-264a-43fd-96df-96e834a2cb06,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.35,0.617,0.096,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-19,746325,Strikeout,strikeout,True,681297,679525,Colton Cowser,Alec Marsh,0,166dd114-13d0-457e-985d-65ec9e4604da,679525.0,alecmarsh,Marsh,Right,Alec Marsh,KCR,4.52,4.96,91.2,100.0,100.0,100.0,0.797,8.25,2.85,8.25,1.28,0.84,0.248,0.391,0.169,0.353,0.438,93.0,96.0,97.0,98.0,106.0,104.0,91.0,100.0,96.0,99.0,98.0,95.0,121.0,98.0,106.0,0.139,0.376,0.221,0.156,0.108,0.97,-2.75,0.02,-1.25,1.03,94.2,86.5,93.5,86.4,82.9,0.191,0.327,0.231,0.35,0.617,0.096,0.118,0.118,0.355,0.268,0.482,0.275,0.189,0.216,0.163,,,,,,,,,,,,,,,,,,,,,,,,
