,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,KC%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wKC/C,vFA,vFC,vFS,vSI,vSL,vKC,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,CU%,CH%,wCU/C,wCH/C,vCH,vCU,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff
0,2024-07-07,745233,Lineout,field_out,True,543807,669923,George Springer,George Kirby,0,e9947431-e227-4901-b139-938fafafc5c8,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
1,2024-07-07,745233,Single,single,False,687462,669923,Spencer Horwitz,George Kirby,0,3cadc59a-b92a-45fc-9391-b47ecd94fb44,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
2,2024-07-07,745233,Single,single,False,665489,669923,Vladimir Guerrero Jr.,George Kirby,1,288b0969-e402-4b38-b40b-419830c995c3,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
3,2024-07-07,745233,Strikeout,strikeout,True,457759,669923,Justin Turner,George Kirby,0,e2b0b5da-f13d-4d59-ac12-78667d7eaefd,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
4,2024-07-07,745233,Walk,walk,False,666182,669923,Bo Bichette,George Kirby,1,caa45a7f-83fe-41d2-8889-923445a6cdb7,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
5,2024-07-07,745233,Flyout,field_out,True,662139,669923,Daulton Varsho,George Kirby,0,961cdc61-54f4-4719-a530-a23a17d8572e,669923.0,georgekirby,Kirby,Right,George Kirby,SEA,3.29,3.29,117.2,106.0,107.0,106.0,0.781,8.87,0.99,7.95,0.84,1.0,0.282,0.35,0.208,0.258,0.434,103.0,107.0,102.0,105.0,110.0,108.0,112.0,102.0,109.0,121.0,111.0,115.0,97.0,99.0,93.0,112.0,99.0,109.0,0.225,0.36,0.006,0.106,0.228,0.075,1.58,0.82,-0.43,1.79,0.55,-2.88,95.8,92.3,85.7,95.8,87.1,83.1,0.196,0.35,0.304,0.256,0.35,0.097,0.253,0.391,0.28,0.2,0.32,0.288,0.333,0.5,0.323,,,,,,,,,,,,,,,,,,,,,
6,2024-07-07,745233,Strikeout,strikeout,True,641487,621244,J.P. Crawford,José Berríos,0,2223436c-949c-430c-b588-d7b9233e818c,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,82.0,100.0,92.0,85.0,102.0,95.0,,,,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,,-1.98,-2.81,,0.53,,,94.0,91.7,,93.5,,,0.333,0.648,0.183,0.288,0.378,0.124,,,,,,,,,,89.0,103.0,101.0,107.0,101.0,105.0,0.301,0.163,0.16,1.45,84.5,83.0,0.202,0.403,0.286,0.153,0.376,0.241,0.375,0.438,0.03
7,2024-07-07,745233,Single,single,False,641598,621244,Mitch Garver,José Berríos,0,915e4d52-67de-4426-a7b4-437b5337aef7,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,82.0,100.0,92.0,85.0,102.0,95.0,,,,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,,-1.98,-2.81,,0.53,,,94.0,91.7,,93.5,,,0.333,0.648,0.183,0.288,0.378,0.124,,,,,,,,,,89.0,103.0,101.0,107.0,101.0,105.0,0.301,0.163,0.16,1.45,84.5,83.0,0.202,0.403,0.286,0.153,0.376,0.241,0.375,0.438,0.03
8,2024-07-07,745233,Strikeout,strikeout,True,663728,621244,Cal Raleigh,José Berríos,0,04d33d43-a266-49d3-9624-9f33a594b132,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,82.0,100.0,92.0,85.0,102.0,95.0,,,,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,,-1.98,-2.81,,0.53,,,94.0,91.7,,93.5,,,0.333,0.648,0.183,0.288,0.378,0.124,,,,,,,,,,89.0,103.0,101.0,107.0,101.0,105.0,0.301,0.163,0.16,1.45,84.5,83.0,0.202,0.403,0.286,0.153,0.376,0.241,0.375,0.438,0.03
9,2024-07-07,745233,Strikeout,strikeout,True,670042,621244,Luke Raley,José Berríos,0,027a3b73-f54d-434f-a9df-2e202c956d47,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,82.0,100.0,92.0,85.0,102.0,95.0,,,,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,,-1.98,-2.81,,0.53,,,94.0,91.7,,93.5,,,0.333,0.648,0.183,0.288,0.378,0.124,,,,,,,,,,89.0,103.0,101.0,107.0,101.0,105.0,0.301,0.163,0.16,1.45,84.5,83.0,0.202,0.403,0.286,0.153,0.376,0.241,0.375,0.438,0.03
