,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FC_ba,FC_slg,FC_whiff,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
0,2024-07-20,744994,Groundout,field_out,True,683002,453286,Gunnar Henderson,Max Scherzer,0,3e077183-7a06-4315-9c20-9411500ef9ab,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,TEX,2.96,2.99,27.1,108.0,86.0,104.0,0.779,7.57,1.32,7.57,1.65,0.59,0.291,0.443,0.228,0.253,0.438,64.0,120.0,109.0,75.0,99.0,100.0,79.0,106.0,102.0,108.0,108.0,106.0,116.0,120.0,103.0,0.451,0.082,0.213,0.144,0.11,1.51,2.74,0.43,-3.57,-1.54,92.7,86.7,83.1,85.2,74.9,0.194,0.389,0.161,0.222,0.37,0.447,0.267,0.333,0.16,0.333,0.75,0.318,0.167,0.5,0.227,,,,,,,,,,,,,,,
1,2024-07-20,744994,Double,double,False,668939,453286,Adley Rutschman,Max Scherzer,0,4f7921de-34b1-4d04-afe3-02553a6edc44,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,TEX,2.96,2.99,27.1,108.0,86.0,104.0,0.779,7.57,1.32,7.57,1.65,0.59,0.291,0.443,0.228,0.253,0.438,64.0,120.0,109.0,75.0,99.0,100.0,79.0,106.0,102.0,108.0,108.0,106.0,116.0,120.0,103.0,0.451,0.082,0.213,0.144,0.11,1.51,2.74,0.43,-3.57,-1.54,92.7,86.7,83.1,85.2,74.9,0.194,0.389,0.161,0.222,0.37,0.447,0.267,0.333,0.16,0.333,0.75,0.318,0.167,0.5,0.227,,,,,,,,,,,,,,,
2,2024-07-20,744994,Pop Out,field_out,True,623993,453286,Anthony Santander,Max Scherzer,0,a9cc9346-b039-43ad-8009-2867fcb69ef6,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,TEX,2.96,2.99,27.1,108.0,86.0,104.0,0.779,7.57,1.32,7.57,1.65,0.59,0.291,0.443,0.228,0.253,0.438,64.0,120.0,109.0,75.0,99.0,100.0,79.0,106.0,102.0,108.0,108.0,106.0,116.0,120.0,103.0,0.451,0.082,0.213,0.144,0.11,1.51,2.74,0.43,-3.57,-1.54,92.7,86.7,83.1,85.2,74.9,0.194,0.389,0.161,0.222,0.37,0.447,0.267,0.333,0.16,0.333,0.75,0.318,0.167,0.5,0.227,,,,,,,,,,,,,,,
3,2024-07-20,744994,Hit By Pitch,hit_by_pitch,False,656811,453286,Ryan O'Hearn,Max Scherzer,0,b8d50294-f90d-4181-a1aa-2f1e74588901,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,TEX,2.96,2.99,27.1,108.0,86.0,104.0,0.779,7.57,1.32,7.57,1.65,0.59,0.291,0.443,0.228,0.253,0.438,64.0,120.0,109.0,75.0,99.0,100.0,79.0,106.0,102.0,108.0,108.0,106.0,116.0,120.0,103.0,0.451,0.082,0.213,0.144,0.11,1.51,2.74,0.43,-3.57,-1.54,92.7,86.7,83.1,85.2,74.9,0.194,0.389,0.161,0.222,0.37,0.447,0.267,0.333,0.16,0.333,0.75,0.318,0.167,0.5,0.227,,,,,,,,,,,,,,,
4,2024-07-20,744994,Strikeout,strikeout,True,677008,453286,Heston Kjerstad,Max Scherzer,0,58a271ac-4224-4462-bef3-948fc21374fa,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,TEX,2.96,2.99,27.1,108.0,86.0,104.0,0.779,7.57,1.32,7.57,1.65,0.59,0.291,0.443,0.228,0.253,0.438,64.0,120.0,109.0,75.0,99.0,100.0,79.0,106.0,102.0,108.0,108.0,106.0,116.0,120.0,103.0,0.451,0.082,0.213,0.144,0.11,1.51,2.74,0.43,-3.57,-1.54,92.7,86.7,83.1,85.2,74.9,0.194,0.389,0.161,0.222,0.37,0.447,0.267,0.333,0.16,0.333,0.75,0.318,0.167,0.5,0.227,,,,,,,,,,,,,,,
5,2024-07-20,744994,Walk,walk,False,543760,680570,Marcus Semien,Grayson Rodriguez,0,04f62230-6c99-4088-8fff-fe13fa369708,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,112.0,101.0,105.0,117.0,103.0,109.0,,,,0.456,,0.159,0.158,0.211,-0.19,,-1.35,0.36,1.25,96.1,,83.1,86.6,81.2,0.278,0.373,0.258,0.275,0.623,0.346,,,,0.25,0.386,0.272,0.163,0.327,0.379,127.0,101.0,105.0,0.015,3.9,96.4,0.25,0.375,0.278,,,,,,
6,2024-07-20,744994,Strikeout,strikeout,True,608369,680570,Corey Seager,Grayson Rodriguez,0,5385feee-5550-46e6-a888-151419c7ce49,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,112.0,101.0,105.0,117.0,103.0,109.0,,,,0.456,,0.159,0.158,0.211,-0.19,,-1.35,0.36,1.25,96.1,,83.1,86.6,81.2,0.278,0.373,0.258,0.275,0.623,0.346,,,,0.25,0.386,0.272,0.163,0.327,0.379,127.0,101.0,105.0,0.015,3.9,96.4,0.25,0.375,0.278,,,,,,
7,2024-07-20,744994,Flyout,field_out,True,669701,680570,Josh Smith,Grayson Rodriguez,0,e63bd460-5459-4a32-8496-456bdd406fa8,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,112.0,101.0,105.0,117.0,103.0,109.0,,,,0.456,,0.159,0.158,0.211,-0.19,,-1.35,0.36,1.25,96.1,,83.1,86.6,81.2,0.278,0.373,0.258,0.275,0.623,0.346,,,,0.25,0.386,0.272,0.163,0.327,0.379,127.0,101.0,105.0,0.015,3.9,96.4,0.25,0.375,0.278,,,,,,
8,2024-07-20,744994,Flyout,field_out,True,694671,680570,Wyatt Langford,Grayson Rodriguez,0,72c4bbea-385f-420d-9b59-7adacc5c2cd9,680570.0,graysonrodriguez,"Rodriguez, G",Right,Grayson Rodriguez,BAL,3.88,3.91,99.2,102.0,119.0,106.0,0.725,10.11,2.8,8.4,1.17,0.97,0.232,0.404,0.169,0.301,0.446,143.0,99.0,106.0,112.0,103.0,107.0,112.0,101.0,105.0,117.0,103.0,109.0,,,,0.456,,0.159,0.158,0.211,-0.19,,-1.35,0.36,1.25,96.1,,83.1,86.6,81.2,0.278,0.373,0.258,0.275,0.623,0.346,,,,0.25,0.386,0.272,0.163,0.327,0.379,127.0,101.0,105.0,0.015,3.9,96.4,0.25,0.375,0.278,,,,,,
9,2024-07-20,744994,Single,single,False,676059,453286,Jordan Westburg,Max Scherzer,0,daa2d609-bcee-44be-9f21-d49c1a1b7b3f,453286.0,maxscherzer,Scherzer,Right,Max Scherzer,TEX,2.96,2.99,27.1,108.0,86.0,104.0,0.779,7.57,1.32,7.57,1.65,0.59,0.291,0.443,0.228,0.253,0.438,64.0,120.0,109.0,75.0,99.0,100.0,79.0,106.0,102.0,108.0,108.0,106.0,116.0,120.0,103.0,0.451,0.082,0.213,0.144,0.11,1.51,2.74,0.43,-3.57,-1.54,92.7,86.7,83.1,85.2,74.9,0.194,0.389,0.161,0.222,0.37,0.447,0.267,0.333,0.16,0.333,0.75,0.318,0.167,0.5,0.227,,,,,,,,,,,,,,,
