,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSI,vSL,vCU,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-03,746440,Groundout,field_out,True,666023,663947,Freddy Fermin,Tyler Holton,0,40641cbd-f530-45c3-8679-b83b6eb7fae1,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.38,2.99,75.2,104.0,84.0,100.0,0.766,7.02,1.55,5.71,0.59,1.24,0.21,0.381,0.186,0.271,0.421,64.0,104.0,100.0,103.0,86.0,94.0,81.0,103.0,93.0,78.0,104.0,96.0,113.0,98.0,105.0,86.0,109.0,104.0,0.211,0.154,0.267,0.156,0.015,0.196,5.52,2.22,2.07,2.44,1.29,-0.22,92.1,87.9,83.5,91.7,80.9,79.3,0.275,0.42,0.278,0.169,0.356,0.097,0.204,0.259,0.246,0.068,0.068,0.282,0.128,0.128,0.368,,,,,,,,,,,,,,,
1,2024-08-03,746440,Flyout,field_out,True,677951,663947,Bobby Witt Jr.,Tyler Holton,0,4779662d-8a9c-4263-abac-82ec078420cf,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.38,2.99,75.2,104.0,84.0,100.0,0.766,7.02,1.55,5.71,0.59,1.24,0.21,0.381,0.186,0.271,0.421,64.0,104.0,100.0,103.0,86.0,94.0,81.0,103.0,93.0,78.0,104.0,96.0,113.0,98.0,105.0,86.0,109.0,104.0,0.211,0.154,0.267,0.156,0.015,0.196,5.52,2.22,2.07,2.44,1.29,-0.22,92.1,87.9,83.5,91.7,80.9,79.3,0.275,0.42,0.278,0.169,0.356,0.097,0.204,0.259,0.246,0.068,0.068,0.282,0.128,0.128,0.368,,,,,,,,,,,,,,,
2,2024-08-03,746440,Groundout,field_out,True,686469,663947,Vinnie Pasquantino,Tyler Holton,0,95493a97-d908-4b2f-8dbc-9fd54c777efa,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.38,2.99,75.2,104.0,84.0,100.0,0.766,7.02,1.55,5.71,0.59,1.24,0.21,0.381,0.186,0.271,0.421,64.0,104.0,100.0,103.0,86.0,94.0,81.0,103.0,93.0,78.0,104.0,96.0,113.0,98.0,105.0,86.0,109.0,104.0,0.211,0.154,0.267,0.156,0.015,0.196,5.52,2.22,2.07,2.44,1.29,-0.22,92.1,87.9,83.5,91.7,80.9,79.3,0.275,0.42,0.278,0.169,0.356,0.097,0.204,0.259,0.246,0.068,0.068,0.282,0.128,0.128,0.368,,,,,,,,,,,,,,,
3,2024-08-03,746440,Pop Out,field_out,True,672761,547179,Wenceel Pérez,Michael Lorenzen,0,6ff4fd0b-08bb-43d6-a833-c930880d4199,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.43,4.62,126.0,97.0,94.0,95.0,0.798,6.57,4.14,7.14,1.21,1.02,0.248,0.38,0.187,0.314,0.412,94.0,101.0,98.0,102.0,92.0,96.0,85.0,95.0,89.0,81.0,102.0,94.0,125.0,97.0,107.0,94.0,93.0,91.0,0.211,0.271,0.101,0.148,0.077,0.193,0.86,0.14,-0.37,-1.31,-0.51,1.96,93.8,90.1,84.6,93.6,83.9,81.6,0.122,0.173,0.369,0.303,0.459,0.064,0.235,0.51,0.236,0.162,0.324,0.179,0.368,0.632,0.24,0.263,0.421,0.327,0.15,0.35,0.26,,,,,,,,,
4,2024-08-03,746440,Groundout,field_out,True,690993,547179,Colt Keith,Michael Lorenzen,0,c7153464-6cb6-4945-b28f-9132aecdc443,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.43,4.62,126.0,97.0,94.0,95.0,0.798,6.57,4.14,7.14,1.21,1.02,0.248,0.38,0.187,0.314,0.412,94.0,101.0,98.0,102.0,92.0,96.0,85.0,95.0,89.0,81.0,102.0,94.0,125.0,97.0,107.0,94.0,93.0,91.0,0.211,0.271,0.101,0.148,0.077,0.193,0.86,0.14,-0.37,-1.31,-0.51,1.96,93.8,90.1,84.6,93.6,83.9,81.6,0.122,0.173,0.369,0.303,0.459,0.064,0.235,0.51,0.236,0.162,0.324,0.179,0.368,0.632,0.24,0.263,0.421,0.327,0.15,0.35,0.26,,,,,,,,,
5,2024-08-03,746440,Double,double,False,663837,547179,Matt Vierling,Michael Lorenzen,0,0425b5e1-ac83-43ae-8ad8-bd242216fc56,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.43,4.62,126.0,97.0,94.0,95.0,0.798,6.57,4.14,7.14,1.21,1.02,0.248,0.38,0.187,0.314,0.412,94.0,101.0,98.0,102.0,92.0,96.0,85.0,95.0,89.0,81.0,102.0,94.0,125.0,97.0,107.0,94.0,93.0,91.0,0.211,0.271,0.101,0.148,0.077,0.193,0.86,0.14,-0.37,-1.31,-0.51,1.96,93.8,90.1,84.6,93.6,83.9,81.6,0.122,0.173,0.369,0.303,0.459,0.064,0.235,0.51,0.236,0.162,0.324,0.179,0.368,0.632,0.24,0.263,0.421,0.327,0.15,0.35,0.26,,,,,,,,,
6,2024-08-03,746440,Flyout,field_out,True,669234,547179,Justyn-Henry Malloy,Michael Lorenzen,0,2e289a0c-3b81-49be-a8de-ec9ee8747213,547179.0,michaellorenzen,Lorenzen,Right,Michael Lorenzen,- - -,3.43,4.62,126.0,97.0,94.0,95.0,0.798,6.57,4.14,7.14,1.21,1.02,0.248,0.38,0.187,0.314,0.412,94.0,101.0,98.0,102.0,92.0,96.0,85.0,95.0,89.0,81.0,102.0,94.0,125.0,97.0,107.0,94.0,93.0,91.0,0.211,0.271,0.101,0.148,0.077,0.193,0.86,0.14,-0.37,-1.31,-0.51,1.96,93.8,90.1,84.6,93.6,83.9,81.6,0.122,0.173,0.369,0.303,0.459,0.064,0.235,0.51,0.236,0.162,0.324,0.179,0.368,0.632,0.24,0.263,0.421,0.327,0.15,0.35,0.26,,,,,,,,,
7,2024-08-03,746440,Strikeout,strikeout,True,521692,663947,Salvador Perez,Tyler Holton,0,c4a29609-9510-4d5a-a64f-bb7e487572f1,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.38,2.99,75.2,104.0,84.0,100.0,0.766,7.02,1.55,5.71,0.59,1.24,0.21,0.381,0.186,0.271,0.421,64.0,104.0,100.0,103.0,86.0,94.0,81.0,103.0,93.0,78.0,104.0,96.0,113.0,98.0,105.0,86.0,109.0,104.0,0.211,0.154,0.267,0.156,0.015,0.196,5.52,2.22,2.07,2.44,1.29,-0.22,92.1,87.9,83.5,91.7,80.9,79.3,0.275,0.42,0.278,0.169,0.356,0.097,0.204,0.259,0.246,0.068,0.068,0.282,0.128,0.128,0.368,,,,,,,,,,,,,,,
8,2024-08-03,746440,Groundout,field_out,True,592669,663947,Hunter Renfroe,Tyler Holton,0,c9ed9356-a25e-4329-8243-89b329eafd9f,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.38,2.99,75.2,104.0,84.0,100.0,0.766,7.02,1.55,5.71,0.59,1.24,0.21,0.381,0.186,0.271,0.421,64.0,104.0,100.0,103.0,86.0,94.0,81.0,103.0,93.0,78.0,104.0,96.0,113.0,98.0,105.0,86.0,109.0,104.0,0.211,0.154,0.267,0.156,0.015,0.196,5.52,2.22,2.07,2.44,1.29,-0.22,92.1,87.9,83.5,91.7,80.9,79.3,0.275,0.42,0.278,0.169,0.356,0.097,0.204,0.259,0.246,0.068,0.068,0.282,0.128,0.128,0.368,,,,,,,,,,,,,,,
9,2024-08-03,746440,Groundout,field_out,True,686681,663947,Michael Massey,Tyler Holton,0,15a07ed3-f990-4a5b-b597-8ca8fd31f7d5,663947.0,tylerholton,Holton,Left,Tyler Holton,DET,2.38,2.99,75.2,104.0,84.0,100.0,0.766,7.02,1.55,5.71,0.59,1.24,0.21,0.381,0.186,0.271,0.421,64.0,104.0,100.0,103.0,86.0,94.0,81.0,103.0,93.0,78.0,104.0,96.0,113.0,98.0,105.0,86.0,109.0,104.0,0.211,0.154,0.267,0.156,0.015,0.196,5.52,2.22,2.07,2.44,1.29,-0.22,92.1,87.9,83.5,91.7,80.9,79.3,0.275,0.42,0.278,0.169,0.356,0.097,0.204,0.259,0.246,0.068,0.068,0.282,0.128,0.128,0.368,,,,,,,,,,,,,,,
