,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FC%,FS%,SL%,CU%,wFA/C,wFC/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFC,vFS,vSI,vSL,vCU,SI_ba,SI_slg,SI_whiff,FC_ba,FC_slg,FC_whiff,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,CH%,wCH/C,vCH,SV_ba,SV_slg,SV_whiff,CH_ba,CH_slg,CH_whiff,Stf+ KC,Loc+ KC,Pit+ KC,KC%,wKC/C,vKC
37,2024-06-10,745982,Flyout,field_out,True,687462,607067,Spencer Horwitz,Colin Rea,0,949dc82c-fa7e-44d0-8e79-4b5da7bdd013,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,107.0,106.0,103.0,69.0,109.0,95.0,85.0,101.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,78.0,98.0,100.0,0.306,0.172,0.226,0.082,0.171,0.043,-0.12,-0.36,-0.32,-0.27,3.37,-5.02,92.7,87.8,86.4,92.3,82.1,78.3,0.276,0.44,0.109,0.277,0.553,0.159,0.23,0.365,0.239,0.062,0.077,0.227,0.243,0.297,0.26,0.444,0.833,0.111,,,,,,,,,,,,,,,,,,
38,2024-06-10,745982,Walk,walk,False,668930,621244,Brice Turang,José Berríos,0,1ae879c7-c399-485d-8a64-757ea1fb138f,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,0.301,-1.98,-2.81,,0.53,,0.16,94.0,91.7,,93.5,,83.0,0.288,0.378,0.124,0.375,0.438,0.03,0.333,0.648,0.183,,,,,,,,,,89.0,103.0,101.0,0.163,1.45,84.5,0.202,0.403,0.286,0.153,0.376,0.241,,,,,,
39,2024-06-10,745982,Single,single,False,661388,621244,William Contreras,José Berríos,1,8a43ecf5-d122-4c80-8ad9-6ac2de565c76,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,0.301,-1.98,-2.81,,0.53,,0.16,94.0,91.7,,93.5,,83.0,0.288,0.378,0.124,0.375,0.438,0.03,0.333,0.648,0.183,,,,,,,,,,89.0,103.0,101.0,0.163,1.45,84.5,0.202,0.403,0.286,0.153,0.376,0.241,,,,,,
40,2024-06-10,745982,Strikeout,strikeout,True,592885,621244,Christian Yelich,José Berríos,0,c7cfbdf2-64cd-4fb1-870d-d1341ab78300,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,0.301,-1.98,-2.81,,0.53,,0.16,94.0,91.7,,93.5,,83.0,0.288,0.378,0.124,0.375,0.438,0.03,0.333,0.648,0.183,,,,,,,,,,89.0,103.0,101.0,0.163,1.45,84.5,0.202,0.403,0.286,0.153,0.376,0.241,,,,,,
41,2024-06-10,745982,Sac Fly,sac_fly,True,642715,621244,Willy Adames,José Berríos,1,68593f98-adef-400f-9dcc-07943360424f,621244.0,joseberrios,Berríos,Right,José Berríos,TOR,4.01,4.96,119.0,102.0,91.0,99.0,0.828,6.58,2.5,8.17,1.59,1.12,0.261,0.416,0.16,0.34,0.411,107.0,101.0,105.0,82.0,100.0,92.0,85.0,102.0,95.0,,,,80.0,100.0,94.0,,,,0.329,0.175,0.031,,,0.301,-1.98,-2.81,,0.53,,0.16,94.0,91.7,,93.5,,83.0,0.288,0.378,0.124,0.375,0.438,0.03,0.333,0.648,0.183,,,,,,,,,,89.0,103.0,101.0,0.163,1.45,84.5,0.202,0.403,0.286,0.153,0.376,0.241,,,,,,
42,2024-06-10,745982,Strikeout,strikeout,True,656555,647315,Rhys Hoskins,Zach Pop,0,450a8442-e3d9-46b5-b14b-02b494f22e3e,647315.0,zachpop,Pop,Right,Zach Pop,TOR,5.9,4.57,29.0,98.0,101.0,100.0,0.811,5.9,3.72,9.0,2.17,1.69,0.221,0.484,0.2,0.347,0.37,,,,,,,95.0,100.0,101.0,140.0,93.0,103.0,95.0,92.0,94.0,,,,0.731,,0.119,,0.145,0.002,,-3.48,,-0.94,0.31,3.88,,93.7,,96.3,86.3,82.8,0.279,0.5,0.207,0.273,0.818,0.25,,,,0.143,0.214,0.24,,,,,,,,,,0.002,-3.7,87.4,,,,,,,,,,,,
43,2024-06-10,745982,Flyout,field_out,True,665489,607067,Vladimir Guerrero Jr.,Colin Rea,0,ce015faa-9ddc-473e-b07e-d0ebaf29546f,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,107.0,106.0,103.0,69.0,109.0,95.0,85.0,101.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,78.0,98.0,100.0,0.306,0.172,0.226,0.082,0.171,0.043,-0.12,-0.36,-0.32,-0.27,3.37,-5.02,92.7,87.8,86.4,92.3,82.1,78.3,0.276,0.44,0.109,0.277,0.553,0.159,0.23,0.365,0.239,0.062,0.077,0.227,0.243,0.297,0.26,0.444,0.833,0.111,,,,,,,,,,,,,,,,,,
44,2024-06-10,745982,Strikeout,strikeout,True,666182,607067,Bo Bichette,Colin Rea,0,dd3c11da-d23f-4a96-8bab-68f38708a819,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,107.0,106.0,103.0,69.0,109.0,95.0,85.0,101.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,78.0,98.0,100.0,0.306,0.172,0.226,0.082,0.171,0.043,-0.12,-0.36,-0.32,-0.27,3.37,-5.02,92.7,87.8,86.4,92.3,82.1,78.3,0.276,0.44,0.109,0.277,0.553,0.159,0.23,0.365,0.239,0.062,0.077,0.227,0.243,0.297,0.26,0.444,0.833,0.111,,,,,,,,,,,,,,,,,,
45,2024-06-10,745982,Lineout,field_out,True,596129,607067,Daniel Vogelbach,Colin Rea,0,1fb02fae-dd08-4175-ba47-83ea5d6f7cea,607067.0,colinrea,Rea,Right,Colin Rea,MIL,3.77,5.09,105.0,102.0,85.0,96.0,0.84,6.51,2.66,8.23,1.2,1.13,0.252,0.45,0.137,0.316,0.445,107.0,106.0,103.0,69.0,109.0,95.0,85.0,101.0,95.0,108.0,105.0,108.0,76.0,95.0,89.0,78.0,98.0,100.0,0.306,0.172,0.226,0.082,0.171,0.043,-0.12,-0.36,-0.32,-0.27,3.37,-5.02,92.7,87.8,86.4,92.3,82.1,78.3,0.276,0.44,0.109,0.277,0.553,0.159,0.23,0.365,0.239,0.062,0.077,0.227,0.243,0.297,0.26,0.444,0.833,0.111,,,,,,,,,,,,,,,,,,
46,2024-06-10,745982,Strikeout,strikeout,True,663368,663893,Blake Perkins,Brendon Little,0,07f38928-9eab-4593-9599-a83c82b7e1f8,663893.0,brendonlittle,Little,Left,Brendon Little,TOR,4.5,3.46,20.0,96.0,90.0,93.0,0.743,7.65,2.7,8.55,1.35,4.89,0.098,0.492,0.262,0.311,0.408,,,,,,,87.0,95.0,92.0,,,,89.0,86.0,87.0,,,,0.582,,0.092,,,,,-2.98,,-0.79,,,,93.7,,94.6,,,0.342,0.526,0.13,0.286,0.857,0.375,,,,,,,,,,0.125,0.125,0.415,,,,,,,,,,,,,95.0,100.0,97.0,0.326,3.15,86.7
