,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,SI%,FA%,FS%,SL%,CU%,wFA/C,wFS/C,wSI/C,wSL/C,wCU/C,vFA,vFS,vSI,vSL,vCU,SL_ba,SL_slg,SL_whiff,FF_ba,FF_slg,FF_whiff,SI_ba,SI_slg,SI_whiff,FS_ba,FS_slg,FS_whiff,CU_ba,CU_slg,CU_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,FC%,KC%,CH%,wFC/C,wKC/C,wCH/C,vFC,vCH,vKC,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff
0,2024-07-01,744914,Flyout,field_out,True,608324,684320,Alex Bregman,Yariel Rodríguez,0,d0daec55-8c40-43a2-accf-9063273bdf2c,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,92.0,92.0,98.0,90.0,95.0,90.0,80.0,102.0,99.0,116.0,101.0,107.0,75.0,115.0,106.0,0.093,0.441,0.08,0.271,0.115,0.9,-1.28,3.88,-0.9,-3.05,94.2,89.2,93.6,84.4,77.7,0.245,0.429,0.344,0.22,0.341,0.206,0.154,0.154,0.125,0.182,0.273,0.235,0.333,0.778,0.25,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-07-01,744914,Strikeout,strikeout,True,676694,684320,Jake Meyers,Yariel Rodríguez,0,f2489139-a6a1-4bc6-8ba5-320ad7862c41,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,92.0,92.0,98.0,90.0,95.0,90.0,80.0,102.0,99.0,116.0,101.0,107.0,75.0,115.0,106.0,0.093,0.441,0.08,0.271,0.115,0.9,-1.28,3.88,-0.9,-3.05,94.2,89.2,93.6,84.4,77.7,0.245,0.429,0.344,0.22,0.341,0.206,0.154,0.154,0.125,0.182,0.273,0.235,0.333,0.778,0.25,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-07-01,744914,Groundout,field_out,True,670541,684320,Yordan Alvarez,Yariel Rodríguez,0,9dee312e-e652-413a-bdfd-3707002c3337,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,92.0,92.0,98.0,90.0,95.0,90.0,80.0,102.0,99.0,116.0,101.0,107.0,75.0,115.0,106.0,0.093,0.441,0.08,0.271,0.115,0.9,-1.28,3.88,-0.9,-3.05,94.2,89.2,93.6,84.4,77.7,0.245,0.429,0.344,0.22,0.341,0.206,0.154,0.154,0.125,0.182,0.273,0.235,0.333,0.778,0.25,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-07-01,744914,Groundout,field_out,True,666182,686613,Bo Bichette,Hunter Brown,0,52dd3023-62ad-4835-9f66-9e81ee97f5d6,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,,,,0.134,0.376,,0.071,,-0.55,,0.46,1.74,,95.7,,95.5,89.0,,0.192,0.192,0.25,0.272,0.483,0.287,0.268,0.304,0.172,,,,0.28,0.5,0.281,88.0,102.0,105.0,130.0,99.0,106.0,95.0,107.0,105.0,0.157,0.127,0.134,0.16,-1.93,1.13,92.3,88.4,82.4,0.236,0.375,0.185,0.208,0.271,0.327
4,2024-07-01,744914,Lineout,field_out,True,687462,686613,Spencer Horwitz,Hunter Brown,0,11a2344c-1bd0-485c-9459-baff53bdb67a,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,,,,0.134,0.376,,0.071,,-0.55,,0.46,1.74,,95.7,,95.5,89.0,,0.192,0.192,0.25,0.272,0.483,0.287,0.268,0.304,0.172,,,,0.28,0.5,0.281,88.0,102.0,105.0,130.0,99.0,106.0,95.0,107.0,105.0,0.157,0.127,0.134,0.16,-1.93,1.13,92.3,88.4,82.4,0.236,0.375,0.185,0.208,0.271,0.327
5,2024-07-01,744914,Groundout,field_out,True,457759,686613,Justin Turner,Hunter Brown,0,2571b45b-bf20-46a1-96f2-0294580458aa,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,,,,0.134,0.376,,0.071,,-0.55,,0.46,1.74,,95.7,,95.5,89.0,,0.192,0.192,0.25,0.272,0.483,0.287,0.268,0.304,0.172,,,,0.28,0.5,0.281,88.0,102.0,105.0,130.0,99.0,106.0,95.0,107.0,105.0,0.157,0.127,0.134,0.16,-1.93,1.13,92.3,88.4,82.4,0.236,0.375,0.185,0.208,0.271,0.327
6,2024-07-01,744914,Groundout,field_out,True,673237,684320,Yainer Diaz,Yariel Rodríguez,0,246d7d6f-dce6-4090-a6f3-3e64dcc46619,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,92.0,92.0,98.0,90.0,95.0,90.0,80.0,102.0,99.0,116.0,101.0,107.0,75.0,115.0,106.0,0.093,0.441,0.08,0.271,0.115,0.9,-1.28,3.88,-0.9,-3.05,94.2,89.2,93.6,84.4,77.7,0.245,0.429,0.344,0.22,0.341,0.206,0.154,0.154,0.125,0.182,0.273,0.235,0.333,0.778,0.25,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-07-01,744914,Strikeout,strikeout,True,572138,684320,Jon Singleton,Yariel Rodríguez,0,4a7fcad1-7825-4fa1-87b9-0d1dcedcff3d,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,92.0,92.0,98.0,90.0,95.0,90.0,80.0,102.0,99.0,116.0,101.0,107.0,75.0,115.0,106.0,0.093,0.441,0.08,0.271,0.115,0.9,-1.28,3.88,-0.9,-3.05,94.2,89.2,93.6,84.4,77.7,0.245,0.429,0.344,0.22,0.341,0.206,0.154,0.154,0.125,0.182,0.273,0.235,0.333,0.778,0.25,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-07-01,744914,Flyout,field_out,True,665161,684320,Jeremy Peña,Yariel Rodríguez,0,f809b4a6-816e-427b-80f4-7215a4933cc7,684320.0,yarielrodriguez,Rodríguez,Right,Yariel Rodríguez,TOR,3.67,4.19,34.1,98.0,96.0,97.0,0.773,9.44,4.98,7.34,0.79,1.15,0.253,0.418,0.176,0.264,0.403,92.0,92.0,98.0,90.0,95.0,90.0,80.0,102.0,99.0,116.0,101.0,107.0,75.0,115.0,106.0,0.093,0.441,0.08,0.271,0.115,0.9,-1.28,3.88,-0.9,-3.05,94.2,89.2,93.6,84.4,77.7,0.245,0.429,0.344,0.22,0.341,0.206,0.154,0.154,0.125,0.182,0.273,0.235,0.333,0.778,0.25,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-07-01,744914,Single,single,False,543807,686613,George Springer,Hunter Brown,0,6ca3ef86-70b2-4f02-b1f8-70c348e80d6b,686613.0,hunterbrown,"Brown, H",Right,Hunter Brown,HOU,4.14,3.49,104.1,101.0,104.0,102.0,0.775,9.49,3.54,8.71,1.21,1.43,0.317,0.317,0.214,0.245,0.431,,,,106.0,101.0,100.0,90.0,100.0,98.0,114.0,105.0,107.0,,,,0.134,0.376,,0.071,,-0.55,,0.46,1.74,,95.7,,95.5,89.0,,0.192,0.192,0.25,0.272,0.483,0.287,0.268,0.304,0.172,,,,0.28,0.5,0.281,88.0,102.0,105.0,130.0,99.0,106.0,95.0,107.0,105.0,0.157,0.127,0.134,0.16,-1.93,1.13,92.3,88.4,82.4,0.236,0.375,0.185,0.208,0.271,0.327
