,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FA%,FC%,SL%,CH%,wFA/C,wFC/C,wSI/C,wSL/C,wCH/C,vFA,vFC,vCH,vSI,vSL,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,ST_ba,ST_slg,ST_whiff,CH_ba,CH_slg,CH_whiff,SI_ba,SI_slg,SI_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,SL_ba,SL_slg,SL_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS
0,2024-09-13,746744,Strikeout,strikeout,True,671732,676979,Lawrence Butler,Garrett Crochet,0,6fec4a41-37cc-47bf-9699-ee1f69868266,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.78,2.95,138.0,103.0,102.0,103.0,0.697,12.72,2.09,7.7,1.17,1.24,0.26,0.395,0.174,0.341,0.459,66.0,101.0,101.0,104.0,104.0,103.0,126.0,82.0,84.0,138.0,101.0,106.0,94.0,104.0,103.0,0.009,0.545,0.289,0.099,0.059,1.67,-0.26,0.76,-2.58,-0.09,97.1,91.5,90.9,97.0,84.2,0.198,0.298,0.316,0.273,0.465,0.32,0.226,0.585,0.42,0.171,0.286,0.321,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
1,2024-09-13,746744,Lineout,field_out,True,667670,676979,Brent Rooker,Garrett Crochet,0,0b4fb57a-222d-4b91-a178-6a1d1a3433c2,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.78,2.95,138.0,103.0,102.0,103.0,0.697,12.72,2.09,7.7,1.17,1.24,0.26,0.395,0.174,0.341,0.459,66.0,101.0,101.0,104.0,104.0,103.0,126.0,82.0,84.0,138.0,101.0,106.0,94.0,104.0,103.0,0.009,0.545,0.289,0.099,0.059,1.67,-0.26,0.76,-2.58,-0.09,97.1,91.5,90.9,97.0,84.2,0.198,0.298,0.316,0.273,0.465,0.32,0.226,0.585,0.42,0.171,0.286,0.321,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
2,2024-09-13,746744,Lineout,field_out,True,669127,676979,Shea Langeliers,Garrett Crochet,0,d03bdb26-2cc2-4452-b3b9-a2683a21834f,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.78,2.95,138.0,103.0,102.0,103.0,0.697,12.72,2.09,7.7,1.17,1.24,0.26,0.395,0.174,0.341,0.459,66.0,101.0,101.0,104.0,104.0,103.0,126.0,82.0,84.0,138.0,101.0,106.0,94.0,104.0,103.0,0.009,0.545,0.289,0.099,0.059,1.67,-0.26,0.76,-2.58,-0.09,97.1,91.5,90.9,97.0,84.2,0.198,0.298,0.316,0.273,0.465,0.32,0.226,0.585,0.42,0.171,0.286,0.321,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
3,2024-09-13,746744,Pop Out,field_out,True,682868,669620,Bryan Ramos,Brady Basso,0,b2f2d404-f0f9-477e-aacc-6a0ff01a586a,669620.0,bradybasso,Basso,Left,Brady Basso,OAK,1.23,3.07,14.2,108.0,87.0,102.0,0.742,6.75,1.23,6.75,0.61,1.27,0.262,0.429,0.143,0.31,0.468,83.0,99.0,86.0,83.0,108.0,104.0,52.0,88.0,85.0,,,,103.0,115.0,109.0,0.03,0.443,0.172,,0.103,2.84,0.62,-0.9,,5.53,92.4,88.2,86.6,92.3,,0.208,0.375,0.184,0.2,0.2,0.308,,,,0.143,0.143,0.167,,,,82.0,113.0,107.0,0.251,0.58,76.4,0.235,0.235,0.429,,,,,,,,,
4,2024-09-13,746744,Single,single,False,673357,669620,Luis Robert Jr.,Brady Basso,0,37d7fa58-2c82-4056-a4ac-a616fa871996,669620.0,bradybasso,Basso,Left,Brady Basso,OAK,1.23,3.07,14.2,108.0,87.0,102.0,0.742,6.75,1.23,6.75,0.61,1.27,0.262,0.429,0.143,0.31,0.468,83.0,99.0,86.0,83.0,108.0,104.0,52.0,88.0,85.0,,,,103.0,115.0,109.0,0.03,0.443,0.172,,0.103,2.84,0.62,-0.9,,5.53,92.4,88.2,86.6,92.3,,0.208,0.375,0.184,0.2,0.2,0.308,,,,0.143,0.143,0.167,,,,82.0,113.0,107.0,0.251,0.58,76.4,0.235,0.235,0.429,,,,,,,,,
5,2024-09-13,746744,Flyout,field_out,True,643217,669620,Andrew Benintendi,Brady Basso,0,901dca94-6943-4954-8de5-ded9627c620a,669620.0,bradybasso,Basso,Left,Brady Basso,OAK,1.23,3.07,14.2,108.0,87.0,102.0,0.742,6.75,1.23,6.75,0.61,1.27,0.262,0.429,0.143,0.31,0.468,83.0,99.0,86.0,83.0,108.0,104.0,52.0,88.0,85.0,,,,103.0,115.0,109.0,0.03,0.443,0.172,,0.103,2.84,0.62,-0.9,,5.53,92.4,88.2,86.6,92.3,,0.208,0.375,0.184,0.2,0.2,0.308,,,,0.143,0.143,0.167,,,,82.0,113.0,107.0,0.251,0.58,76.4,0.235,0.235,0.429,,,,,,,,,
6,2024-09-13,746744,Single,single,False,683734,669620,Andrew Vaughn,Brady Basso,1,404e0595-2848-44a5-a7f5-ed811abe4039,669620.0,bradybasso,Basso,Left,Brady Basso,OAK,1.23,3.07,14.2,108.0,87.0,102.0,0.742,6.75,1.23,6.75,0.61,1.27,0.262,0.429,0.143,0.31,0.468,83.0,99.0,86.0,83.0,108.0,104.0,52.0,88.0,85.0,,,,103.0,115.0,109.0,0.03,0.443,0.172,,0.103,2.84,0.62,-0.9,,5.53,92.4,88.2,86.6,92.3,,0.208,0.375,0.184,0.2,0.2,0.308,,,,0.143,0.143,0.167,,,,82.0,113.0,107.0,0.251,0.58,76.4,0.235,0.235,0.429,,,,,,,,,
7,2024-09-13,746744,Strikeout,strikeout,True,672820,669620,Lenyn Sosa,Brady Basso,0,5f45f470-61a0-41b5-8d25-d14a7cd84ce9,669620.0,bradybasso,Basso,Left,Brady Basso,OAK,1.23,3.07,14.2,108.0,87.0,102.0,0.742,6.75,1.23,6.75,0.61,1.27,0.262,0.429,0.143,0.31,0.468,83.0,99.0,86.0,83.0,108.0,104.0,52.0,88.0,85.0,,,,103.0,115.0,109.0,0.03,0.443,0.172,,0.103,2.84,0.62,-0.9,,5.53,92.4,88.2,86.6,92.3,,0.208,0.375,0.184,0.2,0.2,0.308,,,,0.143,0.143,0.167,,,,82.0,113.0,107.0,0.251,0.58,76.4,0.235,0.235,0.429,,,,,,,,,
8,2024-09-13,746744,Groundout,field_out,True,663662,676979,Daz Cameron,Garrett Crochet,0,10384e23-9a58-4fec-bd35-163be1afa90f,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.78,2.95,138.0,103.0,102.0,103.0,0.697,12.72,2.09,7.7,1.17,1.24,0.26,0.395,0.174,0.341,0.459,66.0,101.0,101.0,104.0,104.0,103.0,126.0,82.0,84.0,138.0,101.0,106.0,94.0,104.0,103.0,0.009,0.545,0.289,0.099,0.059,1.67,-0.26,0.76,-2.58,-0.09,97.1,91.5,90.9,97.0,84.2,0.198,0.298,0.316,0.273,0.465,0.32,0.226,0.585,0.42,0.171,0.286,0.321,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
9,2024-09-13,746744,Strikeout,strikeout,True,680869,676979,Zack Gelof,Garrett Crochet,0,08b2cbe7-00a1-4ef4-8036-8692f7d81435,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.78,2.95,138.0,103.0,102.0,103.0,0.697,12.72,2.09,7.7,1.17,1.24,0.26,0.395,0.174,0.341,0.459,66.0,101.0,101.0,104.0,104.0,103.0,126.0,82.0,84.0,138.0,101.0,106.0,94.0,104.0,103.0,0.009,0.545,0.289,0.099,0.059,1.67,-0.26,0.76,-2.58,-0.09,97.1,91.5,90.9,97.0,84.2,0.198,0.298,0.316,0.273,0.465,0.32,0.226,0.585,0.42,0.171,0.286,0.321,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
10,2024-09-13,746744,Double,double,False,668709,676979,JJ Bleday,Garrett Crochet,0,4f5dc9a8-b4fe-417a-a636-706b24975e08,676979.0,garrettcrochet,Crochet,Left,Garrett Crochet,CHW,3.78,2.95,138.0,103.0,102.0,103.0,0.697,12.72,2.09,7.7,1.17,1.24,0.26,0.395,0.174,0.341,0.459,66.0,101.0,101.0,104.0,104.0,103.0,126.0,82.0,84.0,138.0,101.0,106.0,94.0,104.0,103.0,0.009,0.545,0.289,0.099,0.059,1.67,-0.26,0.76,-2.58,-0.09,97.1,91.5,90.9,97.0,84.2,0.198,0.298,0.316,0.273,0.465,0.32,0.226,0.585,0.42,0.171,0.286,0.321,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,
