,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ CU,Loc+ CU,Pit+ CU,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FC,Loc+ FC,Pit+ FC,FA%,FC%,SL%,CU%,CH%,wFA/C,wFC/C,wSL/C,wCU/C,wCH/C,vFA,vFC,vCH,vSL,vCU,FF_ba,FF_slg,FF_whiff,FC_ba,FC_slg,FC_whiff,CH_ba,CH_slg,CH_whiff,SL_ba,SL_slg,SL_whiff,CU_ba,CU_slg,CU_whiff,ST_ba,ST_slg,ST_whiff,Stf+ SI,Loc+ SI,Pit+ SI,SI%,wSI/C,vSI,SI_ba,SI_slg,SI_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-08-29,747159,Strikeout,strikeout,True,596019,669194,Francisco Lindor,Ryne Nelson,0,735e686b-8d62-45a6-ad10-f5023db12717,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.307,0.491,0.143,0.322,0.627,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
1,2024-08-29,747159,Groundout,field_out,True,516782,669194,Starling Marte,Ryne Nelson,0,64261ebb-b09a-4203-8215-1689f53fbece,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.307,0.491,0.143,0.322,0.627,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
2,2024-08-29,747159,Lineout,field_out,True,607043,669194,Brandon Nimmo,Ryne Nelson,0,790a0f98-1a36-4407-9017-f1dd9b357b4f,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.307,0.491,0.143,0.322,0.627,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
3,2024-08-29,747159,Groundout,field_out,True,672695,656849,Geraldo Perdomo,David Peterson,0,594f068b-0776-48a9-9e5d-75311e7ca1bd,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.83,5.11,92.1,97.0,93.0,95.0,0.786,6.82,3.8,8.09,0.78,1.87,0.244,0.364,0.105,0.32,0.415,94.0,87.0,92.0,85.0,100.0,99.0,68.0,101.0,91.0,114.0,99.0,104.0,,,,0.252,,0.186,0.073,0.169,-0.31,,-1.49,0.21,0.25,93.1,,84.7,85.2,79.0,0.254,0.31,0.236,,,,0.16,0.26,0.294,0.27,0.432,0.326,0.174,0.348,0.25,,,,103.0,96.0,94.0,0.32,1.7,92.0,0.264,0.376,0.139,,,,,,,,,
4,2024-08-29,747159,Single,single,False,545341,656849,Randal Grichuk,David Peterson,0,fe9ba153-acd7-4bcf-b208-265d0c79632a,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.83,5.11,92.1,97.0,93.0,95.0,0.786,6.82,3.8,8.09,0.78,1.87,0.244,0.364,0.105,0.32,0.415,94.0,87.0,92.0,85.0,100.0,99.0,68.0,101.0,91.0,114.0,99.0,104.0,,,,0.252,,0.186,0.073,0.169,-0.31,,-1.49,0.21,0.25,93.1,,84.7,85.2,79.0,0.254,0.31,0.236,,,,0.16,0.26,0.294,0.27,0.432,0.326,0.174,0.348,0.25,,,,103.0,96.0,94.0,0.32,1.7,92.0,0.264,0.376,0.139,,,,,,,,,
5,2024-08-29,747159,Flyout,field_out,True,666971,656849,Lourdes Gurriel Jr.,David Peterson,0,842370f2-5c0f-4dc9-ad40-cf8a485f7756,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.83,5.11,92.1,97.0,93.0,95.0,0.786,6.82,3.8,8.09,0.78,1.87,0.244,0.364,0.105,0.32,0.415,94.0,87.0,92.0,85.0,100.0,99.0,68.0,101.0,91.0,114.0,99.0,104.0,,,,0.252,,0.186,0.073,0.169,-0.31,,-1.49,0.21,0.25,93.1,,84.7,85.2,79.0,0.254,0.31,0.236,,,,0.16,0.26,0.294,0.27,0.432,0.326,0.174,0.348,0.25,,,,103.0,96.0,94.0,0.32,1.7,92.0,0.264,0.376,0.139,,,,,,,,,
6,2024-08-29,747159,Pickoff 1B,pickoff_1b,True,605137,656849,Josh Bell,David Peterson,0,be7704c4-081b-4d6f-9525-9e9b7e4ab7a1,656849.0,davidpeterson,"Peterson, D",Left,David Peterson,NYM,2.83,5.11,92.1,97.0,93.0,95.0,0.786,6.82,3.8,8.09,0.78,1.87,0.244,0.364,0.105,0.32,0.415,94.0,87.0,92.0,85.0,100.0,99.0,68.0,101.0,91.0,114.0,99.0,104.0,,,,0.252,,0.186,0.073,0.169,-0.31,,-1.49,0.21,0.25,93.1,,84.7,85.2,79.0,0.254,0.31,0.236,,,,0.16,0.26,0.294,0.27,0.432,0.326,0.174,0.348,0.25,,,,103.0,96.0,94.0,0.32,1.7,92.0,0.264,0.376,0.139,,,,,,,,,
7,2024-08-29,747159,Home Run,home_run,False,624413,669194,Pete Alonso,Ryne Nelson,0,83d75105-d93a-4828-90a4-527bdcd69bee,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.307,0.491,0.143,0.322,0.627,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
8,2024-08-29,747159,Single,single,False,608385,669194,Jesse Winker,Ryne Nelson,0,79dc8740-477e-4fbb-adfe-609c78e334cf,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.307,0.491,0.143,0.322,0.627,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
9,2024-08-29,747159,Grounded Into DP,grounded_into_double_play,True,502110,669194,J.D. Martinez,Ryne Nelson,1,663dd81c-46fb-4b91-9f30-68114af1cf82,669194.0,rynenelson,"Nelson, R",Right,Ryne Nelson,ARI,4.22,4.23,136.1,105.0,99.0,104.0,0.842,7.39,1.98,9.51,0.99,1.13,0.278,0.386,0.144,0.36,0.467,109.0,99.0,108.0,89.0,95.0,94.0,104.0,107.0,106.0,111.0,112.0,110.0,77.0,105.0,95.0,0.553,0.184,0.101,0.063,0.1,0.65,-0.58,-0.98,1.49,-2.62,95.1,91.3,83.0,84.3,78.0,0.254,0.42,0.195,0.307,0.491,0.143,0.322,0.627,0.195,0.245,0.367,0.153,0.161,0.226,0.14,0.4,0.733,0.167,,,,,,,,,,,,,,,,,,
