,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SL,Loc+ SL,Pit+ SL,Stf+ FS,Loc+ FS,Pit+ FS,FA%,FS%,SL%,wFA/C,wFS/C,wSL/C,vFA,vFS,vSL,FF_ba,FF_slg,FF_whiff,SL_ba,SL_slg,SL_whiff,FS_ba,FS_slg,FS_whiff,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ KC,Loc+ KC,Pit+ KC,Stf+ FC,Loc+ FC,Pit+ FC,SI%,FC%,KC%,CH%,wFC/C,wSI/C,wKC/C,wCH/C,vFC,vCH,vSI,vKC,CU_ba,CU_slg,CU_whiff,CH_ba,CH_slg,CH_whiff,FC_ba,FC_slg,FC_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,SI_ba,SI_slg,SI_whiff
0,2024-05-30,745819,Strikeout,strikeout,True,682998,681035,Corbin Carroll,Christian Scott,0,27a36022-9b14-418d-87a8-83a88f8ea492,681035.0,christianscott,Scott,Right,Christian Scott,NYM,4.36,4.07,43.1,97.0,97.0,100.0,0.799,7.27,2.08,7.89,1.45,0.7,0.25,0.375,0.188,0.32,0.462,84.0,103.0,101.0,113.0,91.0,98.0,100.0,94.0,101.0,0.534,0.105,0.361,0.31,-1.3,0.32,94.2,84.9,85.1,0.258,0.393,0.208,0.25,0.393,0.213,0.2,0.467,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-05-30,745819,Flyout,field_out,True,606466,681035,Ketel Marte,Christian Scott,0,fd46a2a7-291d-4eb9-93cd-15702644e069,681035.0,christianscott,Scott,Right,Christian Scott,NYM,4.36,4.07,43.1,97.0,97.0,100.0,0.799,7.27,2.08,7.89,1.45,0.7,0.25,0.375,0.188,0.32,0.462,84.0,103.0,101.0,113.0,91.0,98.0,100.0,94.0,101.0,0.534,0.105,0.361,0.31,-1.3,0.32,94.2,84.9,85.1,0.258,0.393,0.208,0.25,0.393,0.213,0.2,0.467,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-05-30,745819,Catcher Interference,catcher_interf,False,592626,681035,Joc Pederson,Christian Scott,0,f052c746-068d-4d58-97a1-09d02ef0454b,681035.0,christianscott,Scott,Right,Christian Scott,NYM,4.36,4.07,43.1,97.0,97.0,100.0,0.799,7.27,2.08,7.89,1.45,0.7,0.25,0.375,0.188,0.32,0.462,84.0,103.0,101.0,113.0,91.0,98.0,100.0,94.0,101.0,0.534,0.105,0.361,0.31,-1.3,0.32,94.2,84.9,85.1,0.258,0.393,0.208,0.25,0.393,0.213,0.2,0.467,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-05-30,745819,Lineout,field_out,True,572233,681035,Christian Walker,Christian Scott,0,af106f94-26b5-4c96-adee-43fcf68a8c36,681035.0,christianscott,Scott,Right,Christian Scott,NYM,4.36,4.07,43.1,97.0,97.0,100.0,0.799,7.27,2.08,7.89,1.45,0.7,0.25,0.375,0.188,0.32,0.462,84.0,103.0,101.0,113.0,91.0,98.0,100.0,94.0,101.0,0.534,0.105,0.361,0.31,-1.3,0.32,94.2,84.9,85.1,0.258,0.393,0.208,0.25,0.393,0.213,0.2,0.467,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2024-05-30,745819,Single,single,False,596019,668678,Francisco Lindor,Zac Gallen,0,658f5cfa-ed26-40a5-b6ec-91fc401b39cc,668678.0,zacgallen,Gallen,Right,Zac Gallen,ARI,3.87,4.27,76.2,99.0,100.0,100.0,0.771,8.92,2.47,8.45,0.94,1.35,0.212,0.396,0.138,0.387,0.355,101.0,95.0,97.0,102.0,101.0,100.0,,,,0.494,,0.092,-0.54,,-0.07,93.4,,86.4,0.287,0.463,0.141,0.286,0.476,0.304,,,,85.0,106.0,92.0,132.0,80.0,80.0,103.0,106.0,110.0,89.0,93.0,85.0,0.002,0.031,0.273,0.108,-1.0,-0.99,2.38,-0.12,90.4,86.7,94.7,80.6,0.163,0.239,0.382,0.282,0.462,0.23,0.25,1.0,0.4,,,,,,,,,
5,2024-05-30,745819,Walk,walk,False,621466,686826,DJ Stewart,Bryce Jarvis,1,0da15fe3-3fa3-4cfe-9082-b61f1a6f1845,686826.0,brycejarvis,Jarvis,Right,Bryce Jarvis,ARI,3.52,5.19,53.2,96.0,99.0,94.0,0.803,5.53,4.86,8.05,1.01,1.16,0.263,0.407,0.084,0.383,0.448,86.0,99.0,91.0,124.0,94.0,102.0,,,,0.344,,0.242,1.29,,0.9,95.6,,86.4,0.234,0.313,0.147,0.221,0.279,0.298,,,,86.0,91.0,95.0,87.0,94.0,90.0,,,,113.0,100.0,91.0,0.132,0.133,,0.141,-1.94,0.74,,-1.82,89.6,85.1,95.2,,,,,0.176,0.353,0.326,0.364,0.773,0.224,121.0,83.0,88.0,0.008,5.82,83.2,0.28,0.52,0.132
6,2024-05-30,745819,Lineout,field_out,True,607043,686826,Brandon Nimmo,Bryce Jarvis,0,5736f3c6-65d5-41f2-9c85-df6de2dd9ff8,686826.0,brycejarvis,Jarvis,Right,Bryce Jarvis,ARI,3.52,5.19,53.2,96.0,99.0,94.0,0.803,5.53,4.86,8.05,1.01,1.16,0.263,0.407,0.084,0.383,0.448,86.0,99.0,91.0,124.0,94.0,102.0,,,,0.344,,0.242,1.29,,0.9,95.6,,86.4,0.234,0.313,0.147,0.221,0.279,0.298,,,,86.0,91.0,95.0,87.0,94.0,90.0,,,,113.0,100.0,91.0,0.132,0.133,,0.141,-1.94,0.74,,-1.82,89.6,85.1,95.2,,,,,0.176,0.353,0.326,0.364,0.773,0.224,121.0,83.0,88.0,0.008,5.82,83.2,0.28,0.52,0.132
7,2024-05-30,745819,Groundout,field_out,True,502110,686826,J.D. Martinez,Bryce Jarvis,1,7a6034e3-4dc3-4514-981c-f269e9a2858d,686826.0,brycejarvis,Jarvis,Right,Bryce Jarvis,ARI,3.52,5.19,53.2,96.0,99.0,94.0,0.803,5.53,4.86,8.05,1.01,1.16,0.263,0.407,0.084,0.383,0.448,86.0,99.0,91.0,124.0,94.0,102.0,,,,0.344,,0.242,1.29,,0.9,95.6,,86.4,0.234,0.313,0.147,0.221,0.279,0.298,,,,86.0,91.0,95.0,87.0,94.0,90.0,,,,113.0,100.0,91.0,0.132,0.133,,0.141,-1.94,0.74,,-1.82,89.6,85.1,95.2,,,,,0.176,0.353,0.326,0.364,0.773,0.224,121.0,83.0,88.0,0.008,5.82,83.2,0.28,0.52,0.132
8,2024-05-30,745819,Strikeout,strikeout,True,516782,686826,Starling Marte,Bryce Jarvis,0,606abd6d-8f78-4388-a9d4-53d142c8e2f3,686826.0,brycejarvis,Jarvis,Right,Bryce Jarvis,ARI,3.52,5.19,53.2,96.0,99.0,94.0,0.803,5.53,4.86,8.05,1.01,1.16,0.263,0.407,0.084,0.383,0.448,86.0,99.0,91.0,124.0,94.0,102.0,,,,0.344,,0.242,1.29,,0.9,95.6,,86.4,0.234,0.313,0.147,0.221,0.279,0.298,,,,86.0,91.0,95.0,87.0,94.0,90.0,,,,113.0,100.0,91.0,0.132,0.133,,0.141,-1.94,0.74,,-1.82,89.6,85.1,95.2,,,,,0.176,0.353,0.326,0.364,0.773,0.224,121.0,83.0,88.0,0.008,5.82,83.2,0.28,0.52,0.132
9,2024-05-30,745819,Single,single,False,666971,681035,Lourdes Gurriel Jr.,Christian Scott,0,ef94ebc3-3814-4520-b856-bfc5c91ac7d3,681035.0,christianscott,Scott,Right,Christian Scott,NYM,4.36,4.07,43.1,97.0,97.0,100.0,0.799,7.27,2.08,7.89,1.45,0.7,0.25,0.375,0.188,0.32,0.462,84.0,103.0,101.0,113.0,91.0,98.0,100.0,94.0,101.0,0.534,0.105,0.361,0.31,-1.3,0.32,94.2,84.9,85.1,0.258,0.393,0.208,0.25,0.393,0.213,0.2,0.467,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
