,date,gameId,event,eventType,isOut,batter_id,pitcher_id,batter_name,pitcher_name,rob,playID,id,fullName,boxscoreName,PitchingHand,PlayerName,Team,ERA,xERA,IP,Location+,Stuff+,Pitching+,Contact%,K/9,BB/9,H/9,HR/9,GB/FB,Oppo%,Pull%,Soft%,Hard%,Zone%,Stf+ CH,Loc+ CH,Pit+ CH,Stf+ FA,Loc+ FA,Pit+ FA,Stf+ SI,Loc+ SI,Pit+ SI,Stf+ SL,Loc+ SL,Pit+ SL,SI%,FA%,SL%,CH%,wFA/C,wSI/C,wSL/C,wCH/C,vFA,vCH,vSI,vSL,SL_ba,SL_slg,SL_whiff,SI_ba,SI_slg,SI_whiff,FF_ba,FF_slg,FF_whiff,CH_ba,CH_slg,CH_whiff,Stf+ CU,Loc+ CU,Pit+ CU,CU%,wCU/C,vCU,CU_ba,CU_slg,CU_whiff,Stf+ FC,Loc+ FC,Pit+ FC,FC%,wFC/C,vFC,FC_ba,FC_slg,FC_whiff,Stf+ FS,Loc+ FS,Pit+ FS,FS%,wFS/C,vFS,FS_ba,FS_slg,FS_whiff
0,2024-04-30,746806,Strikeout,strikeout,True,666135,647336,Alex Kirilloff,Michael Soroka,0,8c5b4b5b-04b3-4d3f-8507-16ef6c4e4b2d,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,0.229,0.306,0.36,0.105,-0.14,-1.48,0.1,-3.67,93.3,82.1,92.3,81.9,0.185,0.348,0.408,0.289,0.518,0.08,0.206,0.382,0.177,0.333,0.667,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2024-04-30,746806,Strikeout,strikeout,True,666397,647336,Edouard Julien,Michael Soroka,0,d731bfb5-066a-452e-a798-9cd38fb2a9d4,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,0.229,0.306,0.36,0.105,-0.14,-1.48,0.1,-3.67,93.3,82.1,92.3,81.9,0.185,0.348,0.408,0.289,0.518,0.08,0.206,0.382,0.177,0.333,0.667,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2024-04-30,746806,Groundout,field_out,True,680777,647336,Ryan Jeffers,Michael Soroka,0,b0912f03-dd8a-4daa-bd2c-5ff01eb8e51a,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,0.229,0.306,0.36,0.105,-0.14,-1.48,0.1,-3.67,93.3,82.1,92.3,81.9,0.185,0.348,0.408,0.289,0.518,0.08,0.206,0.382,0.177,0.333,0.667,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-04-30,746806,Groundout,field_out,True,670032,680573,Nicky Lopez,Simeon Woods Richardson,0,cff8ee8b-a296-4c44-93aa-6b410e91f43e,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.51,3.82,82.0,106.0,87.0,101.0,0.81,7.79,2.63,7.68,0.88,0.88,0.31,0.401,0.145,0.293,0.439,101.0,107.0,112.0,72.0,101.0,89.0,,,,95.0,112.0,109.0,,0.4,0.309,0.213,1.41,,1.55,-2.69,93.1,82.9,,86.7,0.181,0.284,0.257,,,,0.248,0.291,0.201,0.268,0.571,0.18,96.0,102.0,101.0,0.078,0.19,75.4,0.278,0.556,0.225,,,,,,,,,,,,,,,,,,
4,2024-04-30,746806,Groundout,field_out,True,502054,680573,Tommy Pham,Simeon Woods Richardson,0,6e2a1125-6d09-4148-9431-b851235f420b,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.51,3.82,82.0,106.0,87.0,101.0,0.81,7.79,2.63,7.68,0.88,0.88,0.31,0.401,0.145,0.293,0.439,101.0,107.0,112.0,72.0,101.0,89.0,,,,95.0,112.0,109.0,,0.4,0.309,0.213,1.41,,1.55,-2.69,93.1,82.9,,86.7,0.181,0.284,0.257,,,,0.248,0.291,0.201,0.268,0.571,0.18,96.0,102.0,101.0,0.078,0.19,75.4,0.278,0.556,0.225,,,,,,,,,,,,,,,,,,
5,2024-04-30,746806,Groundout,field_out,True,650391,680573,Eloy Jiménez,Simeon Woods Richardson,0,3c9e1e3f-7248-425b-9534-061510d4dee8,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.51,3.82,82.0,106.0,87.0,101.0,0.81,7.79,2.63,7.68,0.88,0.88,0.31,0.401,0.145,0.293,0.439,101.0,107.0,112.0,72.0,101.0,89.0,,,,95.0,112.0,109.0,,0.4,0.309,0.213,1.41,,1.55,-2.69,93.1,82.9,,86.7,0.181,0.284,0.257,,,,0.248,0.291,0.201,0.268,0.571,0.18,96.0,102.0,101.0,0.078,0.19,75.4,0.278,0.556,0.225,,,,,,,,,,,,,,,,,,
6,2024-04-30,746806,Groundout,field_out,True,596146,647336,Max Kepler,Michael Soroka,0,64b7ba38-6ecf-4446-b635-3bf05dff0dff,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,0.229,0.306,0.36,0.105,-0.14,-1.48,0.1,-3.67,93.3,82.1,92.3,81.9,0.185,0.348,0.408,0.289,0.518,0.08,0.206,0.382,0.177,0.333,0.667,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2024-04-30,746806,Groundout,field_out,True,621043,647336,Carlos Correa,Michael Soroka,0,5ecc303c-9825-415c-acdd-e33cb5fe3486,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,0.229,0.306,0.36,0.105,-0.14,-1.48,0.1,-3.67,93.3,82.1,92.3,81.9,0.185,0.348,0.408,0.289,0.518,0.08,0.206,0.382,0.177,0.333,0.667,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-30,746806,Flyout,field_out,True,663616,647336,Trevor Larnach,Michael Soroka,0,e7aa438f-0a18-4528-9aba-060c0bbaeecf,647336.0,michaelsoroka,Soroka,Right,Michael Soroka,CHW,5.23,4.92,72.1,95.0,95.0,94.0,0.792,8.83,5.23,7.96,1.62,0.99,0.268,0.478,0.176,0.298,0.402,112.0,84.0,92.0,93.0,97.0,94.0,77.0,93.0,89.0,102.0,99.0,97.0,0.229,0.306,0.36,0.105,-0.14,-1.48,0.1,-3.67,93.3,82.1,92.3,81.9,0.185,0.348,0.408,0.289,0.518,0.08,0.206,0.382,0.177,0.333,0.667,0.132,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2024-04-30,746806,Single,single,False,657757,680573,Gavin Sheets,Simeon Woods Richardson,0,bab42c03-b081-4e83-be01-b049e659ab99,680573.0,simeonwoodsrichardson,Woods Richardson,Right,Simeon Woods Richardson,MIN,3.51,3.82,82.0,106.0,87.0,101.0,0.81,7.79,2.63,7.68,0.88,0.88,0.31,0.401,0.145,0.293,0.439,101.0,107.0,112.0,72.0,101.0,89.0,,,,95.0,112.0,109.0,,0.4,0.309,0.213,1.41,,1.55,-2.69,93.1,82.9,,86.7,0.181,0.284,0.257,,,,0.248,0.291,0.201,0.268,0.571,0.18,96.0,102.0,101.0,0.078,0.19,75.4,0.278,0.556,0.225,,,,,,,,,,,,,,,,,,
